Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
DWP,HEALTH AND SAFETY EXECUTIVE,20/02/2014,EXP -G & S -OTHER- AALA CHARGES (ADV ACTIVITY LIC),FIELD OPERATIONS DIRECTORATE,ADVENTURE ACTIVITIES LICENCING SERVICE,"=""1000117""",27346.03,AALA INVOICE JANUARY 2014
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2014,PPE-FURNITURE AND FIT (OWNED) - COST - ADDITIONS,BUSINESS SERVICES DIRECTORATE,FLEXIFORM BUSINESS FURNITURE LTD,"=""6000014372""",34762.4,YORK OFFICE FURNITURE
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2014,PPE-FURNITURE AND FIT (OWNED) - COST - ADDITIONS,FIELD OPERATIONS DIRECTORATE,FLEXIFORM BUSINESS FURNITURE LTD,"=""6000014372""",610.07,YORK OFFICE FURNITURE
DWP,HEALTH AND SAFETY EXECUTIVE,24/12/2013,EXP - PURCH OF G & S - OTHER TRAVEL OVRC VAT RECOV,OFFICE FOR NUCLEAR REGULATION,ARNOLD CLARK,"=""6000014392""",23731.43,TRAVEL CONTRACT
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2014,EXP - PURCHASE OF GOODS/SERVICES - CALLS,BUSINESS SERVICES DIRECTORATE,VODAFONE LTD,"=""6000014432""",93121.81,TELECOMS CONTRACT
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2014,EXP - G & S - OTHER ICT COSTS VAT RECOV,BUSINESS SERVICES DIRECTORATE,SOFTWARE BOX LTD,"=""6000014435""",376790.97,MICROSOFT LICENCING - YEAR 1 ENTERPRISE SUBSCRIPTION AGREEMENT
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2014,EXP - G & S - ACCOM & BLDNG MANAGEMENT VAT RECOV,BUSINESS SERVICES DIRECTORATE,GVA,"=""6000014460""",6326,SERVICE CHARGE ASHFORD OFFICE  MAR 14 - MAR 15
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2014,EXP - RENTALS UNDER NON-PFI OP LEASES - BUILDINGS,BUSINESS SERVICES DIRECTORATE,GVA,"=""6000014460""",20811,RENT ASHFORD OFFICE MAR 14 - MAR 15
DWP,HEALTH AND SAFETY EXECUTIVE,03/02/2014,EXP-PURCH OF G & S -OTHER-RESEARCH AND DEVELOPMENT,BUSINESS SERVICES DIRECTORATE,IMPERIAL COLLEGE LONDON,"=""6000014461""",66784,PRJ283 THE CAUSES OF OCCUPATIONAL CHRONIC OBSTRUCTIVE PULMONARY DISEASE
DWP,HEALTH AND SAFETY EXECUTIVE,04/02/2014,EXP - G & S - ICT OUTSOURCING & MAINT/SUPPORT NON VAT RECOV,BUSINESS SERVICES DIRECTORATE,STERIA LTD,"=""6000014471""",156046.41,ISAT CHARGE
