Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Refuse and Recycling Containers,Purchase of equipment,19-Dec-2012,200013693,Weir & Carmichael Ltd,"1,460.00"
Barrow Borough Council,Estates management,Maintenance contracts,19-Dec-2012,200013716,VPS (UK) Ltd,710.00
Barrow Borough Council,The park leisure centre,Maintenance contracts,05-Dec-2012,200013468,Correct Flow Engineering Ltd,777.27
Barrow Borough Council,Barrow park,Grounds maintenance,12-Dec-2012,200013517,Greaves Tree Services,"2,100.00"
Barrow Borough Council,Dance Fusion,Professional fees,19-Dec-2012,200013763,Linney PA Systems,766.78
Barrow Borough Council,Piel Island,Specialised work,19-Dec-2012,200013711,Gary Capstick Ltd,"5,187.50"
Barrow Borough Council,Barrow town hall,Gas,19-Dec-2012,200013612,British Gas Business,"2,089.21"
Barrow Borough Council,102 Abbey Road,Specialised work,05-Dec-2012,200013444,Ian Whiteoak Signs,"2,200.00"
Barrow Borough Council,Street cleansing,Street cleansing,12-Dec-2012,200013583,Biffa Waste Services Ltd,"77,226.65"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,19-Dec-2012,200013689,Alpha Electrics & Building Serv Ltd,749.64
Barrow Borough Council,Craven house,Buildings repairs and maintenance,12-Dec-2012,200013558,Otis Ltd,"1,572.00"
Barrow Borough Council,Dance tazia,Professional fees,19-Dec-2012,200013763,Linney PA Systems,537.88
Barrow Borough Council,Major works maintenance - HRA,Adaptations,19-Dec-2012,200013649,Impey Showers Ltd,740.01
Barrow Borough Council,Planning,Conservation area partnership,12-Dec-2012,200013556,Pickerings Scaffolding Ltd,775.00
Barrow Borough Council,Marina Village,Professional fees,12-Dec-2012,200013561,Keppie Massie,"4,562.50"
Barrow Borough Council,Disabled Facilities Grant,Grants,05-Dec-2012,200013410,Dolphin Stairlifts Cumbria,"4,550.00"
Barrow Borough Council,Town Hall,Building and construction works,19-Dec-2012,200013717,Vinci Construction UK Ltd,975.69
Barrow Borough Council,102 Abbey Road,Building and construction works,05-Dec-2012,200013403,Team Northern Construction Ltd,833.66
Barrow Borough Council,Forum 28,Professional fees,12-Dec-2012,200013586,Spektrix Ltd,"1,049.90"
Barrow Borough Council,Emlyn Hughes house,Electricity,19-Dec-2012,200013706,NPower,778.23
Barrow Borough Council,HRA Estates,Tenants content insurance,05-Dec-2012,200013417,Jardine Lloyd Thompson,"3,858.98"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,12-Dec-2012,200013508,Rixonway Kitchens (Cum) Ltd,"4,085.71"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,19-Dec-2012,200013689,Alpha Electrics & Building Serv Ltd,546.84
Barrow Borough Council,Cylical maintenance - HRA,Painting,12-Dec-2012,200013512,George Jones & Son (Cum) Ltd,"2,804.98"
Barrow Borough Council,Disabled Facilities Grant,Grants,05-Dec-2012,200013429,ThyssenKrupp Encasa Ltd,"3,735.00"
Barrow Borough Council,Coast protection,CAPITA dbs fees,19-Dec-2012,200013630,Capita Symonds Ltd,"1,102.95"
Barrow Borough Council,Tenant demand maintenance - HRA,Central overheads,12-Dec-2012,200013598,Vinci Construction UK Ltd,"38,931.48"
Barrow Borough Council,Barrow park,Professional fees,19-Dec-2012,200013618,JC Blyth,"1,040.93"
Barrow Borough Council,Forum 28,Building cleaning,12-Dec-2012,200013500,Sodexo Ltd,"4,178.87"
