Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction,Amount,Additional Narrative
HMRC,VOA,27.04.12,Landlord's Service Charge,Corporate,Business Environment,5100000490,"£11,806.10",Accommodation Charges
HMRC,VOA,27.04.12,Accommodation rent,Corporate,Business Environment,5100000490,"£34,780.63",Accommodation Charges
HMRC,VOA,27.04.12,Input VAT (ST),Corporate,Business Environment,5100000490,£637.53,VAT Recovery
HMRC,VOA,02.04.12,Capital ,Corporate,Cable-Talk Comms Ltd,5100007526,"£88,755.05",Telephone Cabling
HMRC,VOA,02.04.12,Input VAT (ST),Corporate,Cable-Talk Comms Ltd,5100007526,"£1,214.59",VAT Recovery
HMRC,VOA,16.04.12,Capital ,Corporate,Capgemini UK plc.,5100000253,"(£339,583.46)",Refund of In-house Software development costs
HMRC,VOA,16.04.12,Management of Agreement,Corporate,Capgemini UK plc.,5100000253,"£44,877.42",IT support and maintenance
HMRC,VOA,16.04.12,Business Application,Corporate,Capgemini UK plc.,5100000253,"£171,654.64",IT support and maintenance
HMRC,VOA,16.04.12,Input Services,Corporate,Capgemini UK plc.,5100000253,"£42,720.41",VAT Recovery
HMRC,VOA,16.04.12,Data Centre Operations,Corporate,Capgemini UK plc.,5100000253,"£322,503.35",IT support and maintenance
HMRC,VOA,16.04.12,Desktop Services,Corporate,Capgemini UK plc.,5100000253,"£74,693.27",IT support and maintenance
HMRC,VOA,16.04.12,WAN,Corporate,Capgemini UK plc.,5100000253,"£127,683.54",IT support and maintenance
HMRC,VOA,16.04.12,Business Continuity & Disaster Recovery,Corporate,Capgemini UK plc.,5100000253,"£42,511.88",IT support and maintenance
HMRC,VOA,16.04.12,Aspire Other Costs,Corporate,Capgemini UK plc.,5100000253,"£352,086.26",IT support and maintenance
HMRC,VOA,16.04.12,I.T.-Software & Support,Corporate,Capgemini UK plc.,5100000253,"£47,360.12",IT support and maintenance
HMRC,VOA,16.04.12,Input VAT (ST),Corporate,Capgemini UK plc.,5100000253,"£163,307.09",VAT Recovery
HMRC,VOA,16.04.12,Telephones-Landline,Corporate,Capgemini UK plc.,5100000253,"£38,223.48",Telephony charges
HMRC,VOA,16.04.12,Telephones-Mobile,Corporate,Capgemini UK plc.,5100000253,"£12,494.89",Telephony charges
HMRC,VOA,16.04.12,Telephones-Other,Corporate,Capgemini UK plc.,5100000253,"£22,765.19",Telephony charges
HMRC,VOA,16.04.12,Settlement Discounts,Corporate,Capgemini UK plc.,5100000253,"(£75,000.00)",Early Payment Settlement Discount
HMRC,VOA,02.04.12,Rates,Corporate,City of Westminster,5100000045,"£62,618.00",Business Rates
