Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
BIS,SLC,01/03/2016,TRAVEL,Commercial,HOGG ROBINSON (TRAVEL) LTD T/A HRG UK,196,347.37,Travel Booking Management Fee
BIS,SLC,01/03/2016,TRAVEL,Commercial,HOGG ROBINSON (TRAVEL) LTD T/A HRG UK,196,4550.73,Travel
BIS,SLC,01/03/2016,TRAVEL,Commercial,HOGG ROBINSON (TRAVEL) LTD T/A HRG UK,196,521.98,Travel Booking Management Fee
BIS,SLC,01/03/2016,TRAVEL,Commercial,HOGG ROBINSON (TRAVEL) LTD T/A HRG UK,196,6149.56,Travel
BIS,SLC,02/03/2016,PROFESSIONAL SERVICES,990-Projects,HCL GREAT BRITAIN LIMITED,5000056971,110000,IT Licenses - Clearing
BIS,SLC,02/03/2016,IT LICENCES,990-Projects,HCL GREAT BRITAIN LIMITED,5000056912,500000,IT Licenses - Clearing
BIS,SLC,02/03/2016,PUBLIC RELATIONS,990-Projects,HOLIDAY INN - REGENT'S PARK,913072,13550,PS 24+ Annual Seminar Programme
BIS,SLC,02/03/2016,PUBLIC RELATIONS,990-Projects,HOLIDAY INN - REGENT'S PARK,905066,4978.13,PS 24+ Annual Seminar Programme
BIS,SLC,02/03/2016,EXPENSES MISC,Security Information Assurance,SERVICE ROCKET PTY LTD,64716,1175.09,Books and Periodicals
BIS,SLC,02/03/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,EXCEPTION LIMITED,54899,9025,Supplier Partner - Base
BIS,SLC,02/03/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,EXCEPTION LIMITED,54899,7500,Supplier Partner - Base
BIS,SLC,02/03/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,EXCEPTION LIMITED,54899,8312.5,Supplier Partner - Base
BIS,SLC,02/03/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,EXCEPTION LIMITED,54899,8550,Supplier Partner - Base
BIS,SLC,02/03/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,EXCEPTION LIMITED,54899,8550,Supplier Partner - Base
BIS,SLC,02/03/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,EXCEPTION LIMITED,54899,10500,Supplier Partner - Base
BIS,SLC,02/03/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,EXCEPTION LIMITED,54899,6000,Supplier Partner - Base
BIS,SLC,02/03/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,EXCEPTION LIMITED,54899,12075,Supplier Partner - Base
BIS,SLC,02/03/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,EXCEPTION LIMITED,54899,11875,Supplier Partner - Base
BIS,SLC,02/03/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,EXCEPTION LIMITED,54899,7125,Supplier Partner - Base
BIS,SLC,02/03/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,EXCEPTION LIMITED,54899,10000,Supplier Partner - Base
BIS,SLC,02/03/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,EXCEPTION LIMITED,54899,11550,Supplier Partner - Base
BIS,SLC,02/03/2016,SERVICE DELIVERY RESOURCE,Infrastructure Services,EXCEPTION LIMITED,54901,10450,Supplier Partner - Base
BIS,SLC,02/03/2016,ACCOMMODATION,Service Delivery,200 ST VINCENT STREET,4208,350,Room Hire
BIS,SLC,02/03/2016,CATERING,Service Delivery,200 ST VINCENT STREET,4208,63.8,Staff Only catering
BIS,SLC,02/03/2016,CATERING,Service Delivery,200 ST VINCENT STREET,4208,15.8,Staff Only catering
BIS,SLC,02/03/2016,COMPUTER EQUIPMENT,990-Projects,MAYFLEX UK LIMITED,40829766,914.55,Computer Equipment - Clearing
BIS,SLC,02/03/2016,PUBLIC RELATIONS,Campaign & Customer Communications,IMAGE DATA GROUP LIMITED,9200804,4516.82,Print/Copy Wales
BIS,SLC,02/03/2016,PUBLIC RELATIONS,Campaign & Customer Communications,IMAGE DATA GROUP LIMITED,9200805,165.78,Print/Copy NI
BIS,SLC,02/03/2016,PUBLIC RELATIONS,Campaign & Customer Communications,IMAGE DATA GROUP LIMITED,9200805,385.32,Print/Copy Wales
BIS,SLC,02/03/2016,PUBLIC RELATIONS,Campaign & Customer Communications,IMAGE DATA GROUP LIMITED,9200805,568,Print/Copy SFE
BIS,SLC,02/03/2016,SOFTWARE LICENSES,990-Projects,HF ELECTRICAL LTD,174377,3200.48,Devicelock and PGP
BIS,SLC,02/03/2016,PROFESSIONAL SERVICES,Corporate Communications,SFW LIMITED,14103,21360,Software Development and Support
BIS,SLC,02/03/2016,SOFTWARE LICENSES,ICT Service Delivery,TALEND LIMITED,UK3280,68800,Software Misc. Licences
BIS,SLC,02/03/2016,SOFTWARE LICENSES,ICT Service Delivery,PHOENIX SOFTWARE LTD,OP/I771488,2218.81,Software Misc. Licences
BIS,SLC,04/03/2016,TRAVEL,990-Projects,EMC COMPUTER SYSTEMS (UK) LTD,5100071821,972.82,Travel
BIS,SLC,04/03/2016,RECRUITMENT COSTS,Human Resources,HARVEY NASH PLC,61363,5700,Agency Placement Fees
BIS,SLC,04/03/2016,RECRUITMENT COSTS,Human Resources,HARVEY NASH PLC,61367,6000.15,Agency Placement Fees
