Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Amount in Sterling
Department of Health,United Lincolnshire Hospitals NHS Trust,12-Aug-10,XRAY MAINTENANCE,DIAGNOSTICS PAN TRUST,NHS SUPPLY CHAIN (MAIDSTONE),"84,894.20"
Department of Health,United Lincolnshire Hospitals NHS Trust,10-Aug-10,CNST CONTRIBUTIONS,CHIEF NURSE,NHS LITIGATION AUTHORITY,"141,178.00"
Department of Health,United Lincolnshire Hospitals NHS Trust,10-Aug-10,CNST CONTRIBUTIONS,CHIEF NURSE,NHS LITIGATION AUTHORITY,"5,275,182.00"
Department of Health,United Lincolnshire Hospitals NHS Trust,12-Aug-10,EQUIPMENT >#5K,CAPITAL PROGRAM,SPACELABS HEALTHCARE LTD,"36,565.91"
Department of Health,United Lincolnshire Hospitals NHS Trust,02-Aug-10,EQUIPMENT REPAIRS _ MATERIALS,DIAGNOSTICS PAN TRUST,GE MEDICAL SYSTEMS,"36,690.49"
Department of Health,United Lincolnshire Hospitals NHS Trust,02-Aug-10,XRAY MAINTENANCE,DIAGNOSTICS PAN TRUST,NHS SUPPLY CHAIN (MAIDSTONE),"21,962.91"
Department of Health,United Lincolnshire Hospitals NHS Trust,06-Aug-10,HEALTHCARE AT HOME,DIAGNOSTICS PAN TRUST,HEALTHCARE AT HOME,"58,630.00"
Department of Health,United Lincolnshire Hospitals NHS Trust,06-Aug-10,HEALTHCARE AT HOME,DIAGNOSTICS PAN TRUST,HEALTHCARE AT HOME,"126,555.00"
Department of Health,United Lincolnshire Hospitals NHS Trust,04-Aug-10,FUEL - STEAM,FACILITIES / ESTATES,DALKIA UTILITIES SERVICES PLC,"42,686.37"
Department of Health,United Lincolnshire Hospitals NHS Trust,31-Aug-10,ELECTRICITY,FACILITIES / ESTATES,SOUTHERN ELECTRIC/GAS PLC,"43,503.81"
Department of Health,United Lincolnshire Hospitals NHS Trust,02-Aug-10,XRAY MAINTENANCE,DIAGNOSTICS PAN TRUST,NHS SUPPLY CHAIN (MAIDSTONE),"41,589.12"
Department of Health,United Lincolnshire Hospitals NHS Trust,12-Aug-10,XRAY MAINTENANCE,DIAGNOSTICS PAN TRUST,NHS SUPPLY CHAIN (MAIDSTONE),"47,978.80"
Department of Health,United Lincolnshire Hospitals NHS Trust,02-Aug-10,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"115,456.73"
Department of Health,United Lincolnshire Hospitals NHS Trust,02-Aug-10,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"92,084.57"
Department of Health,United Lincolnshire Hospitals NHS Trust,02-Aug-10,AGENCY STAFF ADMIN _ CLERICAL,INFORMATION TECHNOLOGY,SYSTEM C HEALTHCARE PLC,"36,571.88"
Department of Health,United Lincolnshire Hospitals NHS Trust,06-Aug-10,COMPUTER SOFTWARE,CAPITAL PROGRAM,MSOFT eSOLUTIONS LIMITED,"28,787.50"
Department of Health,United Lincolnshire Hospitals NHS Trust,09-Aug-10,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"67,799.91"
Department of Health,United Lincolnshire Hospitals NHS Trust,02-Aug-10,EXTERNAL CONTRACTS,DIRECTOR OF FINANCE,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"41,314.25"
Department of Health,United Lincolnshire Hospitals NHS Trust,02-Aug-10,EXTERNAL CONTRACTS,DIRECTOR OF HR,LINCOLNSHIRE PARTNERSHIP NHS TRUST,859
Department of Health,United Lincolnshire Hospitals NHS Trust,31-Aug-10,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"114,479.98"
Department of Health,United Lincolnshire Hospitals NHS Trust,02-Aug-10,EQUIPMENT >#5K,CAPITAL PROGRAM,COVIDIEN (UK) COMMERICAL LTD,"119,850.00"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,STAFF COSTS OTHER NHS BODIES,DIRECTOR OF FINANCE,HULL & EAST YORKSHIRE HOSPITAL NHS TRUST,"46,762.58"
Department of Health,United Lincolnshire Hospitals NHS Trust,12-Aug-10,HIRE OF CLINICAL EQUIPMENT,PLANNED CARE - PILGRIM,HUNTLEIGH HEALTHCARE,"34,510.93"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,LEGAL FEES - EMPLOYMENT,CHIEF NURSE,BEACHCROFT LLP,"22,321.59"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,DIAGNOSTIC TESTS OTHER NHS,DIAGNOSTICS PAN TRUST,THE LEEDS TEACHING HOSPITAL NHS TRUST,"34,474.00"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,PATHOLOGY SERVICES,DIAGNOSTICS PAN TRUST,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"184,314.00"
Department of Health,United Lincolnshire Hospitals NHS Trust,12-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,HEALTHCARE PRODUCT SERVICES,"30,794.40"
