Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,03/05/2016,Courier Services,Estates,ROYAL MAIL,,Large,,5106221547,R. Mail Outbound 18-22/4/16   20% VAT,S49 1HQ,"1,306.92",
Communities & Local Government,PINS,03/05/2016,DEV Exp (AUC) Intngble Software Acq Cost,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,2100040254,H2 Var 7 CAPITAL,SG19 2BD,"-28,753.20",
Communities & Local Government,PINS,03/05/2016,DEV Exp (AUC) Intngble Software Acq Cost,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106221453,H2 Var 7 CAPITAL,SG19 2BD,"28,753.20",
Communities & Local Government,PINS,03/05/2016,Mobile phone costs,Admin Support,VODAFONE UK,,Large,,5106221541,Lone Worker Phone Month Costs    ,NG24 2EG,"1,958.10",
Communities & Local Government,PINS,04/05/2016,Agency Staff,Governance,CAPITA BUSINESS SERVICES LTD,,Large,,5106221520,Project Delivery Manager,SL6 1DP,"2,836.38",
Communities & Local Government,PINS,04/05/2016,Courier Services,Estates,PARCELFORCE WORLDWIDE,,Large,,5106221549,Courier Costs Charged at 20% VAT,MK7 8LE,"7,065.89",
Communities & Local Government,PINS,04/05/2016,DEV Exp (AUC) Intngble Software Acq Cost,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106221454,H2 Var 7 CAPITAL,SG19 2BD,"18,907.20",
Communities & Local Government,PINS,04/05/2016,DEV Exp (AUC) Intngble Software Acq Cost,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106221567,H2 Var 7 CAPITAL,SG19 2BD,"29,410.20",
Communities & Local Government,PINS,04/05/2016,DEV Exp (AUC) Intngble Software Acq Cost,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106221576,H2 Var 7 CAPITAL,SG19 2BD,"22,773.60",
Communities & Local Government,PINS,04/05/2016,IT SUPPORT,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106221454,HR Var y RC Amended,SG19 2BD,700.20,
Communities & Local Government,PINS,04/05/2016,IT SUPPORT,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106221567,HR Var y RC Amended,SG19 2BD,"2,100.60",
Communities & Local Government,PINS,04/05/2016,Mobile phone costs,Admin Support,VODAFONE UK,,Large,,5106221550,LWPS Quarterly Costs 1/4-30/6/16,NG24 2EG,"4,168.85",
Communities & Local Government,PINS,04/05/2016,Subscriptions,Inspector Costs,INST PUBLIC RIGHTS WAY MANGMT LTD,,Micro,,5106221573,Membership Renewal 2016/17 ROWI,CA11 1BL,537.60,
Communities & Local Government,PINS,04/05/2016,Vehicle hire,Inspector Costs,ENTERPRISE RENT-A-CAR,,Large,,5106221568,CAR HIRE APRIL 2016- MARCH 2017,TW20 9FB,"12,593.11",
Communities & Local Government,PINS,05/05/2016,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106221560,AGENCY STAFF ,AL1 4JB,601.64,
Communities & Local Government,PINS,05/05/2016,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106221561,Casework Support Team ,AL1 4JB,609.67,
Communities & Local Government,PINS,05/05/2016,IT - Service Contracts,ICT Business Partner,ZSAH LTD,,Small,,5106221586,Running Costs,SW7 3HE,"3,415.22",
Communities & Local Government,PINS,05/05/2016,IT Maintenance,ICT Business Partner,X M A LIMITED,,Data Not Provided,,5106221587,AMS2100 backup SAN support from,NG11 7EP,"4,451.21",
Communities & Local Government,PINS,05/05/2016,IT SUPPORT,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106221584,HR Var y RC Amended,SG19 2BD,"28,753.20",
Communities & Local Government,PINS,05/05/2016,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106221594,"2016-17 Carts,Toners & Imaging Drums",NG11 7EP,"2,589.92",
Communities & Local Government,PINS,05/05/2016,Steady State Service Provision,Human Resources,CGI IT UK LIMITED,,Large,,5106221579,Payroll Service 2016/17,CF31 9AP,"3,719.50",
Communities & Local Government,PINS,05/05/2016,Subscriptions,"Finance, Commercial & Statistics",OTS BACS VENDOR,,Not assigned,,2100040247,ACE - ACE0610,,580.48,
Communities & Local Government,PINS,06/05/2016,Agency Staff,Casework Director,CAPITA BUSINESS SERVICES LTD,,Large,,2100040398,Project Delivery Manager.,SL6 1DP,"-2,836.38",
Communities & Local Government,PINS,06/05/2016,Agency Staff,Human Resources,CAPITA BUSINESS SERVICES LTD,,Large,,5106221603,HR Business Partner,SL6 1DP,"2,186.88",
Communities & Local Government,PINS,06/05/2016,Agency Staff,Project Horizon,CAPITA BUSINESS SERVICES LTD,,Large,,5106221604,Web Developer,SL6 1DP,"2,634.42",
Communities & Local Government,PINS,06/05/2016,Agency Staff,Casework Director,CAPITA BUSINESS SERVICES LTD,,Large,,5106221614,Project Delivery Manager.,SL6 1DP,"2,836.38",
Communities & Local Government,PINS,06/05/2016,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106221555,Agency Worker,SW20 0BA,649.57,
Communities & Local Government,PINS,06/05/2016,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106221626,Agency Worker,SW20 0BA,386.23,
Communities & Local Government,PINS,06/05/2016,Conferences and Meeting Facilities,Inspector Costs,BIRMINGHAM & MIDLAND INSTITUTE,,Small,,5106221631,LBEN Training for ENS4 on 15/04/16,B3 3BS,138.00,
Communities & Local Government,PINS,06/05/2016,Conferences and Meeting Facilities,Inspector Costs,BIRMINGHAM & MIDLAND INSTITUTE,,Small,,5106221631,SGM for ENS4 on 14th April 2016,B3 3BS,138.00,
Communities & Local Government,PINS,06/05/2016,Mobile phone costs,ICT Business Partner,VODAFONE UK,,Large,,5106221574,Service charges for a/c 601392223,NG24 2EG,388.80,
Communities & Local Government,PINS,06/05/2016,Mobile phone costs,ICT Business Partner,VODAFONE UK,,Large,,5106221574,VAT exempt items,NG24 2EG,2.25,
Communities & Local Government,PINS,06/05/2016,Printing,Admin Support,WILLIAMS LEA LIMITED,,Micro,,5106221636,6 batches of 2k Envelope 1/1s,NR3 1PD,458.80,
Communities & Local Government,PINS,06/05/2016,Printing,Admin Support,WILLIAMS LEA LIMITED,,Micro,,5106221636,6 batches of 2k Envelope 10/1s,NR3 1PD,801.92,
Communities & Local Government,PINS,06/05/2016,Printing,Admin Support,WILLIAMS LEA LIMITED,,Micro,,5106221637,"7,500 Enclosure 3s in 6 Deliveries",NR3 1PD,371.82,
Communities & Local Government,PINS,09/05/2016,Agency Staff,Governance,CAPITA BUSINESS SERVICES LTD,,Large,,5106221647,Project Delivery Manager,SL6 1DP,"2,836.38",
Communities & Local Government,PINS,09/05/2016,IT SUPPORT,Project Horizon,MOUCHEL MANAGEMENT CONSULTING,,Large,,5106221660,Variation 8 Rationalisation of BIS SSIS,SG19 2BD,"21,006.00",
Communities & Local Government,PINS,09/05/2016,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106221648,"2016-17 Carts,Toners & Imaging Drums",NG11 7EP,805.80,
Communities & Local Government,PINS,09/05/2016,Web Services,ICT Business Partner,MEMSET LIMITED,,Small,,5106221658,Annual hosting charges for mini servers,GU6 8TB,"1,022.22",
Communities & Local Government,PINS,10/05/2016,Advertising,ROW,TMP (UK) LIMITED,,Large,,5106221692,Statutory Advertising - RoW,W1T 7RQ,"2,186.06",
Communities & Local Government,PINS,10/05/2016,Agency Staff,ICT Application Support,CAPITA BUSINESS SERVICES LTD,,Large,,5106221605,Test contractor DL from 10 Aug 2015,SL6 1DP,"2,260.02",
Communities & Local Government,PINS,10/05/2016,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106221666,Agency Worker,SW20 0BA,526.68,
Communities & Local Government,PINS,10/05/2016,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106221693,Agency Worker,SW20 0BA,526.68,
Communities & Local Government,PINS,10/05/2016,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106221686,Paper Order    ,S9 1XU,403.38,
Communities & Local Government,PINS,10/05/2016,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106221686,Stationery Order    ,S9 1XU,632.57,
Communities & Local Government,PINS,11/05/2016,Legal Fees,Wales Director,GOVERNMENT LEGAL DEPT,,Public Bodies,,5106221697,Pins Wales Government Legal Costs 16-17,WC2B 4TS,"5,529.35",
Communities & Local Government,PINS,11/05/2016,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106221720,"2016-17 Carts,Toners & Imaging Drums",NG11 7EP,"1,089.00",
Communities & Local Government,PINS,11/05/2016,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106221712,Paper Order    ,S9 1XU,764.53,
