Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/04/2012,HEALTHCARE FROM INDEPENDENT SECTOR,CONTRACTING FINANCE,ALNWICK AND DISTRICT CITIZENS ADVICE BUREAU,04/NCT/NCAB,"29,383.38",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/10/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,CITY HOSPITALS SUNDERLAND FOUNDATION NHS TRUST,187793,"27,667.59",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/27/12,HEALTHCARE - PCTS,CONTRACTING FINANCE,COUNTY DURHAM PCT,509918,"45,758.00",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/27/12,HEALTHCARE - PCTS,CONTRACTING FINANCE,COUNTY DURHAM PCT,510401,"76,458.00",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/04/2012,HEALTHCARE - PCTS,CONTRACTING FINANCE,COUNTY DURHAM PCT,510714,"94,138.00",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/04/2012,HEALTHCARE - PCTS,CONTRACTING FINANCE,COUNTY DURHAM PCT,510754,"119,000.00",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/04/2012,HEALTHCARE - PCTS,CONTRACTING FINANCE,COUNTY DURHAM PCT,510756,"94,138.00",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/13/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,GATESHEAD HEALTH NHS FOUNDATION TRUST,122834,"130,190.00",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/13/12,OTHER CREDITORS < ONE YEAR,BS CREDITOR PAYROLL,HM REVENUE AND CUSTOMS,504PH00146988 YR11 MNTH9,"30,559.75",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/13/12,OTHER CREDITORS < ONE YEAR,BS CREDITOR PAYROLL,HM REVENUE AND CUSTOMS,504PH00146988 YR11MONTH08,"26,469.92",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/31/12,HEALTHCARE FROM COMMERCIAL SECTOR,CONTRACTING FINANCE,HUNTERCOMBE EDINBURGH LTD,57801073,"26,531.28",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/23/12,ADDITIONS - ASSETS UNDER CONSTRUCTION,NONE,INHERENT ENERGY LTD,INV00229,"28,676.65",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/23/12,ADDITIONS - ASSETS UNDER CONSTRUCTION,NONE,INHERENT ENERGY LTD,INV00230,"31,030.14",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/01/2012,ADDITIONS - ASSETS UNDER CONSTRUCTION,BS SHEET FIXED ASSETS,LAING OROURKE CONSTRUCTION NORTH LTD,N2732/15,"109,291.32",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/17/12,HEALTHCARE FROM VOLUNTARY SECTOR,CONTRACTING FINANCE,MHCO,NCT-MHCO12/004,"465,883.52",
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/04/2012,SERVICES FROM PCTS,CENTRAL FINANCE,NEWCASTLE PCT,64001264,"25,092.31"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/04/2012,SERVICES FROM PCTS,CENTRAL FINANCE,NEWCASTLE PCT,64001266,"25,456.14"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/13/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0171410,"113,778.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/10/2012,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0177046,"142,594.68"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/13/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0177616,"156,763.60"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/20/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0178615,"202,143.99"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/20/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0178953,"133,847.24"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/13/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0179200,"6,276,141.67"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/13/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0179218,"70,091.67"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/17/12,OTHER CREDITORS < ONE YEAR,BS CREDITOR PAYROLL,NHS PENSIONS AGENCY,EA0324 GP YR11 MTH9,"419,235.86"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/01/2012,ADDITIONS - ASSETS UNDER CONSTRUCTION,,NNT LIFT COMPANY (FUNDCO1) LTD,NBER3/4553,"413,563.60"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/13/12,HEALTHCARE - NHS TRUSTS,CONTRACTING FINANCE,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,16126167,"72,523.00"
Department of Health,NORTHUMBERLAND CARE TRUST (COMM),01/13/12,HEALTHCARE - FOUNDATION TRUSTS,CONTRACTING FINANCE,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,32949,"651,922.00"
