Date,Device Category,Sessions,Avg. Session Duration,Bounce Rate,Users,New Users
20170717,desktop,"27,597",00:02:06,52.03%,"25,122","17,891"
20170717,tablet,"7,805",00:02:01,51.70%,"7,096","4,924"
20170718,mobile,"35,770",00:01:24,62.57%,"31,921","22,812"
20170718,desktop,"26,910",00:02:02,52.42%,"24,498","17,249"
20170718,tablet,"7,608",00:02:00,53.02%,"6,907","4,719"
20170719,mobile,"48,537",00:01:22,58.37%,"44,004","33,185"
20170719,desktop,"33,937",00:01:55,47.69%,"31,191","22,983"
20170719,tablet,"13,600",00:01:48,47.38%,"12,547","9,671"
20170720,mobile,"40,054",00:01:24,61.26%,"35,855","25,478"
20170720,desktop,"29,217",00:02:01,49.79%,"26,646","18,968"
20170720,tablet,"9,288",00:01:54,52.02%,"8,475","5,869"
20170721,mobile,"34,261",00:01:25,61.71%,"30,586","21,493"
20170721,desktop,"24,475",00:02:06,51.24%,"22,207","15,509"
20170721,tablet,"7,804",00:02:01,53.54%,"7,050","4,777"
20170722,mobile,"27,978",00:01:19,63.22%,"25,335","18,540"
20170722,desktop,"11,134",00:02:03,51.48%,"10,304","7,810"
20170722,tablet,"6,754",00:01:52,54.68%,"6,162","4,276"
20170723,mobile,"27,699",00:01:17,63.19%,"25,249","18,621"
20170723,desktop,"11,713",00:02:01,53.29%,"10,838","8,367"
20170723,tablet,"7,164",00:01:52,54.70%,"6,600","4,664"
20170724,mobile,"37,029",00:01:28,60.54%,"32,958","23,495"
20170724,desktop,"28,867",00:02:03,50.48%,"26,191","18,508"
20170724,tablet,"8,570",00:02:01,52.28%,"7,732","5,366"
20170725,mobile,"38,138",00:01:24,61.24%,"33,995","23,910"
20170725,desktop,"27,977",00:02:05,50.65%,"25,305","17,484"
20170725,tablet,"8,117",00:02:03,52.49%,"7,329","4,961"
20170726,mobile,"39,243",00:01:28,61.14%,"35,091","24,791"
20170726,desktop,"29,415",00:02:07,50.17%,"26,629","18,643"
20170726,tablet,"9,092",00:02:02,51.18%,"8,193","5,671"
20170727,mobile,"38,224",00:01:29,61.34%,"34,014","23,959"
20170727,desktop,"27,812",00:02:09,49.98%,"25,156","17,290"
20170727,tablet,"8,609",00:02:05,52.34%,"7,738","5,247"
20170728,mobile,"34,597",00:01:26,62.12%,"30,836","21,627"
20170728,desktop,"23,774",00:02:08,50.67%,"21,417","14,721"
20170728,tablet,"7,806",00:01:59,53.42%,"6,988","4,672"
20170729,mobile,"27,729",00:01:22,63.46%,"25,081","18,126"
20170729,desktop,"11,058",00:02:01,52.62%,"10,273","7,823"
20170729,tablet,"6,428",00:01:53,55.26%,"5,870","4,005"
20170730,mobile,"28,210",00:01:23,63.63%,"25,526","18,595"
20170730,desktop,"11,923",00:02:08,51.72%,"11,031","8,275"
20170730,tablet,"7,243",00:02:04,53.50%,"6,558","4,521"
20170731,mobile,"40,899",00:01:33,59.78%,"36,185","25,407"
20170731,desktop,"30,274",00:02:05,48.90%,"27,202","18,823"
20170731,tablet,"9,579",00:02:08,49.85%,"8,475","5,682"
20170801,mobile,"39,742",00:01:27,60.52%,"35,275","24,714"
20170801,desktop,"29,026",00:02:14,48.91%,"26,177","17,954"
20170801,tablet,"8,933",00:02:10,50.68%,"8,038","5,474"
20170802,mobile,"42,542",00:01:26,59.80%,"38,041","27,410"
20170802,desktop,"29,965",00:02:05,48.74%,"27,241","19,402"
20170802,tablet,"11,248",00:02:03,47.60%,"10,342","7,601"
20170803,mobile,"38,203",00:01:24,61.58%,"34,049","23,993"
20170803,desktop,"27,133",00:02:03,50.43%,"24,565","17,065"
20170803,tablet,"8,935",00:01:59,52.30%,"8,083","5,554"
20170804,mobile,"34,092",00:01:21,62.11%,"30,453","21,253"
20170804,desktop,"22,535",00:02:06,50.33%,"20,428","14,060"
20170804,tablet,"7,276",00:02:02,53.46%,"6,547","4,410"
20170805,mobile,"27,103",00:01:17,64.45%,"24,603","17,756"
20170805,desktop,"10,475",00:02:02,53.58%,"9,736","7,356"
20170805,tablet,"6,296",00:01:48,56.48%,"5,706","3,950"
20170806,mobile,"27,710",00:01:21,63.58%,"25,221","18,329"
20170806,desktop,"11,361",00:02:03,50.93%,"10,482","7,791"
20170806,tablet,"7,134",00:02:01,54.44%,"6,529","4,527"
20170807,mobile,"39,273",00:01:31,60.30%,"34,854","24,499"
20170807,desktop,"29,103",00:02:07,49.11%,"26,166","18,030"
20170807,tablet,"9,106",00:02:10,50.05%,"8,160","5,549"
20170808,mobile,"37,961",00:01:28,60.43%,"33,729","23,849"
20170808,desktop,"29,141",00:02:10,49.43%,"26,243","18,139"
20170808,tablet,"8,427",00:02:03,51.55%,"7,628","5,217"
20170809,mobile,"37,068",00:01:28,60.87%,"32,909","23,169"
20170809,desktop,"27,179",00:02:00,50.58%,"24,591","16,917"
20170809,tablet,"8,049",00:02:01,52.49%,"7,277","4,986"
20170810,mobile,"35,545",00:01:28,61.13%,"31,797","22,465"
20170810,desktop,"25,502",00:02:01,51.13%,"23,156","15,906"
20170810,tablet,"7,539",00:02:04,52.01%,"6,752","4,587"
20170811,mobile,"32,941",00:01:27,61.53%,"29,367","20,512"
20170811,desktop,"22,978",00:02:00,51.14%,"20,868","14,224"
20170811,tablet,"7,327",00:01:56,52.35%,"6,577","4,362"
20170812,mobile,"25,723",00:01:18,64.35%,"23,278","16,827"
20170812,desktop,"10,155",00:01:54,53.41%,"9,396","7,050"
20170812,tablet,"5,808",00:01:52,56.63%,"5,291","3,666"
20170813,mobile,"26,301",00:01:21,62.82%,"23,951","17,503"
20170813,desktop,"10,442",00:01:59,53.30%,"9,657","7,212"
20170813,tablet,"6,454",00:01:54,53.50%,"5,890","4,026"
20170814,mobile,"38,956",00:01:31,60.16%,"34,444","24,346"
20170814,desktop,"29,173",00:02:11,49.42%,"26,237","18,162"
20170814,tablet,"9,069",00:02:05,51.92%,"8,115","5,545"
20170815,mobile,"38,906",00:01:27,61.08%,"34,508","24,291"
20170815,desktop,"28,311",00:02:08,50.14%,"25,550","17,457"
20170815,tablet,"8,567",00:02:10,51.30%,"7,725","5,253"
20170816,mobile,"38,319",00:01:31,61.27%,"34,204","24,210"
20170816,desktop,"28,016",00:02:07,50.86%,"25,373","17,502"
20170816,tablet,"8,523",00:02:08,52.83%,"7,686","5,180"
20170817,mobile,"38,049",00:01:28,61.33%,"33,797","23,866"
20170817,desktop,"26,877",00:02:06,50.79%,"24,368","16,833"
20170817,tablet,"8,183",00:02:06,52.61%,"7,459","5,116"
20170818,mobile,"34,609",00:01:25,61.87%,"30,705","21,620"
20170818,desktop,"22,902",00:02:00,51.52%,"20,767","14,355"
20170818,tablet,"7,549",00:02:05,53.48%,"6,750","4,553"
20170819,mobile,"28,780",00:01:17,64.31%,"26,077","19,022"
20170819,desktop,"11,272",00:02:00,52.67%,"10,494","8,073"
20170819,tablet,"6,910",00:01:57,54.17%,"6,327","4,448"
20170820,mobile,"28,624",00:01:22,63.45%,"26,036","19,148"
20170820,desktop,"11,506",00:01:58,53.80%,"10,669","8,170"
20170820,tablet,"6,980",00:02:01,54.77%,"6,333","4,448"
20170821,mobile,"40,955",00:01:31,60.49%,"36,456","25,898"
20170821,desktop,"30,234",00:02:06,49.88%,"27,292","18,969"
20170821,tablet,"9,305",00:02:06,51.96%,"8,399","5,762"
20170822,mobile,"41,089",00:01:29,60.98%,"36,672","25,633"
20170822,desktop,"30,089",00:02:05,51.18%,"27,250","18,783"
20170822,tablet,"9,133",00:01:55,53.01%,"8,247","5,578"
20170823,mobile,"41,714",00:01:23,61.37%,"37,177","26,423"
20170823,desktop,"29,083",00:01:58,52.10%,"26,369","18,496"
20170823,tablet,"9,100",00:02:05,53.48%,"8,211","5,588"
20170824,mobile,"39,991",00:01:22,62.23%,"35,866","25,337"
20170824,desktop,"27,963",00:02:04,51.95%,"25,333","17,723"
20170824,tablet,"8,704",00:02:04,53.27%,"7,814","5,281"
20170825,mobile,"35,656",00:01:24,62.12%,"31,753","22,037"
20170825,desktop,"23,607",00:02:09,51.21%,"21,281","14,771"
20170825,tablet,"7,627",00:02:06,53.80%,"6,869","4,509"
20170826,mobile,"26,788",00:01:17,65.07%,"24,355","17,610"
20170826,desktop,"10,229",00:02:01,53.06%,"9,436","7,022"
20170826,tablet,"5,964",00:01:51,57.14%,"5,419","3,678"
20170827,mobile,"27,645",00:01:18,65.92%,"25,185","18,657"
20170827,desktop,"10,346",00:01:56,56.04%,"9,539","7,304"
20170827,tablet,"6,351",00:01:55,57.88%,"5,794","4,038"
20170828,mobile,"34,657",00:01:26,62.04%,"31,175","22,522"
20170828,desktop,"18,023",00:02:00,51.81%,"16,545","12,072"
20170828,tablet,"7,964",00:01:57,52.39%,"7,188","4,845"
20170829,mobile,"43,830",00:01:33,61.60%,"38,902","27,606"
20170829,desktop,"31,583",00:02:06,50.95%,"28,409","19,966"
20170829,tablet,"9,037",00:02:07,52.35%,"8,138","5,608"
20170830,mobile,"45,554",00:01:24,62.58%,"40,802","29,519"
20170830,desktop,"31,606",00:02:05,51.71%,"28,641","20,150"
20170830,tablet,"9,490",00:02:07,52.95%,"8,599","6,057"
20170831,mobile,"44,123",00:01:24,62.72%,"39,377","28,249"
20170831,desktop,"29,679",00:02:03,51.35%,"26,854","18,938"
20170831,tablet,"9,064",00:02:03,52.92%,"8,149","5,557"
20170901,mobile,"37,213",00:01:24,62.65%,"33,207","23,339"
20170901,desktop,"24,788",00:02:01,50.61%,"22,418","15,603"
20170901,tablet,"7,780",00:02:04,53.98%,"7,069","4,770"
20170902,mobile,"29,309",00:01:17,64.78%,"26,551","19,364"
20170902,desktop,"10,683",00:02:02,54.45%,"9,900","7,575"
20170902,tablet,"6,317",00:01:52,55.01%,"5,749","3,937"
20170903,mobile,"31,481",00:01:20,63.92%,"28,720","21,105"
20170903,desktop,"13,191",00:02:09,53.30%,"12,206","9,280"
20170903,tablet,"7,666",00:02:05,54.34%,"6,964","4,876"
20170904,mobile,"44,803",00:01:30,60.63%,"39,856","28,055"
20170904,desktop,"32,840",00:02:10,49.67%,"29,616","20,789"
20170904,tablet,"9,900",00:02:08,51.44%,"8,937","6,103"
20170905,mobile,"44,193",00:01:29,61.37%,"39,364","27,819"
20170905,desktop,"32,808",00:02:05,51.12%,"29,743","20,927"
20170905,tablet,"9,432",00:02:02,52.43%,"8,452","5,743"
20170906,mobile,"43,371",00:01:28,61.83%,"38,819","27,585"
20170906,desktop,"32,714",00:02:02,51.75%,"29,716","21,084"
20170906,tablet,"9,333",00:01:57,53.74%,"8,416","5,803"
20170907,mobile,"42,290",00:01:25,61.95%,"37,827","27,071"
20170907,desktop,"31,037",00:02:01,52.60%,"28,327","20,049"
20170907,tablet,"8,964",00:02:00,54.04%,"8,106","5,647"
20170908,mobile,"37,679",00:01:22,63.09%,"33,763","23,848"
20170908,desktop,"26,067",00:02:00,53.23%,"23,816","17,021"
20170908,tablet,"7,906",00:02:05,55.26%,"7,113","4,880"
20170909,mobile,"29,505",00:01:19,65.40%,"26,715","19,315"
20170909,desktop,"11,978",00:02:00,55.55%,"11,065","8,409"
20170909,tablet,"6,464",00:01:47,57.70%,"5,899","4,033"
20170910,mobile,"30,978",00:01:23,63.71%,"28,296","20,853"
20170910,desktop,"13,522",00:01:59,55.72%,"12,531","9,561"
20170910,tablet,"7,529",00:01:57,55.08%,"6,859","4,746"
20170911,mobile,"43,821",00:01:30,61.18%,"38,849","27,490"
20170911,desktop,"34,074",00:02:05,52.20%,"30,934","21,917"
20170911,tablet,"9,586",00:02:10,51.44%,"8,606","5,930"
20170912,mobile,"42,995",00:01:28,62.58%,"38,344","27,350"
20170912,desktop,"33,362",00:02:03,52.89%,"30,423","21,673"
20170912,tablet,"8,730",00:02:01,53.67%,"7,926","5,483"
20170913,mobile,"42,544",00:01:27,61.73%,"38,291","27,366"
20170913,desktop,"32,712",00:02:03,53.74%,"29,823","21,395"
20170913,tablet,"8,794",00:02:09,53.64%,"7,992","5,450"
20170914,mobile,"40,372",00:01:29,62.07%,"36,101","25,594"
20170914,desktop,"31,176",00:02:02,53.60%,"28,367","20,369"
20170914,tablet,"8,432",00:02:05,53.83%,"7,628","5,264"
20170915,mobile,"35,807",00:01:24,63.28%,"32,099","22,622"
20170915,desktop,"25,959",00:01:54,54.27%,"23,676","16,938"
20170915,tablet,"7,168",00:02:04,54.62%,"6,486","4,388"
20170916,mobile,"28,553",00:01:21,64.70%,"25,872","18,753"
20170916,desktop,"11,413",00:01:51,55.80%,"10,633","8,055"
20170916,tablet,"6,256",00:01:56,56.31%,"5,672","3,860"
20170917,mobile,"29,323",00:01:18,64.46%,"26,764","19,654"
20170917,desktop,"12,424",00:01:53,57.40%,"11,614","8,981"
20170917,tablet,"6,733",00:01:53,57.06%,"6,168","4,361"
20170918,mobile,"41,940",00:01:27,61.46%,"37,296","26,550"
20170918,desktop,"33,269",00:02:03,52.85%,"30,223","21,814"
20170918,tablet,"8,901",00:02:04,52.96%,"8,030","5,513"
20170919,mobile,"41,671",00:01:28,61.94%,"37,223","26,371"
20170919,desktop,"32,771",00:01:59,53.91%,"29,894","21,546"
20170919,tablet,"8,457",00:02:03,53.25%,"7,687","5,325"
20170920,mobile,"43,365",00:01:26,62.91%,"38,860","27,883"
20170920,desktop,"33,420",00:02:00,54.04%,"30,361","21,972"
20170920,tablet,"9,062",00:02:01,54.31%,"8,167","5,603"
20170921,mobile,"42,199",00:01:25,63.39%,"37,802","27,097"
20170921,desktop,"32,182",00:01:59,54.34%,"29,296","21,404"
20170921,tablet,"8,707",00:02:01,55.36%,"7,850","5,462"
20170922,mobile,"36,311",00:01:22,63.04%,"32,582","23,077"
20170922,desktop,"26,115",00:02:05,54.36%,"23,792","17,004"
20170922,tablet,"7,527",00:02:04,54.43%,"6,733","4,528"
20170923,mobile,"30,915",00:01:19,65.19%,"28,000","20,545"
20170923,desktop,"11,836",00:01:59,56.36%,"10,959","8,400"
20170923,tablet,"6,600",00:01:54,56.70%,"6,026","4,252"
20170924,mobile,"31,919",00:01:19,64.56%,"29,027","21,617"
20170924,desktop,"13,362",00:01:58,57.06%,"12,419","9,733"
20170924,tablet,"7,237",00:01:52,56.03%,"6,648","4,714"
20170925,mobile,"45,866",00:01:28,62.05%,"41,094","29,500"
20170925,desktop,"35,818",00:02:02,53.64%,"32,461","23,640"
20170925,tablet,"10,309",00:02:11,53.11%,"9,175","6,328"
20170926,mobile,"40,903",00:01:29,62.13%,"36,534","25,765"
20170926,desktop,"32,532",00:02:06,52.70%,"29,453","21,149"
20170926,tablet,"8,363",00:01:59,54.14%,"7,493","4,986"
20170927,mobile,"40,600",00:01:31,61.45%,"36,161","25,379"
20170927,desktop,"32,264",00:02:04,52.30%,"29,100","20,448"
20170927,tablet,"8,825",00:02:00,52.60%,"7,932","5,288"
20170928,mobile,"38,924",00:01:30,61.58%,"34,683","24,310"
20170928,desktop,"30,399",00:02:01,52.88%,"27,553","19,689"
20170928,tablet,"8,067",00:02:01,53.74%,"7,230","4,891"
20170929,mobile,"35,796",00:01:26,61.94%,"31,720","22,092"
20170929,desktop,"25,924",00:02:02,52.33%,"23,383","16,554"
20170929,tablet,"7,588",00:01:56,54.16%,"6,857","4,638"
20170930,mobile,"27,650",00:01:21,64.20%,"24,975","17,953"
20170930,desktop,"11,220",00:01:48,54.44%,"10,399","7,889"
20170930,tablet,"6,223",00:01:42,56.29%,"5,625","3,815"
20171001,mobile,29497,0.000972222,0.6295,26789,19507
20171001,desktop,13592,0.001446759,0.5348,12502,9518
20171001,tablet,7445,0.001400463,0.5459,6760,4702
20171002,mobile,41752,0.001053241,0.6014,37162,26051
20171002,desktop,33336,0.001435185,0.5226,30207,21412
20171002,tablet,9018,0.001469907,0.511,8154,5512
20171003,mobile,39966,0.001041667,0.6111,35702,25039
20171003,desktop,32194,0.001412037,0.5267,29172,20749
20171003,tablet,8141,0.001435185,0.5276,7350,4986
20171004,mobile,40131,0.001030093,0.6176,35908,25271
20171004,desktop,31025,0.001435185,0.5237,28332,20232
20171004,tablet,8782,0.001458333,0.5416,7927,5434
20171005,mobile,38523,0.001006944,0.6226,34520,24539
20171005,desktop,29570,0.001412037,0.5319,27006,19341
20171005,tablet,8200,0.001388889,0.5516,7466,5100
20171006,mobile,34596,0.001006944,0.6272,30965,21686
20171006,desktop,24768,0.001354167,0.5382,22560,15992
20171006,tablet,6999,0.001342593,0.5558,6348,4257
20171007,mobile,28342,0.000914352,0.648,25648,18568
20171007,desktop,11488,0.001296296,0.5515,10641,8084
20171007,tablet,6291,0.001273148,0.5721,5724,3982
20171008,mobile,29369,0.000960648,0.6394,26742,19466
20171008,desktop,12976,0.00130787,0.567,12051,9303
20171008,tablet,6860,0.001342593,0.5598,6268,4387
20171009,mobile,42275,0.001053241,0.6071,37585,26343
20171009,desktop,34085,0.001412037,0.5195,31036,22334
20171009,tablet,9177,0.001481481,0.5202,8275,5719
20171010,mobile,35410,0.001030093,0.6063,31820,22307
20171010,desktop,30321,0.001435185,0.5175,27565,19594
20171010,tablet,7838,0.001435185,0.5351,7087,4791
20171011,mobile,41385,0.001087963,0.6094,36878,26102
20171011,desktop,32712,0.001435185,0.5309,29895,21556
20171011,tablet,8958,0.001516204,0.53,8150,5618
20171012,mobile,39477,0.001006944,0.6171,35319,24870
20171012,desktop,30563,0.001388889,0.535,27954,20031
20171012,tablet,8230,0.001412037,0.5391,7447,5098
20171013,mobile,35706,0.00099537,0.6266,31923,22453
20171013,desktop,25864,0.001354167,0.5392,23692,17073
20171013,tablet,7570,0.001446759,0.5421,6835,4607
20171014,mobile,27648,0.000902778,0.6451,25126,18120
20171014,desktop,10698,0.001273148,0.5523,9954,7567
20171014,tablet,6024,0.001342593,0.5646,5518,3802
20171015,mobile,66465,0.000636574,0.7304,61327,46557
20171015,desktop,14856,0.00125,0.5927,13789,10295
20171015,tablet,10424,0.001064815,0.6453,9588,6837
20171016,mobile,61085,0.000844907,0.6578,54583,38402
20171016,desktop,36110,0.001215278,0.5695,32661,23268
20171016,tablet,12477,0.001215278,0.5638,11158,7488
20171017,mobile,44166,0.00099537,0.6112,39199,26854
20171017,desktop,32147,0.001377315,0.5326,29251,20679
20171017,tablet,9543,0.001400463,0.5321,8593,5709
20171018,mobile,42026,0.001076389,0.6128,37373,26286
20171018,desktop,32087,0.001388889,0.5325,29279,20872
20171018,tablet,9292,0.001412037,0.5412,8453,5854
20171019,mobile,41466,0.00099537,0.6151,37111,26141
20171019,desktop,30972,0.001388889,0.5301,28308,20206
20171019,tablet,9568,0.001446759,0.5229,8748,6068
20171020,mobile,34910,0.000983796,0.627,31158,21503
20171020,desktop,25264,0.001412037,0.5298,23093,16541
20171020,tablet,7462,0.001400463,0.552,6756,4522
20171021,mobile,28032,0.000914352,0.6442,25284,18014
20171021,desktop,11570,0.001365741,0.5392,10704,8145
20171021,tablet,6581,0.00130787,0.5678,5969,4082
20171022,mobile,28619,0.000949074,0.636,26025,18701
20171022,desktop,12299,0.001331019,0.552,11372,8699
20171022,tablet,6970,0.001435185,0.5461,6312,4385
20171023,mobile,41046,0.001041667,0.6097,36686,25865
20171023,desktop,32475,0.001458333,0.517,29531,21007
20171023,tablet,9126,0.001435185,0.5145,8209,5610
20171024,mobile,39946,0.001018519,0.6198,35564,24988
20171024,desktop,31618,0.001423611,0.5243,28715,20333
20171024,tablet,8618,0.001469907,0.5345,7831,5334
20171025,mobile,38836,0.001006944,0.6216,34696,24223
20171025,desktop,30025,0.001388889,0.5301,27368,19612
20171025,tablet,8255,0.001493056,0.5386,7456,5066
20171026,mobile,38444,0.00099537,0.6281,34314,24191
20171026,desktop,29461,0.001377315,0.5453,26724,19237
20171026,tablet,7885,0.001365741,0.5412,7192,4931
20171027,mobile,33341,0.000949074,0.6325,29778,20664
20171027,desktop,23930,0.001377315,0.5316,21702,15315
20171027,tablet,6858,0.001273148,0.5596,6211,4220
20171028,mobile,26655,0.000902778,0.6523,24157,17353
20171028,desktop,10896,0.00125,0.5606,10094,7777
20171028,tablet,5766,0.001180556,0.581,5283,3597
20171029,mobile,28258,0.000891204,0.6518,25838,18872
20171029,desktop,12494,0.001238426,0.5818,11666,9115
20171029,tablet,6673,0.001319444,0.5566,6076,4222
20171030,mobile,38864,0.001006944,0.613,34613,24439
20171030,desktop,30880,0.001331019,0.5427,28157,20329
20171030,tablet,8474,0.001435185,0.5238,7639,5236
20171031,mobile,33513,0.00099537,0.6127,29940,20819
20171031,desktop,28456,0.001342593,0.5331,25858,18409
20171031,tablet,7820,0.001400463,0.5217,7048,4823
20171101,mobile,36710,0.001041667,0.6048,32790,22832
20171101,desktop,28349,0.001354167,0.5332,25943,18453
20171101,tablet,8431,0.001400463,0.5407,7581,5209
20171102,mobile,36673,0.001018519,0.6099,32587,22620
20171102,desktop,27938,0.001354167,0.5431,25557,18302
20171102,tablet,8063,0.001388889,0.5347,7311,5063
20171103,mobile,32500,0.000972222,0.6213,28984,20010
20171103,desktop,23348,0.001331019,0.5418,21354,15124
20171103,tablet,7062,0.001365741,0.5363,6375,4309
20171104,mobile,25411,0.000949074,0.6405,22911,16181
20171104,desktop,10815,0.001354167,0.5422,10065,7671
20171104,tablet,5955,0.001203704,0.5669,5410,3715
20171105,mobile,25627,0.000960648,0.6314,23316,16726
20171105,desktop,11999,0.001319444,0.5623,11168,8569
20171105,tablet,6526,0.00130787,0.5493,5931,4098
20171106,mobile,37876,0.001030093,0.6039,33676,23508
20171106,desktop,32116,0.001377315,0.5228,29127,20837
20171106,tablet,8713,0.001446759,0.5191,7872,5475
20171107,mobile,37531,0.001030093,0.6091,33504,23280
20171107,desktop,31898,0.001458333,0.5273,29099,20892
20171107,tablet,8808,0.001377315,0.5319,7892,5396
20171108,mobile,37090,0.001076389,0.6057,33053,22892
20171108,desktop,30351,0.001446759,0.5333,27726,19893
20171108,tablet,8166,0.001446759,0.5367,7422,5009
20171109,mobile,36112,0.001018519,0.6256,32347,22646
20171109,desktop,29029,0.001377315,0.5424,26552,19183
20171109,tablet,7810,0.001342593,0.5579,7106,4887
20171110,mobile,31909,0.000983796,0.6252,28561,19844
20171110,desktop,24173,0.001354167,0.5351,22092,15817
20171110,tablet,7044,0.001423611,0.5495,6399,4316
20171111,mobile,25455,0.0009375,0.6387,23070,16252
20171111,desktop,10990,0.001296296,0.5641,10219,7784
20171111,tablet,5960,0.001331019,0.5792,5420,3713
20171112,mobile,25785,0.000972222,0.638,23496,17100
20171112,desktop,12163,0.001319444,0.5682,11280,8777
20171112,tablet,6389,0.001284722,0.5638,5857,4058
20171113,mobile,36449,0.001030093,0.6074,32577,22966
20171113,desktop,31967,0.001412037,0.5318,29188,21023
20171113,tablet,8520,0.001435185,0.5286,7714,5365
20171114,mobile,36793,0.001006944,0.6128,32802,22988
20171114,desktop,31224,0.001423611,0.5328,28604,20645
20171114,tablet,8453,0.001388889,0.5392,7676,5287
20171115,mobile,35960,0.001018519,0.6167,32155,22604
20171115,desktop,30102,0.001377315,0.5438,27500,19787
20171115,tablet,8059,0.001435185,0.5413,7303,5009
20171116,mobile,34305,0.001018519,0.6152,30764,21391
20171116,desktop,28693,0.001377315,0.5512,26249,18901
20171116,tablet,7932,0.001435185,0.5571,7190,4936
20171117,mobile,30613,0.000983796,0.6221,27327,19035
20171117,desktop,23314,0.001354167,0.5342,21340,15310
20171117,tablet,7265,0.001377315,0.5708,6636,4599
20171118,mobile,24293,0.000960648,0.6383,21991,15791
20171118,desktop,10644,0.001319444,0.5683,9877,7449
20171118,tablet,5907,0.001273148,0.5876,5358,3707
20171119,mobile,25104,0.000914352,0.6382,22818,16509
20171119,desktop,11662,0.001365741,0.5699,10825,8267
20171119,tablet,6291,0.00125,0.5759,5747,4030
20171120,mobile,36549,0.001087963,0.594,32395,22534
20171120,desktop,31841,0.001423611,0.5214,29020,20589
20171120,tablet,8989,0.001423611,0.5298,8100,5549
20171121,mobile,35043,0.001018519,0.6117,31283,21847
20171121,desktop,31016,0.001423611,0.5249,28236,20048
20171121,tablet,8419,0.001377315,0.5428,7570,5239
20171122,mobile,36633,0.001018519,0.6127,32613,22838
20171122,desktop,30576,0.001388889,0.5407,27971,20115
20171122,tablet,9349,0.001435185,0.5487,8516,5998
20171123,mobile,33520,0.001018519,0.6171,30057,20985
20171123,desktop,28062,0.001342593,0.5447,25585,18333
20171123,tablet,7714,0.001365741,0.55,7028,4819
