Name,Position held,Date of departure,Destination,Purpose,Travel: air,Travel: rail/underground/bus/bike, Travel: taxi/car , Personal incidental overseas , Day subsistence , Meals , Miscellaneous , Parking , Hotel: total cost ,Hotel: number of nights,Other ,Notes
Philip Rutnam,Permanent Secretary,02/07/2015,Aylesbury,Annual Policy Summit at Hartwell House,,£15.23,,,,,,,,,,
Philip Rutnam,Permanent Secretary,03/07/2015,Aylesbury,Return from Annual Policy Summit at Hartwell House,,£15.23,,,,,,,,,,
Philip Rutnam,Permanent Secretary,03/07/2015,London Marylebone,Annual Policy Summit at Hartwell House,,£15.23,,,,,,,,,,
Philip Rutnam,Permanent Secretary,07/07/2015,London,Miscellaneous cost of £77.46 is for two formal lunches on separate occasions one on the 20/07/15 and another on the 22/07/15,,,£5.00,,,£35.33,£77.46,,,,,
Philip Rutnam,Permanent Secretary,31/07/2015,Nottingham,Visit to sites in Nottingham/Derby,,£2.13,,,,,,,,,,
Philip Rutnam,Permanent Secretary,31/07/2015,Derby,Site visit,,£30.07,,,,,,,,,,
Philip Rutnam,Permanent Secretary,31/07/2015,Leicester,Site visit,,£16.78,,,,,,,,,,
Philip Rutnam,Permanent Secretary,01/09/2015,London/Newcastle,Visit to Newcastle CS Live/LISW Dinner,,£2.70,£25.00,,,£9.47,,,,,,
Philip Rutnam,Permanent Secretary,10/09/2015,Newcastle,Visit to Newcastle CS Live/LISW Dinner,,£149.38,,,,,,,,,,
Philip Rutnam,Permanent Secretary,21/09/2015,Oxford,MPLA Said Business School,,£24.06,,,,,,,,,,
Philip Rutnam,Permanent Secretary,30/09/2015,Dublin,Perm Sec Generals Meeting Dublin,£117.98,£20.85,,,,,,,,,,
Bernadette Kelly,"Director General, Rail Group",21/09/2015,Bristol,CS Live,,,,,,,,,£121.40,1,,
Bernadette Kelly,"Director General, Rail Group",21/09/2015,Bristol TM,Derby Rail Industry Day,,,£14.00,,,,,,,,,
Bernadette Kelly,"Director General, Rail Group",30/09/2015,Leeds,Attended LEP's Dinner,,£284.69,£8.00,,,,,,£87.40,1,,
David Prout,"Director General, High Speed Rail Group",01/07/2015,TfL Zones 1 & 2,"Meetings at HS2 Ltd Offices, 1 Canada Square",,£10.40,,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",17/07/2015,Slough,Business meeting in Slough,,£8.92,,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",26/08/2015,TfL Zones 1 & 2,"Meetings at HS2 Ltd Offices, 1 Canada Square",,£9.80,,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",01/09/2015,TfL Zones 1 & 2,"Meetings at HS2 Ltd Offices, 1 Canada Square",,£15.60,,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",14/09/2015,Manchester,Manchester Piccadilly to Civil Service Live event,,,£7.00,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",14/09/2015,London Euston,Return from business meeting in Manchester,,£122.70,,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",14/09/2015,Manchester Piccadilly,Business meeting in Manchester,,£106.70,,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",14/09/2015,Crewe,Business meeting in Crewe,,£10.18,,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",15/09/2015,Stuttgart,Accompanying ministerial visit,,,,,,,,,£1.40,0,,
David Prout,"Director General, High Speed Rail Group",15/09/2015,Stuttgart,Accompanying ministerial visit,,,,,,,,,£301.74,1,,
David Prout,"Director General, High Speed Rail Group",16/09/2015,London Heathrow,Accompanying ministerial visit in Stuttgart,£129.80,,,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",24/09/2015,Teddington,Leadership Group Event,,£11.64,,,,,,,,,,
