Household Composition in Plympton St Mary Ward Plymouth data from Census 2011,Percentage of Households Plympton St Mary 2011,Minimum for Plymouth Wards,Mean for Plymouth Wards,Maximum for Plymouth Wards
Other household types: Other,2.1,2.1,4.1,10.3
One family household: Married or same-sex civil partnership couple: No children ,16.1,5.6,12.9,19
Other household types: With dependent children,1.8,1.3,1.9,2.7
Other household types: All full-time students,0,0,1.9,20.8
Other household types: All aged 65 and over,0.4,0.2,0.3,0.6
One family household: Lone parent: Dependent children,5.7,3.1,7.1,11.5
One family household: Cohabiting couple: No children,3.6,3.5,5.9,9.6
Percentage of One person household: Aged 65 and over,14.1,6.6,12.2,15.9
One family household: Married or same-sex civil partnership couple: Dependent children,19.1,4.5,13.7,21.6
One family household: Married or same-sex civil partnership couple: All children non-dependent,6.9,1.1,5.3,8
One family household: Cohabiting couple: All children non-dependent ,0.4,0.2,0.5,0.9
Percentage One person household: Other,9.5,9.5,18.3,40.4
One family household: Cohabiting couple: Dependent children,3.7,1.8,4.5,7.2
One family household: Lone parent family: All children non-dependent,3.1,1.7,3.3,5
One family household: All aged 65 and over,13.5,2.4,8.1,14.4
