                                                          Community Right to Bid - Assets of Community Value Register,,,,,,,,,,,,,,,,,
,1) Details of Assets nominated for listing as an Asset of Community Value and the decision reached,,,,,,,,,2) DETAILS WHERE OWNER HAS NOTIFIED OF INTENTION TO DISPOSE OF ASSET,,,,,,,
,NOMINATION DETAILS,,,,,DECISION,,,,INTENTION TO SELL,,,,,,EXPIRY,
Ref,Area Committee,Nominating Organisation,Asset  name,Asset address,Date nomination received,Date of decision,Report,Decision,Rationale for Decision,Date notification received,Interim moratorium period,Intention to bid received,Name of Community Interest Group,Full moratorium end date,"Protection period end date 
(During which no further moratoria can apply)",Date listing expires,
,,,,,,,,Under Consideration /Approved/ Rejected,,,(6 weeks from notification),,,(6 months from notification),(18 months from notification),(5 years after listing),
2013/0001,Central,Stockport County Supporters Cooperative,Edgeley Park Football Stadium and neighbouring car park,"Hardcastle Road, Edgeley, Stockport, SK3 9DD",17-Sep-13,07-Nov-13,Download officer report,Approved,"In response to a nomination received in response to the Community Right to Bid from the Stockport County Supporters’ Society Ltd, the Area Committee has considered the information provided in Section 3 of the report and agreed that the Edgeley Park Football Stadium (‘the Asset’) be listed as an Asset of Community Value. The Area Committee determined that the Asset’s main use (i.e. not ancillary) has recently been or is presently used to further the social wellbeing or social interests of the local community and could reasonably do so in the future i.e. within the next five years. 

It therefore meets the criteria set out in the Localism Act 2011 to be eligible for listing.",,,,,,,07-Nov-18,
20140001,Marple,Friends of Windlehurst Park,Windlehurst Park,"Windlehurst Park, Windlehurst Road, High Lane, Stockport SK6 8AF",25-Apr-14,04-Jun-14,Download officer report,Approved,"It was resolved that the Corporate Director for Corporate and Support Services, in consultation with the Chair, be authorised to determine the application for listing Windlehurst Park as an asset of community value under the Community Right to Bid. Following further evidence and consideration, it was agreed that the nomination meets the criteria set out in the Localism Act and that Windlehurst Park be listed as an Asset of Community Value .",,,,,,,04-Jun-19,
2014002,Werneth,Romiley Remembers,The Duke of York Public House,"Stockport Road, Romiley, Stockport SK6 3AN",11-Sep-14,03-Nov-14,Download officer report,Approved,"The Area Committee considered a nomination received in response to the Community Right to Bid provisions of the Localism Act 2012 from ‘Romiley Remembers’ for the inclusion of The Duke of York Public House, Romiley  on the list of assets of community value.

The Area Committee has determined that The Duke of York Public House, Romiley is within the Local Authority’s area; it does not fall within one of exemptions specified in the Regulations and further that Asset’s main use (i.e. not ancillary) has recently been or is presently being used to further the social wellbeing or social interests of the local community and could reasonably do so in the future (i.e. within the next five years) and therefore satisfied the requirements of the Regulations and should therefore be listed as an Asset of Community Value.",,,,,,,03-Nov-19,
2014003,Heatons & Reddish,Savoy Arts Centre ,Savoy Cinema,"105 Heaton Moor Road, Heaton Moor, Stockport SK4 4HY
",26-Sep-14,03-Nov-14,Download officer report,Approved,"The Area Committee determined that the Savoy Cinema, 105 Heaton Moor Road, Stockport should be lodges as an Asset of Community Value as prescribed in the Localism Act 2012.",,,,,,,03-Nov-19,
2014004,Marple,Marple & District Allotments Association,Rosehill Allotments,"Railway Road, Marple, SK6 6HU",11-Nov-14,N/a,N/a,Withdrawn by applicant,,,,,,,,N/a,
2014005,Marple,Marple & District Allotments Association,Seven Stiles Allotments,"Oakdene Road, Marples, SK6 6PJ",21-Nov-14,N/a,N/a,Withdrawn by applicant,,,,,,,,N/a,
