CPS outcomes by principal offence category durham,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,128,82.1%,28,17.9%
C Sexual Offences,9,81.8%,2,18.2%
D Burglary,29,90.6%,3,9.4%
E Robbery,5,71.4%,2,28.6%
F Theft And Handling,167,91.8%,15,8.2%
G Fraud And Forgery,16,100.0%,0,0.0%
H Criminal Damage,61,78.2%,17,21.8%
I Drugs Offences,37,97.4%,1,2.6%
J Public Order Offences,74,91.4%,7,8.6%
K All Other Offences (excluding Motoring),49,80.3%,12,19.7%
L Motoring Offences,190,91.3%,18,8.7%
Admin Finalisations,0,0.0%,2,100.0%
TOTAL,765,87.7%,107,12.3%
