Body,Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Expense Code,Extended Description ,Service Code,Service Label,Service Division Label,Service Division Code
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,04/04/2014,134924,4681,APERTURE,APE003,Communities Manager,Planned Maintenance,1016,SUPPLY/FIX APERTURE WEATHERING SYSTEM,LEICEN,Eden Leisure Centre & Appleby Swimming P,02097,Penrith Leisure Centre
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,04/04/2014,134928,1370,PEDESTRIAN MARKET SERVICES LTD,PED002,Communities Manager,Other charges for services,2047,PEDESTRIAN FOOTFALL MATCH 2014,EDEVPR,Economic Development and Promotion,03081,ED Bench Mark
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,04/04/2014,134935,4000,NORTHGATE INFORMATION SOLUTIONS LTD,NOR042,Revenue/Benefits Manager,Software – maintenance,2067,PARIS CORE SUPPORT SYSTEM,REVBEN,Revenue & Benefits,00106,Revenues
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,04/04/2014,134942,566,HELPING HAND COMPANY,HEL001,Engineering Manager,Community Litter Picking,2172,LITTERPICKER/HANDIHOOP,RECYCL,Recycling,03047,Recycling
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,04/04/2014,134973,1200,REDACTIVE PUBLISHING LIMITED,RED006,Human Resources Manager,Advertising,0050,JOB LISTING AND LOGO,CENTRA,Central Expenses,00208,Staff Recruitment
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,04/04/2014,134975,550,KAREN MACDOUGALL MA DIP ARCH,MCD001,Communities Manager,Other charges for services,2047,MUSEUM WORKSHOPS,MUSEUM,Museum,02089,Education programme
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,04/04/2014,134886,7850,ACTION FOR MARKET TOWNS,ACT001,Communities Manager,Other charges for services,2047,"PENRITH, APPLEBY,KIRKBY STEPHEN, ALSTON",EDEVPR,Economic Development and Promotion,03081,ED Bench Mark
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,04/04/2014,134880,588,TOP NOTCH CONTRACTORS LTD,TOP003,Environmental Services,Capital grants,5505,redacted information,MEREGR,1996 Mandatory Renovation Grants,06035,Disabled Facility Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,04/04/2014,134881,3525,TOP NOTCH CONTRACTORS LTD,TOP003,Environmental Services,Capital grants,5505,redacted information,MEREGR,1996 Mandatory Renovation Grants,06035,Disabled Facility Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,04/04/2014,134893,896,H&H REEDS PRINTERS LTD,REE001,Communities Manager,Community engagement development,2042,TOTALLY LOCAL - VARIOUS PRINT & DISPLAY,COMDEV,Community Development & Engagement,01056,Consultation
