Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,11/05/2017,0000198329,282.50,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Community,2518,Snap Discos,04/05/2017,0000205331,300.00,Revenue,Live & Love,12461
Rushmoor Borough Council,Holding Accounts,9445,Enterprise M3 Loan Repayment,11/05/2017,0000206509,428571.43,Holding Accounts,Hampshire County Council,01206
Rushmoor Borough Council,Community,6524,Contract Costs,18/05/2017,0000206785,8300.00,Capital,3C Payment Uk Ltd,14542
Rushmoor Borough Council,Democratic Services,1327,Operational Equipment,18/05/2017,0000206961,1045.00,Revenue,Capita Business Services Ltd,00208
Rushmoor Borough Council,Information Technology,3302,Application Software,18/05/2017,0000206973,25262.50,Revenue,Capita Business Services Ltd,00208
Rushmoor Borough Council,Community,2551,Admin Equipment,25/05/2017,0000207063,276.49,Revenue,Misco Computer Products,00628
Rushmoor Borough Council,Environmental Health and Housing,2402,Provision of Services - Youth Aims,11/05/2017,0000207079,40641.50,Revenue,Step By Step,02660
Rushmoor Borough Council,Environmental Health and Housing,2227,Ditch Course,25/05/2017,0000207099,652.50,Revenue,Kebur Garden Materials,04934
Rushmoor Borough Council,Community,2538,Training Expenses,04/05/2017,0000207111,487.50,Revenue,Trace Debt Recovery Uk Ltd,14450
Rushmoor Borough Council,Legal,1212,Electricity,18/05/2017,0000207128,545.98,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Control Accounts,9351,Community Cohesion - Information Day,04/05/2017,0000207150,1200.00,Control Accounts,Empire Banqueting & Hall,14113
Rushmoor Borough Council,Community,2517,Electricity,18/05/2017,0000207174,-771.84,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2517,Electricity,18/05/2017,0000207175,-1193.95,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2517,Electricity,18/05/2017,0000207177,-815.05,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2517,Electricity,18/05/2017,0000207180,-1166.65,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2517,Electricity,18/05/2017,0000207186,396.62,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2517,Electricity,18/05/2017,0000207187,279.49,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Community,2517,Electricity,18/05/2017,0000207194,412.38,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Legal,1202,Counsels Fees,25/05/2017,0000207203,370.50,Revenue,Lgss Law Ltd,14507
Rushmoor Borough Council,Community,2517,Signage Works,04/05/2017,0000207207,2928.50,Revenue,Signway Supplies,00884
Rushmoor Borough Council,Community,2526,Electricity,04/05/2017,0000207208,523.20,Revenue,Total Gas & Power Limited,13301
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,04/05/2017,0000207210,500.00,Revenue,Austin Fraser Ltd,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,04/05/2017,0000207210,500.00,Holding Accounts,Austin Fraser Ltd,09925
Rushmoor Borough Council,Customer Services,3808,Software,11/05/2017,0000207228,37953.91,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Planning,2614,Professional Subscriptions,04/05/2017,0000207239,275.11,Revenue,Arboricultural Association,01440
Rushmoor Borough Council,Chief Executive,1100,Consultancy,18/05/2017,0000207244,23068.75,Revenue,Allies And Morrison Architects,13636
Rushmoor Borough Council,Strategy and Communiations,1415,In-house Training,18/05/2017,0000207245,995.00,Revenue,Institute Of Risk Management,14559
Rushmoor Borough Council,Community,2517,Playground Apparatus,04/05/2017,0000207250,475.00,Revenue,Active Risk Management Services Ltd,11386
Rushmoor Borough Council,Community,2538,NPAS Fees,04/05/2017,0000207259,1861.20,Revenue,Patrol,05572
Rushmoor Borough Council,Planning,2609,Local Plan Preparation,04/05/2017,0000207260,1500.00,Revenue,Pos Enterprises Ltd,09614
Rushmoor Borough Council,Information Technology,7500,Cash Receipting Upgrade,25/05/2017,0000207261,3000.00,Capital,Capita Secure Information Solutions Ltd,00031
Rushmoor Borough Council,Community,6524,Contract Costs,18/05/2017,0000207263,11400.00,Capital,Metric Group Ltd,04436
Rushmoor Borough Council,Information Technology,3306,Paper,04/05/2017,0000207264,738.62,Revenue,Antalis Ltd,00037
Rushmoor Borough Council,Legal,1208,Security Alarm,04/05/2017,0000207268,552.36,Revenue,Orbis Protect Ltd,06771
Rushmoor Borough Council,Community,6518,Contract Costs,04/05/2017,0000207269,4480.00,Capital,Mgb Plastics,11093
Rushmoor Borough Council,Planning,2611,Equipment Maintenance,04/05/2017,0000207271,963.45,Revenue,Allied Images Ltd,14545
Rushmoor Borough Council,Information Technology,3307,Mobile Phones,04/05/2017,0000207272,484.72,Revenue,Vodafone Limited,08864
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,04/05/2017,0000207273,350.00,Revenue,Andy Linke,14293
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,04/05/2017,0000207274,270.00,Revenue,Andy Linke,14293
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,04/05/2017,0000207276,1200.00,Revenue,Profectus Group Ltd,14309
Rushmoor Borough Council,Community,6585,Contract Costs,04/05/2017,0000207277,485.00,Capital,Country Care (Southern) Ltd,09091
Rushmoor Borough Council,Information Technology,3305,Co-Location Costs,04/05/2017,0000207278,610.06,Revenue,Cms (Cable Management Supplies) Plc,10513
Rushmoor Borough Council,Community,2549,Skilled Up Project Costs,25/05/2017,0000207281,700.00,Revenue,Clearview Cleaning Solutions Ltd,14570
Rushmoor Borough Council,Community,6593,Contract Costs,04/05/2017,0000207283,1950.00,Capital,Hit Scaffolding,14550
Rushmoor Borough Council,Democratic Services,1327,Postages,04/05/2017,0000207288,1048.67,Revenue,Royal Mail,00821
Rushmoor Borough Council,Legal,1208,Electricity,04/05/2017,0000207290,303.45,Revenue,Scottish Power Group,14177
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,04/05/2017,0000207292,355.00,Revenue,Berkshire Office Furniture,14012
Rushmoor Borough Council,Information Technology,3305,Refreshments at Meetings,04/05/2017,0000207296,254.90,Revenue,Coffee Select Ltd,12667
Rushmoor Borough Council,Community,2515,General Repairs and Maintenance,11/05/2017,0000207299,850.00,Revenue,Harpers Door Specialists,14059
Rushmoor Borough Council,Community,2534,Grant to Dial a Ride,04/05/2017,0000207301,17046.80,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Legal,1202,Books and Publications,11/05/2017,0000207302,342.00,Revenue,Thomson Reuters,00955
Rushmoor Borough Council,Community,2551,Memorial Vaults,11/05/2017,0000207304,3900.00,Revenue,The Columbaria Company,00993
Rushmoor Borough Council,Community,2551,Memorial Vaults,04/05/2017,0000207305,1715.00,Revenue,The Columbaria Company,00993
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,04/05/2017,0000207307,806.40,Revenue,Dorma Uk Ltd,13664
Rushmoor Borough Council,Legal,1210,Asbestos Monitoring,04/05/2017,0000207309,280.00,Revenue,Amstech Inspections And Testing Ltd,13343
Rushmoor Borough Council,Community,2526,General Repairs and Maintenance,04/05/2017,0000207310,280.00,Revenue,Amstech Inspections And Testing Ltd,13343
Rushmoor Borough Council,Environmental Health and Housing,2401,Energy Efficiency,11/05/2017,0000207311,500.00,Revenue,The Environment Centre,00908
Rushmoor Borough Council,Democratic Services,1314,Admin Equipment,25/05/2017,0000207313,495.00,Revenue,Kinnarps Uk Limited,13976
Rushmoor Borough Council,Community,6573,Contract Costs,18/05/2017,0000207314,63876.82,Capital,Kier Construction Ltd,14447
Rushmoor Borough Council,Democratic Services,1314,Admin Equipment,25/05/2017,0000207316,3752.70,Revenue,Kinnarps Uk Limited,13976
Rushmoor Borough Council,Environmental Health and Housing,2402,Storage,04/05/2017,0000207317,330.00,Revenue,Smove,14167
Rushmoor Borough Council,Community,2537,Security Services,04/05/2017,0000207318,2228.52,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Democratic Services,1314,Admin Equipment,25/05/2017,0000207319,3302.38,Revenue,Kinnarps Uk Limited,13976
Rushmoor Borough Council,Community,2537,Security Services,18/05/2017,0000207320,546.98,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Community,2551,Operational Equipment,04/05/2017,0000207321,600.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,11/05/2017,0000207322,750.00,Revenue,Austin Fraser Ltd,09925
