Department Family,Entity,Payment Date,Expense Type,Cost Centre Name,Supplier,Transaction No.,Line Amount,Invoice Total
Department of Health,North East SHA,01/12/2010,MISCELLANEOUS EXPENDITURE,NESHA CHOICE AND SOCIAL EXCLUSION,GATESHEAD COUNCIL,LS201040445,"314,000.00","314,000.00"
,,,,,,,,
Department of Health,North East SHA,02/12/2010,MISCELLANEOUS EXPENDITURE,NESHA INNOVATION FUND,LANGBAURGH SOCIAL ENTERPRISE,20108,"150,000.00","150,000.00"
,,,,,,,,
Department of Health,North East SHA,07/12/2010,TRAINING EXPENSES,FLEXIBLE TRAINEES,CDDFT LET NHS FOUNDATION TRUST,44101394,"33,010.24","33,010.24"
,,,,,,,,
Department of Health,North East SHA,07/12/2010,TRAINING EXPENSES,PRACTITIONER TRAINING PROGRAMME,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0160055,"28,884.00","28,884.00"
Department of Health,North East SHA,07/12/2010,TRAINING EXPENSES,WORKFORCE DEVELOPMENT INNOVATION FUND,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0160064,"66,621.00","66,621.00"
,,,,,,,,
Department of Health,North East SHA,07/12/2010,B9 SENIOR MGRS,NESHA CHIEF EXECUTIVE OFFICE,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,143221,"25,923.70","25,923.70"
Department of Health,North East SHA,07/12/2010,TRAINING EXPENSES,DEANS - COMMISSIONING,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,143360,"39,759.00","39,759.00"
,,,,,,,,
Department of Health,North East SHA,07/12/2010,TRAINING EXPENSES,BUILDING PUBLIC HEALTH FUTURES GROUP,UNIVERSITY OF SUNDERLAND,3014348,"44,024.00",44024
,,,,,,,,
Department of Health,North East SHA,14/12/2010,MISCELLANEOUS EXPENDITURE,NESHA NORTH EAST PUBLIC HEALTH OBSERVATORY,DURHAM UNIVERSITY,222416,"32,030.72","32,030.72"
,,,,,,,,
Department of Health,North East SHA,14/12/2010,TRAINING EXPENSES,CONTINUING PROFESSIONAL  DEVELOPMENT (CPD),NORTHUMBRIA UNIVERSITY,90994073,"-39,318.00","192,180.00"
Department of Health,North East SHA,14/12/2010,TRAINING EXPENSES,NURSING BLOCK CONTRACT,NORTHUMBRIA UNIVERSITY,90994073,"139,962.50",
Department of Health,North East SHA,14/12/2010,TRAINING EXPENSES,MIDWIFERY - TUITION,NORTHUMBRIA UNIVERSITY,90994073,"40,019.00",
Department of Health,North East SHA,14/12/2010,TRAINING EXPENSES,PHYSIOTHERAPY-TUITION,NORTHUMBRIA UNIVERSITY,90994073,-562.4,
,,14/12/2010,TRAINING EXPENSES,OCCUP THERAPY-TUITION,NORTHUMBRIA UNIVERSITY,90994073,"11,444.00",
Department of Health,North East SHA,14/12/2010,TRAINING EXPENSES,OP DEPT PRACTITIONER-TUITION,NORTHUMBRIA UNIVERSITY,90994073,"40,634.90",
,,,,,,,,
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,FLEXIBLE TRAINEES,CDDFT LET NHS FOUNDATION TRUST,44101412,"407,974.00","407,974.00"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,FLEXIBLE TRAINEES,CDDFT LET NHS FOUNDATION TRUST,44190504,"-42,342.20","-42,342.20"
,,,,,,,,
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,NMET BUNDLE,CITY HOSPITALS SUNDERLAND FOUNDATION NHS TRUST,181784,"44,250.00","721,583.33"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,MADEL BUNDLE PAYMENTS,CITY HOSPITALS SUNDERLAND FOUNDATION NHS TRUST,181784,"562,250.00",
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,SIFT BUNDLE,CITY HOSPITALS SUNDERLAND FOUNDATION NHS TRUST,181784,"115,083.33",
,,,,,,,,
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,PRECEPTORSHIP,COUNTY DURHAM AND DARLINGTON COMMUNITY HEALTH SERVICES,702450,"25,000.00",25000
,,,,,,,,
,,15/12/2010,TRAINING EXPENSES,CIP/SLIPPAGE/RESERVES,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3131167,"184,410.43","184,410.43"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,NMET BUNDLE,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3131182,"40,000.00","749,917.00"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,MADEL BUNDLE PAYMENTS,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3131182,"547,750.00",
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,SIFT BUNDLE,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3131182,"162,167.00",
Department of Health,North East SHA,15/12/2010,B6 A & C,LET - RECHARGE,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3131239,"7,709.49","65,267.48"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,LET - OTHER,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3131239,"57,557.99",
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,DEANS - COMMISSIONING,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3131250,"51,686.70","51,686.70"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,CONTINUING PROFESSIONAL  DEVELOPMENT (CPD),COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3131251,"95,000.00","95,000.00"
,,,,,,,,
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,NMET BUNDLE,GATESHEAD HEALTH NHS FOUNDATION TRUST,121960,"41,488.00","440,630.00"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,MADEL BUNDLE PAYMENTS,GATESHEAD HEALTH NHS FOUNDATION TRUST,121960,"316,404.00",
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,SIFT BUNDLE,GATESHEAD HEALTH NHS FOUNDATION TRUST,121960,"82,738.00",
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,CONTINUING PROFESSIONAL  DEVELOPMENT (CPD),GATESHEAD HEALTH NHS FOUNDATION TRUST,302635,"55,000.00","55,000.00"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,PRECEPTORSHIP,GATESHEAD HEALTH NHS FOUNDATION TRUST,302683,"43,200.00","43,200.00"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,JOINT INVESTMENT FRAMEWORK,GATESHEAD HEALTH NHS FOUNDATION TRUST,302684,"121,851.00","121,851.00"
,,,,,,,,
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,CONTINUING PROFESSIONAL  DEVELOPMENT (CPD),GATESHEAD PCT,93000717,"68,000.00","68,000.00"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,JOINT INVESTMENT FRAMEWORK,GATESHEAD PCT,93000718,"54,911.00","54,911.00"
,,,,,,,,
Department of Health,North East SHA,15/12/2010,SMP,S & W DEDUCTION - SMP,HM REVENUE AND CUSTOMS,504PW00002145 NOV-10,"-2,412.69","315,859.90"
Department of Health,North East SHA,15/12/2010,STUDENT LOAN,S & W DEDUCT - STUDENT LOANS,HM REVENUE AND CUSTOMS,504PW00002145 NOV-10,"2,683.00",
,,15/12/2010,INCOME TAX,S & W DEDUCTION - INCOME TAX,HM REVENUE AND CUSTOMS,504PW00002145 NOV-10,"184,223.11",
Department of Health,North East SHA,15/12/2010,NAT INS EES,S & W DEDUCTION - NAT INS EE,HM REVENUE AND CUSTOMS,504PW00002145 NOV-10,"51,374.41",
Department of Health,North East SHA,15/12/2010,NAT INS ERS,S & W DEDUCTION - NAT INS ER,HM REVENUE AND CUSTOMS,504PW00002145 NOV-10,"79,992.07",
,,,,,,,,
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,WORKFORCE DEVELOPMENT INNOVATION FUND,MIDDLESBROUGH PCT,3926,"110,000.00","110,000.00"
,,,,,,,,
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,SIFT BUNDLE,NEWCASTLE PCT (COMMISSIONING),64000978,"5,000.00","183,583.00"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,MADEL BUNDLE PAYMENTS,NEWCASTLE PCT (COMMISSIONING),64000978,"155,083.00",
,,15/12/2010,TRAINING EXPENSES,NMET BUNDLE,NEWCASTLE PCT (COMMISSIONING),64000978,"23,500.00",
,,,,,,,,
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,JOINT INVESTMENT FRAMEWORK,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0160154,"80,486.00","80,486.00"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,PRECEPTORSHIP,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0160234,"189,175.00","189,175.00"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,NMET BUNDLE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0160488,"238,416.67","4,104,333.34"
Department of Health,North East SHA,15/12/2010,TRAINING EXPENSES,MADEL BUNDLE PAYMENTS,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0160488,"1,876,666.67",
