Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGISTS,21129334,"795,150.00",National Guidance Alliance Apr16-Mar17 Q3
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Contr Other External,NP - BNF,RPS PUBLISHING,21146926,"960,000.00",BNF Services fee Q3 (Oct-Dec 16)
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Computer Maintenance,NP - IM&T,SERVER LABS LTD,21155758,"25,181.08",Novemeber AWS usage + Business Support 
Department of Health,National Institute For Health And Care Excellence,31/12/2016,"Books, Journals & Subscr",NP - National Core Content HEE,PROQUEST LLC,21177780,"284,316.01",Elecrtonic & Print Content
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Contr Other External,NP - Commissioned Content,CLARITY INFORMATICS LTD,21230730,"133,623.60",Evidence Based Resource for Primary Care Year 5 Dec-16 to Mar-16
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PHYSICIANS,21230756,"848,160.00",National Collaborating Centre Q3 16/17
Department of Health,National Institute For Health And Care Excellence,31/12/2016,"Books, Journals & Subscr",NP - National Core Content HEE,EBSCO INTERNATIONAL INC,21230792,"201,361.80","National subscription fees for Health Business Elite and CINAHL databases on behalf of the NHS, for the period April 16 to March 2017"
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Contr Other External,NP - BNF,RPS PUBLISHING,21230802,"-171,814.92",BNF printing costs 
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Rent,NP- Facilities - Manchester,MJ MAPP LLP,21247203,"22,927.80","Quarterly rent charge of office space at Level 1A, City Tower, Manchester"
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Service Charge,NP- Facilities - Manchester,MJ MAPP LLP,21247203,"136,890.60","Quarterly rent charge of office space at Level 1A, City Tower, Manchester"
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Rent,NP- Facilities - Manchester,MJ MAPP LLP,21247207,"117,975.00","Quarterly rent charge of office space at Level 1A, City Tower, Manchester"
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Service Charge,NP- Facilities - Manchester,MJ MAPP LLP,21247207,"23,661.30","Quarterly rent charge of office space at Level 1A, City Tower, Manchester"
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Rent,NP - Facilities - London,BRITISH COUNCIL,21261760,"58,908.16",Rent payment for office space at 10 Spring Gardens 01/07/16 - 30/09/16
Department of Health,National Institute For Health And Care Excellence,31/12/2016,"Books, Journals & Subscr",NP - National Core Content HEE,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD,21309904,"120,941.57",Licences for access to different medical databases
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,21339991,"111,808.76","Rail, hotel & flight costs for November 16"
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Computer Software/License,NP - Commissioned Content,EDUSERV,21339997,"68,750.00",Provision of Athens Service from 01/07/16 -30/09/16
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Contr Other External,NP - BNF,RPS PUBLISHING,21340016,"220,669.50",BNF printing costs 
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Contr Other External,NP - BNF,RPS PUBLISHING,21340020,"537,254.17",BNF printing costs 
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Phone Rental and Calls,NP-IT,HIGH SPEED OFFICE LTD,21340028,"31,569.96","Network and Data, including inter site telecoms supply to NICE?s 3 sites and organisational external telephone connection provision"
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Contr Other External,NP-CP Guidelines,UNIVERSITY OF BRISTOL,21340031,"37,500.00",Clinical guidelines Technical support unit Q3 16/17
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Rent,NP - Facilities - London,BRITISH COUNCIL,21340033,"264,840.00",Rent payment for office space at 10 Spring Gardens 25/12/16-30/03/17
Department of Health,National Institute For Health And Care Excellence,31/12/2016,Service Charge,NP - Facilities - London,BRITISH COUNCIL,21340033,"24,980.99",Service charge payment for office space at 10 Spring Gardens 01/01/17-31/03/17
