Department,Entity, Transaction Date, Expense Type, Expense Area, Supplier Name,Transaction number, Amount, Invoice Description
DFID,DFID,02/06/2016,Air fares ,Finance and Corporate Performance Division ,Corporate travel provider,100008-101 ,"£1,396.03",
DFID,DFID,02/06/2016,Air fares ,East and Central Africa ,Corporate travel provider,100016-107 ,"£1,626.23",
DFID,DFID,02/06/2016,Air fares ,East and Central Africa ,Corporate travel provider,100016-107 ,£756.61,
DFID,DFID,02/06/2016,Air fares ,Research and Evidence Division ,Corporate travel provider,100039-111 ,£550.84,
DFID,DFID,02/06/2016,Air fares ,Policy Division ,Corporate travel provider,100045-101 ,£796.93,
DFID,DFID,02/06/2016,Air fares ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate travel provider,100049-133 ,£628.32,
DFID,DFID,02/06/2016,Hotels - Accommodation only ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate travel provider,100049-133 ,£674.82,
DFID,DFID,02/06/2016,Hotels - Accommodation only ,Conflict  Humanitarian  Security & Stabilisation Division ,Corporate travel provider,100049-134 ,£878.51,
DFID,DFID,02/06/2016,Air fares ,West and Southern Africa ,Corporate travel provider,100068-101 ,£818.90,
DFID,DFID,02/06/2016,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-102 ,"£33,000.00",
DFID,DFID,02/06/2016,Hotels - Accommodation only ,Global Funds ,Corporate travel provider,100098-101 ,£738.73,
DFID,DFID,02/06/2016,Air fares ,Global Funds ,Corporate travel provider,100098-101 ,£634.45,
DFID,DFID,30/06/2016,Office Supplies ,Group Operations ,Office Needs Direct ,100106-101 ,£505.60,
DFID,DFID,30/06/2016,Postage Costs ,Group Operations ,Neopost ,100106-101 ,£510.00,
DFID,DFID,30/06/2016,Postage Costs ,Group Operations ,Neopost ,100106-101 ,£510.00,
DFID,DFID,02/06/2016,Air fares ,Economic Development Division ,Corporate travel provider,100111-101 ,£783.15,
DFID,DFID,02/06/2016,Air fares ,Economic Development Division ,Corporate travel provider,100111-101 ,"£1,191.95",
DFID,DFID,27/06/2016,Hotels - Accommodation only ,Internal Audit ,Foreign & Commonwealth Office ,100121-101 ,"£1,135.12",
DFID,DFID,02/06/2016,Air fares ,Internal Audit ,Corporate travel provider,100121-101 ,£551.17,
DFID,DFID,02/06/2016,Air fares ,Internal Audit ,Corporate travel provider,100121-101 ,£551.17,
DFID,DFID,02/06/2016,Air fares ,Internal Audit ,Corporate travel provider,100121-101 ,£538.07,
DFID,DFID,02/06/2016,Air fares ,Internal Audit ,Corporate travel provider,100121-101 ,£505.04,
DFID,DFID,02/06/2016,Air fares ,Internal Audit ,Corporate travel provider,100121-101 ,£803.47,
DFID,DFID,02/06/2016,Hotels - Accommodation only ,Economic Development Division ,Corporate travel provider,100124-101 ,£638.71,
DFID,DFID,02/06/2016,Air fares ,Middle East and North Africa Division ,Corporate travel provider,100146-101 ,"£1,008.35",
DFID,DFID,02/06/2016,Air fares ,Middle East and North Africa Division ,Corporate travel provider,100146-101 ,£644.12,
DFID,DFID,02/06/2016,Air fares ,Middle East and North Africa Division ,Corporate travel provider,100146-101 ,£539.20,
DFID,DFID,02/06/2016,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate travel provider,100185-101 ,£882.27,
DFID,DFID,02/06/2016,Hotels - Accommodation only ,Finance and Corporate Performance Division ,Corporate travel provider,100201-101 ,£515.00,
DFID,DFID,02/06/2016,Training - Travel & Subsistence ,East and Central Africa ,Corporate travel provider,100212-101 ,£723.63,
DFID,DFID,02/06/2016,Air fares ,East and Central Africa ,Corporate travel provider,100227-101 ,£797.67,
DFID,DFID,20/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-102 ,£867.01,
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-102 ,"£1,136.30",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-102 ,"£1,136.30",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-103 ,"£1,136.30",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-103 ,"£2,396.35",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-104 ,"£3,633.45",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-104 ,"£3,633.45",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-104 ,"£2,863.50",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-104 ,"£2,863.50",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-104 ,"£1,130.95",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-104 ,"£1,130.95",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-105 ,£790.65,
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-105 ,£716.40,
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-105 ,"£2,347.15",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-106 ,"£1,343.35",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-106 ,"£1,343.35",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-106 ,"£1,899.70",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-106 ,"£1,899.70",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-107 ,"£4,126.55",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-107 ,"£2,510.55",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-108 ,£763.65,
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-108 ,"£2,837.65",
DFID,DFID,02/06/2016,Air fares ,Top Management Group ,Corporate travel provider,100232-108 ,"£2,101.75",
DFID,DFID,27/06/2016,Printer Consumables ,International Relations Division ,Foreign & Commonwealth Office ,100236-101 ,£608.51,
DFID,DFID,02/06/2016,Air fares ,International Relations Division ,Corporate travel provider,100240-101 ,£699.55,
DFID,DFID,02/06/2016,Air fares ,International Relations Division ,Corporate travel provider,100240-101 ,£759.93,
DFID,DFID,02/06/2016,Air fares ,International Relations Division ,Corporate travel provider,100240-101 ,£646.32,
DFID,DFID,02/06/2016,Air fares ,International Relations Division ,Corporate travel provider,100240-101 ,£648.03,
DFID,DFID,02/06/2016,Air fares ,International Relations Division ,Corporate travel provider,100262-101 ,£974.51,
DFID,DFID,02/06/2016,Air fares ,International Relations Division ,Corporate travel provider,100262-101 ,£541.55,
DFID,DFID,02/06/2016,Air fares ,Group Operations ,Corporate travel provider,100270-102 ,£520.52,
DFID,DFID,02/06/2016,Air fares ,Group Operations ,Corporate travel provider,100270-102 ,£751.22,
DFID,DFID,02/06/2016,Hotels - Accommodation only ,Policy Division ,Corporate travel provider,100274-111 ,£975.50,
DFID,DFID,02/06/2016,Air fares ,Policy Division ,Corporate travel provider,100274-111 ,"£1,060.93",
DFID,DFID,02/06/2016,Air fares ,Policy Division ,Corporate travel provider,100274-111 ,£932.55,
DFID,DFID,02/06/2016,Air fares ,Policy Division ,Corporate travel provider,100275-105 ,£651.25,
DFID,DFID,02/06/2016,Air fares ,Economic Development Division ,Corporate travel provider,100276-101 ,£598.45,
DFID,DFID,02/06/2016,Hotels - Accommodation only ,Economic Development Division ,Corporate travel provider,100276-101 ,£902.00,
DFID,DFID,02/06/2016,Air fares ,Economic Development Division ,Corporate travel provider,100276-101 ,£616.79,
DFID,DFID,02/06/2016,Air fares ,Economic Development Division ,Corporate travel provider,100276-101 ,£507.87,
DFID,DFID,02/06/2016,Air fares ,Economic Development Division ,Corporate travel provider,100276-101 ,£559.03,
DFID,DFID,02/06/2016,Air fares ,Policy Division ,Corporate travel provider,100277-101 ,£506.12,
DFID,DFID,02/06/2016,Hotels - Accommodation only ,Policy Division ,Corporate travel provider,100277-103 ,"£1,736.06",
DFID,DFID,02/06/2016,Air fares ,Policy Division ,Corporate travel provider,100277-103 ,£539.25,
DFID,DFID,26/06/2016,Cleaning Costs ,Middle East and North Africa Division ,Foreign & Commonwealth Office ,100303-101 ,£712.21,
DFID,DFID,26/06/2016,Other passenger transport ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101601-110 ,£960.55,
DFID,DFID,26/06/2016,Contract Catering Services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101601-110 ,"£1,440.83",
