Minister,Date,Name of External Organisation,Purpose of meeting
"Secretary of State, Rt Hon Maria Miller MP ",Jan,Hacked Off,To discuss Leveson implementation
"Secretary of State, Rt Hon Maria Miller MP ",Jan,"Lord Hunt, Transition Chairman, Michael McManus, Transition Director",To discuss Leveson implementation
"Secretary of State, Rt Hon Maria Miller MP ",Jan,"Lord Black, Telegraph, Chris Blackhurst, Independent, Tony Danker, Guardian,Lord Hunt, Transition Chairman, Michael McManus, PCC, David Newell, Newspaper Society,Paul Vickers, Trinity Mirror, John Witherow, News International, Peter Wright, Associated Press, Gareth Morgan, Northern & Shell",To discuss Leveson implementation
"Secretary of State, Rt Hon Maria Miller MP ",Jan,Digital Business First Campaign,To discuss broadband
"Secretary of State, Rt Hon Maria Miller MP ",Jan,"Lord Black, Telegraph, Pia Sarma, News International, Peter Wright, Associated Press",To discuss Leveson implementation
"Secretary of State, Rt Hon Maria Miller MP ",Jan,Premier League,Introductory meeting
"Secretary of State, Rt Hon Maria Miller MP ",Jan,"Ian Russell, Johnston Press",To discuss press regulation
"Secretary of State, Rt Hon Maria Miller MP ",Jan,Arts and Business,Introductory meeting
"Secretary of State, Rt Hon Maria Miller MP ",Jan,"Gymbox, Virgin Active, Greenwich Leisure Limited, David Lloyd Leisure Group, Sport England",Roundtable discussion on sport
"Secretary of State, Rt Hon Maria Miller MP ",Jan,"Chris Blackhurst, Independent, Tony Danker, Guardian, Lord Hunt, Transition Chairman,Michael McManus, PCC, Pia Sarma, News International, Paul Vickers, Trinity Mirror, Peter Wright, Associated Press",To discuss Leveson implementation
"Secretary of State, Rt Hon Maria Miller MP ",Jan,Hacked Off,To discuss Leveson implementation
"Secretary of State, Rt Hon Maria Miller MP ",Jan,"INCA, CityFibre Holdings, Rala",To discuss broadband
"Secretary of State, Rt Hon Maria Miller MP ",Jan,BBC,Introductory meeting with new Director-General
"Secretary of State, Rt Hon Maria Miller MP ",Jan,Church of England,To discuss the Equal Marriage Bill
"Secretary of State, Rt Hon Maria Miller MP ",Jan,"Lionel Barber, Financial Times",To discuss Leveson implementation
"Secretary of State, Rt Hon Maria Miller MP ",Jan,"John Witherow, News International",To discuss Leveson implementation
"Secretary of State, Rt Hon Maria Miller MP ",Jan,Ofcom,To discuss UHF spectrum
"Secretary of State, Rt Hon Maria Miller MP ",Jan,"Lord Black and Murdoch MacLennan, Telegraph",To discuss Leveson implementation
"Secretary of State, Rt Hon Maria Miller MP ",Jan,Catholic Church,To discuss the Equal Marriage Bill
"Secretary of State, Rt Hon Maria Miller MP ",Jan,"Lord Black, Telegraph, Geraldine Elliott, Reynolds Porter Chamberlain, Paul Vickers, Trinity Mirror, Peter Wright, Associated Press, ",To discuss Leveson implementation
"Secretary of State, Rt Hon Maria Miller MP ",Jan,The Globe,Introductory meeting
"Secretary of State, Rt Hon Maria Miller MP ",Jan,"Lord Black, Telegraph, Lord Hunt, Transition Body, Michael McManus, PCC, Pia Sarma, News International, Paul Vickers, Trinity Mirror, Peter Wright, Associated Press",To discuss Leveson implementation
"Secretary of State, Rt Hon Maria Miller MP ",Jan,V&A,Introductory meeting
"Secretary of State, Rt Hon Maria Miller MP ",Jan,Wallace Collection,Introductory meeting
"Secretary of State, Rt Hon Maria Miller MP ",Jan,Royal Opera House,Introductory meeting 
