Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-FareGosp Intgrated LD Team,Payments to Health Authorities,24.09.2013,2209666870,4987.22,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-FareGosp Intgrated LD Team,Payments to Health Authorities,27.09.2013,2209679292,4892.94,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-Generic-Mental Capacity Act,Hire of Conference Facilities,12.09.2013,2209639639,11990.00,R,MIDDLESEX UNIVERSITY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-MH Staff North,Payments to Health Authorities,03.09.2013,2209611140,6769.05,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-MH Staff North,Payments to Health Authorities,27.09.2013,2209679235,10656.18,R,"SOUTHERN HEALTH (MH,LD & SC) NHS FT"
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-MH-Assertive Outreach Tm-NEHants,Payments to Health Authorities,27.09.2013,2209679188,4328.62,R,SURREY & BORDERS PARTNERSHIP
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-MH-Loc Dev Mgr-Mid Hants,Payments to Health Authorities,27.09.2013,2209679163,1921.00,R,HAMPSHIRE HOSPITALS NHSFT
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-OP/PD-Eastleigh North community,Payments to Health Authorities,09.09.2013,2209626061,1975.50,R,SOUTHERN HEALTH NHS FOUNDATION TRUS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-OP/PD-Eastleigh North community,Payments to Other LocalAuthorities,16.09.2013,2209644601,1393.07,R,EASTLEIGH BOROUGH COUNCIL
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-OT Reablement Post,Agency Staff - Basic Pay,25.09.2013,2209670129,3018.65,R,ACCESS INDEPENDENT LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-OT Reablement Post,Agency Staff - Basic Pay,25.09.2013,2209670139,862.50,R,ACCESS INDEPENDENT LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-OT Reablement Post,Agency Staff - Basic Pay,25.09.2013,2209670144,1706.25,R,ACCESS INDEPENDENT LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-PhysDis-OT-SE,Other Misc Expenses,10.09.2013,2209630704,1140.00,R,CLH HEALTHCARE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,Adoption and Fostering Marketing,Advertising  ( Non Staff ),03.09.2013,2209612362,1400.00,R,JOHN WOODHEAD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,Adoption and Fostering Marketing,Advertising  ( Non Staff ),03.09.2013,2209612372,512.00,R,NEWSQUEST HAMPSHIRE & DORSET
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,Adoption and Fostering Marketing,Advertising  ( Non Staff ),19.09.2013,2209658531,575.00,R,NEWSQUEST HAMPSHIRE & DORSET
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,C&F Supported Lodgings Contract,Lodgings / Rented Accom.,11.09.2013,9400036215,7379.40,R,STONHAM HOUSING ASSOCIATION
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,C&F Supported Lodgings Contract,Lodgings / Rented Accom.,11.09.2013,9400036216,12012.00,R,TWO SAINTS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,C&F Supported Lodgings Contract,Lodgings / Rented Accom.,11.09.2013,9400036217,9609.60,R,TWO SAINTS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-Community Drug & Alcohol Services,Payments to Health Authorities,11.09.2013,9400035959,255971.08,R,SOLENT NHS TRUST
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-Community Drug & Alcohol Services,Payments to Health Authorities,11.09.2013,9400035959,191993.24,R,SOLENT NHS TRUST
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-Inpatient Detox,Payments to Health Authorities,06.09.2013,2209622884,78754.00,R,SOLENT NHS TRUST
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-Inpatient Detox,Payments to Health Authorities,26.09.2013,2209673695,78757.00,R,SOLENT NHS TRUST
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-Integrated Offend Manage - HIOMS,Purch Care-Indep Sector-Block Purchase SP Only,11.09.2013,9400035877,65205.48,R,THE SOCIETY OF ST JAMES
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-NPS Strategy,Hire of Conference Facilities,04.09.2013,2209614876,657.50,R,WFC FACILITIES MANAGEMENT LTD
