Expenditure Exceeding 25K - November 2012,,,,,,,,,
,,,,,,,,,
Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount,Invoice Amount,Reclaimable Vat
Department of Health,Tameside Hospital NHS Foundation Trust,19/11/2012,DRUGS,DRUGS,AAH PHARMACEUTICALS LTD,Nov-12,"160,000.00","160,000.00",
Department of Health,Tameside Hospital NHS Foundation Trust,19/11/2012,DRUGS,DRUGS,ALLIANCE HEALTHCARE DISTRIBUTION LTD,I2A306563,"38,111.98","38,111.98",
Department of Health,Tameside Hospital NHS Foundation Trust,19/11/2012,DRUGS,DRUGS,ALLIANCE HEALTHCARE DISTRIBUTION LTD,I2AF06429,"36,012.41","36,012.41",
Department of Health,Tameside Hospital NHS Foundation Trust,19/11/2012,DRUGS,DRUGS,ALLIANCE HEALTHCARE DISTRIBUTION LTD,I2AP06391,"27,435.84","27,435.84",
Department of Health,Tameside Hospital NHS Foundation Trust,19/11/2012,DRUGS,DRUGS,ALLIANCE HEALTHCARE DISTRIBUTION LTD,I2AV06152,"27,332.68","27,332.68",
Department of Health,Tameside Hospital NHS Foundation Trust,19/11/2012,HEALTHCARE FROM INDEPENDENT SECTOR,ORTHOPAEDIC MEDICAL STAFF,BMI HEALTHCARE,TAM ORTHO 0812,"41,273.79","41,273.79",
Department of Health,Tameside Hospital NHS Foundation Trust,27/11/2012,INTEREST EXPENSE ON PFI FINANCE LEASE NHSFT,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510118,"242,522.53",,
Department of Health,Tameside Hospital NHS Foundation Trust,27/11/2012,CONTRACT : OTHER EXTERNAL,PFI & HIT,,,"204,262.63",,
Department of Health,Tameside Hospital NHS Foundation Trust,27/11/2012,OBLIGATIONS UNDER PFI/LIFT > ONE YEAR,NCL - PFI LEASES,,,"92,433.71",,
Department of Health,Tameside Hospital NHS Foundation Trust,27/11/2012,PFI LIFECYCLE COSTS PROVISION > ONE YEAR,NCA - PREPAYMENTS PFI,,,"51,417.09",,
