Title:,Plant diversity : Habitat connectivity in the wider countryside,,,,,,,
Year:, 1990 to 2007,,,,,,,
Geography:,England,,,,,,,
Units:,mean connectivty,,,,,,,
Source:,"Forest Research, Centre for Ecology and Hydrology",,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/biodiversity/,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,
Nat. Statistic:,No,,,,,,,
Custodian," Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,
Contact:,transparency@defra.gsi.gov.uk,,,,,,,
Release Date:,Jun-12,,,,,,,
Notes:, a.  The mean connectivity value is a measure of the relative connectivity of habitats on a scale of 0 (not connected) to 100 (contiguous habitat).  Typical values are between zero and one.  ,,,,,,,
,b.  Changes shown by an asterisk (*) indicate a significance change between 1990 and 2007.,,,,,,,
,,,,,,,,
,,,,,,,,
Indicator 3,,,,,,,,
Title,,,,,,,,
,"Habitat connectivity in the wider countryside, 1990 to 2007",,,,,,,
Geographical coverage,,,,,,,,
Source,,,,,,,,
Link,,,,,,,,
Contact,Email: enviro.statistics@defra.gsi.gov.uk ,,,,,,,
,,,,,,,,
,1990,1998,2007,,,,,
"Broad-leaved, mixed and yew woodland",0.0923,0.0695,0.0868,,,,,
Neutral grassland,0.3272,0.7569,0.8226*,,,,,
,,,,,,,,
Notes: ,,,,,,,,
 1.  The mean connectivity value is a measure of the relative connectivity of habitats on a scale of 0 (not connected) to 100 (contiguous habitat).  Typical values are between zero and one.  ,,,,,,,,
2.  Changes shown by an asterisk (*) indicate a significance change between 1990 and 2007.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
