Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,National Institute for Health & Care Excellence,30/11/2013,Contr Other External,NP - Commissioned Content - Core,CLARITY INFORMATICS LTD,17068676,"157,500",Evidence Based Resource for Primary Care Year 2 Quarter 2,,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,"Books, Journals & Subscr",NP - Commissioned Content - Core,EBSCO INFORMATION SERVICES,17047770,"73,460",National subscription fees for Lancet medical journal,,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,Contr Other External,NP-IT,INSPIRED NETWORKS,17050805,"32,150",IT Support and Management contract ,,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,Contr Other External,NP - NPC,KEELE UNIVERSITY,17068682,"50,419",Provision of Specialist  Medicines Information Unit,,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,Agency Admin & Clerical,IM&T Core,NTT DATA UK LTD,17068674,"35,251",Specialist Contractor costs,,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,17059308,"125,808","Rail, hotel & flight costs for October 2013",,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGY,17068684,"389,040",National Collaborating Centre for Women's and Children's Health Quarter 3 2013/14,,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PSYCHIATRISTS,17068677,"44,467",National Collaborating Centre work on Mental Health for Guidelines Quarter 3 2013/14 - additional costs,,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,Contr Other External,NP-CP Guidelines,ROYAL COLLEGE OF PSYCHIATRISTS,17068678,"289,033",National Collaborating Centre work on Mental Health for Guidelines Quarter 3 2013/14,,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,Contr Other External,NP - BNF,RPS PUBLISHING,17017969,"1,022,500",BNF Services fee Q3 (Oct13-Dec13),,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,Contr Other External,NP-Finance,SOFTWARE (EUROPE) LTD,17068680,"27,514",Annual license for online Expenses,,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,CHAPS Control Account,Balance Sheet,SOFTWARE (EUROPE) LTD,17072812,"25,135",Reimbursement of Committee members expense claims,,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,Travel & Subsistence,Fully Recovered: International Commercial Activity,UNIGLOBE GEMINI TRAVEL,17053252,"36,763",Flights booked during the period 01/10/13 to 31/10/13,,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,Contr Other External,NP - Evaluation Pathway,UNIVERSITY OF BIRMINGHAM,17047766,"186,869",Evaulation Patherways External Assessment Centre Quarter 2 Year 3,,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,Contr Other External,NP-CP Guidelines,VELINDRE NHS TRUST,17076009,"333,563",National Collaborting Centre for Cancer Q2 2013/14,,,,,
Department of Health,National Institute for Health & Care Excellence,30/11/2013,"Books, Journals & Subscr",NP - SHALL - Commissioned Content,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD,17068675,"174,298",Licences for access to different medical databases,,,,,
