Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,118,111.17,404,390.57,869,844,824,800.98,236,228.3,0,0,2451,2375.02,162,160.31,0,0,105,101.97,87,84.18,354,346.46,2805,2721.48,"£9,018,704","£113,188","£65,290","£38,192","£1,886,897","£860,723","£11,982,994","£2,518,343","£217,252","£2,735,595","£14,718,589",
Alcohol Education & Research Council,Executive Non-Departmental Public Body,Department of Health,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,£0,
Appointments Commission,Executive Non-Departmental Public Body,Department of Health,3,2.4,19,18.3,11,9.8,5,5,3,2.8,,,41,38.3,,,,,,,,,0,0,41,38.3,"£114,795",£0,£0,£0,"£13,380","£10,232","£138,407",£0,£0,£0,"£138,407",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,244,232.5,52,51.22,867,830.14,130,130,37,37,358,341.84,1688,1622.7,179,179,18,18,15,15,1,1,213,213,1901,1835.7,"£5,076,461","£99,252",£0,"£88,198","£683,550","£483,361","£6,430,822","£1,203,277",£0,"£1,203,277","£7,634,099",
Council for Healthcare Regulatory Excellence,Executive Non-Departmental Public Body,Department of Health,2,2,5,5,8,7.6,3,3,1,1,,,19,18.6,,,,,2,0.77,,,2,0.77,21,19.37,"£79,432",£0,£0,£0,"£9,713","£7,814","£96,959",£0,"£0,245","£0,245","£97,204",
General Social Care Council,Executive Non-Departmental Public Body,Department of Health,108,99.7,61,56.8,51,49.8,14,14,3,3,0,0,237,223.3,61,27,1,1,2,2,4,4,68,34,305,257.3,"£478,355","£23,590","£9,895",£0,"£35,888","£43,979","£591,707","£108,121",£0,"£108,121","£699,828",
Health & Social Care Information Centre,Special Health Authority,Department of Health,94,82.1,111,107.2,150,144.6,130,126.3,30,27.9,,,515,488.1,15,13.2,,,31,23.1,,,46,36.3,561,524.4,"£1,465,574","£5,986",£0,"£0,723","£199,885","£120,764","£1,792,932","£292,578","£35,400","£327,978","£2,120,910",
Health Protection Agency,Executive Non-Departmental Public Body,Department of Health,783,700.97,521,496.01,1708,1625.63,324,316.54,340,319.02,122,111.81,3798,3569.98,61,57,12,11,12,5.95,3,2.1,88,76.05,3886,3646.03,"£10,572,151","£1,615,506",£0,"£50,100","£1,453,246","£1,107,297","£14,798,300","£670,982","£150,852","£821,834","£15,620,134",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,2,1.78,25,21.63,31,30.49,14,13.62,4,4,,,76,71.52,,,,,,,,,0,0,76,71.52,"£246,845","£0,313",£0,"£6,661","£48,036","£23,613","£325,467",£0,"£24,679","£24,679","£350,146",The HFEA currently has 8 vacancies
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,0,0,7,7,18,18,8,8,5,5,,,38,38,,,,,,,,,0,0,38,38,"£167,309",£0,£0,£0,"£17,311","£12,659","£197,280","£24,071","£31,194","£55,265","£252,545",
