CPS outcomes by principal offence category essex,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,2,100.0%,0,0.0%
B Offences Against The Person,183,80.6%,44,19.4%
C Sexual Offences,19,86.4%,3,13.6%
D Burglary,43,95.6%,2,4.4%
E Robbery,9,69.2%,4,30.8%
F Theft And Handling,338,92.9%,26,7.1%
G Fraud And Forgery,17,77.3%,5,22.7%
H Criminal Damage,66,89.2%,8,10.8%
I Drugs Offences,101,97.1%,3,2.9%
J Public Order Offences,150,89.8%,17,10.2%
K All Other Offences (excluding Motoring),69,89.6%,8,10.4%
L Motoring Offences,426,93.2%,31,6.8%
Admin Finalisations,0,0.0%,35,100.0%
TOTAL,"1,423",88.4%,186,11.6%
