Entity,GL Date,Merchant name,Amount,Description
DEFRA,07/11/2017,RBS  ,662.56,RBS bill payment: reference: 000006654853505
APHA,08/11/2017,ENTERPRISE,551.26,Group Car Hire
APHA,08/11/2017,ENTERPRISE,614.57,Group Car Hire
APHA,08/11/2017,ENTERPRISE,670.82,Group Car Hire
APHA,08/11/2017,ENTERPRISE,730.61,Group Car Hire
APHA,08/11/2017,ENTERPRISE,863.38,Group Car Hire
APHA,15/11/2017,ROYAL MAIL ONLINE SHOP,650,Franking machine/postage
APHA,15/11/2017,COMMUNISIS,9157.51, SAM letter despatch
APHA,22/11/2017,PORTCATELLO SUPPLY DEP,944.36,Purchase of equip for project
APHA,28/11/2017,COMMUNISIS,2752.63, SAM letter despatch
KEW,02/11/2017,NatureSpy,565.96,2 x infrared camera traps plus security boxes for use in Ethiopia on Enset project 11261-100 in recording nocturnal floral visitors under project work package 2.
KEW,02/11/2017,UKBA6648676518,536,Renewal fee for Kew's application to be a Visa Sponsor.
KEW,03/11/2017,AMPLICON LIVELINE LTD,559.29,"Parts for the Nudam system at Wakehurst, which is links the Orchards and other building to the MSB Fire alarm notification."
KEW,09/11/2017,DUBLIN SKYLON HOTEL,653.62,Hotel Accomodation x2 members of staff from formal learning to attend BGEN conference in Dublin.
KEW,09/11/2017,LOVE2SHOP.CO.UK,504.25,Gift voucher for prize draw incentivising campaign activity.
KEW,13/11/2017,PUBLIC LIBRARY OFSCIENCE,1174.34,Costs of publication of a scientific paper in PLoS One.
KEW,14/11/2017,WP-DOMESTIC TAX LT,1514.84,DBS Checks and UK Border Agency.
KEW,15/11/2017,WWW.SKILLSMATTER.COM,714,FullStack 2018 conference/training course fee for one staff.
KEW,17/11/2017,WWW.FORESTHOLIDAYSCABINS,502.5,Gift voucher for prize draw incentivising campaign activity.
KEW,22/11/2017,TEDDINGTON CARS LTD,778.72,Repairs to the School of Horticulture’s minibus.
KEW,29/11/2017,ICOM UK,999,Corporate membership to the International Council of Museums
RPA,10/11/2017,Team Strides Ltd,1084.74,Lapel pin Badges - Lond Service Aawards
VMD,03/11/2017,Sue Knight Books and Talks,3000,Training course - NLP Business Practioner
VMD,07/11/2017,"Talbot Hotel, Dublin",674.94,8 nights accomodation for 1 person
