CPS outcomes by principal offence category hertfordshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,100.0%,1,0.0%
B Offences Against The Person,139,82.2%,37,17.8%
C Sexual Offences,6,57.1%,3,42.9%
D Burglary,30,87.9%,8,12.1%
E Robbery,6,84.2%,2,15.8%
F Theft And Handling,168,91.5%,17,8.5%
G Fraud And Forgery,28,89.5%,7,10.5%
H Criminal Damage,29,87.2%,6,12.8%
I Drugs Offences,82,95.3%,8,4.7%
J Public Order Offences,51,89.4%,9,10.6%
K All Other Offences (excluding Motoring),34,65.9%,9,34.1%
L Motoring Offences,455,88.9%,47,11.1%
Admin Finalisations,0,0.0%,21,100.0%
TOTAL,"1,028",85.5%,175,14.5%
