Organisation Reference Number,Organisation Name,Areas Served,Address Line 1,Address Line 2,Town,Postcode,Phone Numbers,Website/Email,Befriending,Complementary Therapies,Personal & Professional Development,Social Support,Talking Therapies,Transgenerational Services,"Truth, Justice & Acknowledgement",Welfare Support
1,Aisling Centre,"Fermanagh, Omagh",37 Darling Street,,Enniskillen,BT74 7DP,028 66325811,www.theaislingcentre.com,,1,1,,1,1,,
2,Antrim Voluntary Welfare Group,Antrim ,,,,,028 90279100,Contact VSS: enquiries@vssni.org,,,,1,,,1,
3,Antrim Youth Information and Counselling Centre,"Antrim, Ballymena, Larne, Newtownabbey",10a High Street,,Antrim,BT41 4AN,028 94429844,www.ayicc.co.uk ,,1,1,,1,,,
4,Ashton Community Trust,Belfast,5 Churchill Street,,Belfast,BT15 2BP,028 90746737; 028 90742255,www.ashtoncommunitytrust.com,,1,1,,1,,1,
5,Aurora Counselling,Derry/Londonderry,46b Racecourse Road,,Derry,BT48 8DS,028 71350407,www.auroracounselling.org ,,1,1,,1,1,,
6,Barnardo's,"Armagh, Banbridge,  Craigavon, Dungannon & S.Tyrone",10 Church Street,,Banbridge,BT32 4AA,028 40628758; 028 90672366,www.barnardos.org.uk/northernireland ,,,,,1,1,,
7,CALMS (Community Action for Locally Managing Stress),"Derry/Londonderry, Strabane, Limavady",10 Northland Road,,Derry,BT48 7JD,028 71268698,calms.stresscentre@btconnect.com ,,1,1,,1,,,1
8,Castlehill Foundation,"Craigavon, Dungannon & South Tyrone",31 Castle Street,,Portadown,BT62 1BA,028 38333840,castlehillfoundation@outlook.com ,1,1,1,1,,1,,
9,Centre for Health and Wellbeing,Belfast,Unit 1,689 Upper Springfield Road,Belfast,BT12 7FP,028 90223220,www.chwbbelfast.org ,,1,,,,,,
10,Colin Community Counselling Ltd,"Belfast, Lisburn",Colin Family Centre,Pembrooke Loop Road,Poleglass,BT17 0PH,028 90604347,www.colincounselling.org,,,,,1,,,
11,County Armagh Phoenix Group,Armagh,3 Mallview Terrace,,Armagh,BT61 9AN,028 37527802,capg@btinternet.com,1,,1,1,,1,,
12,Cúnamh,"Derry/Londonderry, Limavady",171 Sunbeam Terrace,Bishop Street,Derry,BT48 6UJ,028 71288868 ,www.cunamh.org ,,1,,,1,,,1
13,Decorum NI,Across Northern Ireland,26 Balloo Avenue,,Bangor ,BT19 7QT,028 91457565,www.decorumni.co.uk ,,,1,1,,1,1,
14,Derry Well Women,Derry/Londonderry,17 Queen Street,,Derry,BT48 7EQ,028 71360777,www.derrywellwoman.org ,,1,1,,1,,,
15,East Belfast Community Counselling Centre,Belfast,The Network Centre,55 Templemore Avenue,Belfast,BT5 4FP,028 90460489 ,www.eastbelfastcounselling.org ,,,,,1,,,
16,FAIR (Families Acting for Innocent Relatives),"Armagh, Banbridge, Craigavon, Down, Newry & Mourne",18 Mowhan Road,Markethill,Armagh,BT60 1RQ,028 37552619 ,info@fairvictims.com,1,,1,1,,1,,
17,Families Beyond Conflict,Belfast,56 Tennent Street,,Belfast,BT13 3GB,028 90248985,jackiefbc@btconnect.com,,,1,1,,1,,
