"1","directgov","131,796"
"2","student finance","85,287"
"3","jobcentre plus","64,726"
"4","job centre","54,064"
"5","direct gov","49,063"
"6","jobcentre","48,225"
"7","dvla","46,705"
"8","car tax","32,294"
"9","passport renewal","22,614"
"10","direct.gov.uk","17,969"
"11","directgov jobs","17,405"
"12","road tax","16,066"
"13","student finance england","15,801"
"14","www.direct.gov.uk","15,045"
"15","job centre plus","13,859"
"16","direct.gov","13,828"
"17","minimum wage","12,891"
"18","theory test","11,985"
"19","www.direct.gov.uk/taxdisc","11,901"
"20","council tax","11,608"
"21","job seekers allowance","11,059"
"22","uk bank holidays 2011","10,863"
"23","income support","9,560"
"24","jobcentreplus","9,530"
"25","dsa practical test","9,078"
"26","dvla car tax","8,426"
"27","housing benefit","8,411"
"28","disability living allowance","7,861"
"29","passport fees","7,791"
"30","national minimum wage","7,658"
"31","child tax credit","7,433"
"32","highway code","7,397"
"33","dla","7,246"
"34","state pension","6,998"
"35","driving licence","6,954"
"36","bank holidays 2011","6,702"
"37","dvla swansea","6,640"
"38","working tax credit","6,619"
"39","uk bank holidays","6,505"
"40","driving test","6,343"
"41","jobseekers","6,229"
"42","stamp duty","6,164"
"43","car tax bands","6,129"
"44","ema","6,059"
"45","book driving test","5,917"
"46","provisional licence","5,664"
"47","jobseekers allowance","5,640"
"48","dvla change of address","5,565"
"49","british summer time 2011","5,311"
"50","passport application","5,289"
"51","car tax online","5,192"
"52","tax disc","5,138"
"53","sorn","4,899"
"54","dsa theory test","4,817"
"55","pension credit","4,761"
"56","dvla theory test","4,683"
"57","government","4,659"
"58","theory test online","4,553"
"59","when do the clocks go forward 2011","4,460"
"60","practical driving test","4,415"
"61","benefits","4,366"
"62","driving theory test","4,293"
"63","mot","4,260"
"64","bank holidays","4,228"
"65","statutory sick pay","4,185"
"66","mot check","4,151"
"67","redundancy","4,137"
"68","www.direct.gov.uk/studentfinance","4,134"
"69","sure start","4,101"
"70","job center plus","3,965"
"71","pension forecast","3,956"
"72","maternity pay","3,932"
"73","student loans","3,887"
"74","crisis loan","3,828"
"75","clocks change 2011","3,767"
"76","www.direct.gov.uk/passports","3,740"
"77","job seekers","3,704"
"78","national insurance","3,685"
"79","council tax bands","3,664"
"80","attendance allowance","3,560"
"81","employment law","3,544"
"82","provisional license","3,526"
"83","road tax bands","3,485"
"84","sure start maternity grant","3,446"
"85","book theory test","3,419"
"86","carers allowance","3,388"
"87","student loan","3,365"
"88","direct gov jobs","3,246"
"89","jsa","3,197"
"90","gov","3,128"
"91","dvla tax","3,084"
"92","renew passport","3,056"
"93","statutory maternity pay","3,031"
"94","theory test booking","2,941"
"95","state pension forecast","2,940"
"96","maternity allowance","2,880"
"97","vehicle tax band","2,793"
"98","dvla driving test","2,712"
"99","community care grant","2,666"
"100","pensions","2,653"
"101","vehicle tax bands","2,601"
"102","child tax credits","2,597"
"103","www.direct.gov.uk/renewat70","2,525"
"104","www.direct.gov.uk/jobseekers","2,509"
"105","paternity leave","2,481"
"106","ssp","2,476"
"107","incapacity benefit","2,471"
"108","gov.uk","2,463"
"109","practice theory test","2,431"
"110","swine flu","2,312"
"111","lost driving licence","2,247"
"112","bank holidays 2011 uk","2,245"
"113","disability discrimination act","2,239"
"114","direct.gov jobs","2,233"
"115","jobcentre plus contact","2,207"
"116","school admissions","2,195"
"117","change driving test","2,180"
"118","clocks go forward 2011","2,177"
"119","booking driving test","2,172"
"120","maternity leave","2,153"
"121","dvla sorn","2,105"
"122","esa","2,098"
"123","driving licence renewal","2,044"
"124","job centre online","1,993"
"125","cv template","1,981"
"126","uk minimum wage","1,970"
"127","cbt","1,948"
"128","uk government","1,938"
"129","redundancy pay","1,923"
"130","passport","1,913"
"131","constructive dismissal","1,906"
"132","book practical driving test","1,902"
"133","probate","1,847"
"134","dsa","1,834"
"135","dvla practical test","1,832"
"136","gov.co.uk","1,805"
"137","driving license","1,792"
"138","vehicle tax","1,780"
"139","council tax benefit","1,758"
"140","national insurance number","1,758"
"141","housing benefit calculator","1,738"
"142","budgeting loan","1,730"
"143","when do clocks change 2011","1,723"
"144","minimum wage uk","1,717"
"145","bank holidays uk","1,699"
"146","direct","1,692"
"147","driving licence change of address","1,691"
"148","dvla address","1,683"
"149","road tax online","1,674"
"150","dvla driving licence","1,637"
"151","smp","1,636"
"152","directgov.co.uk","1,624"
"153","apprenticeships","1,624"
"154","driving test booking","1,623"
"155","www.gov.co.uk","1,611"
"156","benefits calculator","1,599"
"157","school holidays","1,593"
"158","gov jobs","1,560"
"159","directgov student finance","1,557"
"160","human rights act","1,510"
"161","holiday entitlement","1,501"
"162","studentfinance","1,493"
"163","vosa","1,485"
"164","uk public holidays 2011","1,476"
"165","direct.gov.uk taxdisc","1,474"
"166","www.direct.gov.uk/drivingtest","1,451"
"167","pass plus","1,449"
"168","warm front","1,444"
"169","online theory test","1,424"
"170","provisional driving licence","1,420"
"171","working time directive","1,411"
"172","employment and support allowance","1,395"
"173","pension","1,390"
"174","tax car","1,373"
"175","sick pay","1,362"
"176","p45","1,359"
"177","www.direct.gov.uk/motoring","1,355"
"178","bank holidays uk 2011","1,350"
"179","job center","1,330"
"180","redundancy calculator","1,328"
"181","provisional","1,326"
"182","uk passport fees","1,323"
"183","direct gov uk","1,316"
"184","www.directgov.uk","1,299"
"185","state pensions","1,297"
"186","tax allowances 2011","1,294"
"187","tax bands","1,291"
"188","access to work","1,289"
"189","change practical driving test","1,278"
"190","uk passport renewal","1,277"
"191","child benefit rates","1,277"
"192","direct gov student finance","1,276"
"193","booking theory test","1,257"
