,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land use on agricultural holdings on 1 June (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousand hectares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,revised,2010,2011,2012,2013,2014,2015,2016,% change,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 (b),,,,,,,,2016/2015,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilised agricultural area (c), 9 624, 9 618, 9 601, 9 589, 9 595, 9 571, 9 489, 9 492, 9 467, 9 457, 9 460, 9 434, 9 334, 9 314, 9 285, 9 244, 9 205, 9 038, 9 263, 9 185, 9 164, 9 165, 9 231, 9 299, 9 222, 9 262, 9 317, 8 947, 8 874, 8 863, 8 925, 9 018, 8 963, 8 912, 9 006,1.1%,,,
UAA as a proportion of total England area (d),74%,74%,74%,74%,74%,73%,73%,73%,73%,73%,73%,72%,72%,71%,71%,71%,71%,69%,71%,70%,70%,70%,71%,71%,71%,71%,71%,69%,68%,68%,68%,69%,69%,68%,69%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total agricultural land (including common rough grazing), 9 945, 9 946, 9 938, 9 932, 9 944, 9 926, 9 886, 9 867, 9 848, 9 851, 9 888, 9 871, 9 779, 9 759, 9 732, 9 699, 9 663, 9 486, 9 728, 9 644, 9 603, 9 595, 9 709, 9 756, 9 718, 9 767, 9 846, 9 404, 9 315, 9 314, 9 384, 9 485, 9 432, 9 391, 9 520,1.4%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Common rough grazing (e),  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  428,  399,  399,  399,  399,  399,  399,0.0%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total area on agricultural holdings, 9 518, 9 518, 9 510, 9 504, 9 516, 9 498, 9 458, 9 439, 9 421, 9 423, 9 460, 9 443, 9 351, 9 331, 9 304, 9 271, 9 235, 9 058, 9 300, 9 216, 9 175, 9 167, 9 281, 9 328, 9 290, 9 339, 9 418, 8 976, 8 887, 8 915, 8 985, 9 086, 9 033, 8 992, 9 121,1.4%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total croppable area, 5 280, 5 290, 5 350, 5 341, 5 348, 5 327, 5 196, 5 210, 5 208, 5 254, 5 289, 5 196, 5 143, 5 183, 5 244, 5 182, 5 143, 5 106, 5 143, 5 097, 5 046, 5 082, 5 018, 4 870, 4 866, 4 826, 4 860, 4 738, 4 654, 4 720, 4 828, 4 865, 4 827, 4 809, 4 836,0.6%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total crops, 4 238, 4 339, 4 396, 4 416, 4 444, 4 435, 4 362, 4 266, 4 222, 4 244, 3 839, 3 804, 3 852, 4 000, 4 228, 4 216, 3 992, 3 971, 3 786, 3 902, 3 813, 3 911, 3 870, 3 787, 3 800, 4 031, 3 992, 3 901, 3 918, 3 961, 4 036, 3 960, 4 010, 3 984, 3 993,0.2%,,,
             Arable crops, 4 030, 4 151, 4 201, 4 221, 4 261, 4 245, 4 173, 4 078, 4 039, 4 066, 3 670, 3 635, 3 684, 3 832, 4 063, 4 055, 3 832, 3 818, 3 631, 3 744, 3 655, 3 754, 3 718, 3 640, 3 650, 3 880, 3 839, 3 754, 3 773, 3 809, 3 887, 3 820, 3 870, 3 834, 3 857,0.6%,,,
                 Cereals, 3 321, 3 383, 3 367, 3 368, 3 296, 3 256, 3 257, 3 076, 2 933, 2 926, 2 523, 2 555, 2 666, 2 815, 2 938, 2 853, 2 604, 2 811, 2 492, 2 716, 2 543, 2 609, 2 432, 2 391, 2 408, 2 730, 2 596, 2 538, 2 497, 2 535, 2 594, 2 492, 2 634, 2 573, 2 617,1.7%,,,
                 Oilseeds,  218,  257,  271,  276,  341,  304,  301,  376,  479,  503,  461,  389,  353,  353,  455,  535,  566,  362,  396,  336,  454,  484,  597,  568,  647,  577,  577,  567,  644,  698,  742,  714,  648,  629,  571,-9.1%,,,
                 Potatoes,  142,  144,  139,  130,  131,  135,  132,  135,  135,  137,  131,  125,  130,  135,  127,  124,  137,  127,  126,  119,  109,  112,  102,  105,  104,  106,  108,  105,  100,  108,  112,  103,  105,  96,  104,8.1%,,,
                 Other crops,  349,  367,  424,  446,  493,  550,  484,  492,  491,  500,  555,  566,  536,  529,  543,  543,  525,  517,  617,  574,  550,  550,  587,  576,  491,  467,  559,  545,  532,  468,  439,  511,  482,  535,  564,5.3%,,,
             Horticultural crops,  207,  188,  195,  195,  183,  191,  189,  188,  183,  177,  169,  169,  168,  168,  165,  160,  160,  154,  155,  158,  158,  157,  152,  148,  150,  151,  153,  146,  145,  152,  149,  140,  139,  150,  136,-9.1%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Uncropped arable land (No set-aside 1983-1989) (f),  86,  33,  33,  37,  32,  47,  43,  106,  129,  167,  616,  661,  577,  460,  281,  291,  518,  505,  733,  539,  607,  496,  530,  494,  423,  159,  231,  221,  149,  139,  136,  237,  146,  179,  216,20.9%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Temporary grass (sown in the last 5 years),  956,  918,  922,  888,  873,  844,  791,  837,  857,  844,  834,  730,  713,  723,  735,  675,  633,  630,  624,  656,  626,  674,  618,  589,  643,  636,  637,  617,  587,  620,  656,  668,  671,  646,  627,-2.9%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total permanent grassland, 3 916, 3 900, 3 823, 3 820, 3 819, 3 817, 3 865, 3 854, 3 831, 3 775, 3 743, 3 811, 3 764, 3 703, 3 614, 3 634, 3 635, 3 504, 3 692, 3 660, 3 690, 3 655, 3 785, 4 000, 3 928, 4 007, 4 029, 3 781, 3 781, 3 736, 3 691, 3 745, 3 728, 3 695, 3 760,1.8%,,,
         Grass over 5 years old, 3 151, 3 143, 3 064, 3 067, 3 068, 3 073, 3 111, 3 107, 3 088, 3 024, 3 005, 3 073, 3 038, 2 993, 2 913, 2 941, 2 938, 2 877, 3 015, 2 956, 3 037, 3 011, 3 143, 3 330, 3 373, 3 429, 3 439, 3 223, 3 288, 3 239, 3 208, 3 273, 3 252, 3 231, 3 282,1.6%,,,
         Sole right rough grazing,  765,  757,  759,  753,  751,  743,  753,  748,  743,  751,  738,  738,  726,  710,  700,  694,  697,  627,  677,  704,  653,  643,  642,  670,  556,  578,  590,  558,  493,  497,  483,  472,  476,  464,  479,3.2%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Other land on agricultural holdings,  322,  328,  337,  344,  349,  355,  398,  375,  382,  394,  428,  437,  444,  445,  447,  455,  458,  448,  465,  459,  440,  430,  478,  458,  496,  505,  528,  458,  452,  459,  466,  476,  477,  488,  524,7.4%,,,
