OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate, Amount ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14051645,6607,A & C Weber UK Limited,R4000-WST001,Equipment Purchase,24/03/2017,"3,115.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Collection Schemes,14051645,6607,A & C Weber UK Limited,R4000-RYC006,Equipment Purchase,24/03/2017,"8,245.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Built Environment,14051646,9190,Abacus Data and Mailing Limited,R4400-SUP040,Services - Professional Fees,24/03/2017,"6,531.02 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Gloucestershire Airport,14051329,2088951,Alixpartners Services UK LLP,R4400-AIR101,Services - Professional Fees,10/03/2017,"15,000.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Oakley Resource Centre,14051634,PSI112368,AllCoopers Limited,R2083-COM101,R&M of Build - Routine,31/03/2017,"1,196.43 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Door Entry,14051721,32409,Allhands Limited T/A Harrold Jones Services,C1107-CAH010,Building Works,31/03/2017,"16,513.50 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Trade Waste,14051159,67508,Alpha Colour Printers Limited,R4000-TRW001,Equipment Purchase,03/03/2017,738.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Council Tax Collection,14051344,67554,Alpha Colour Printers Limited,R4300-LTC001,Printing - Services,10/03/2017,"1,576.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Registration of Electors,14051312,29768,Alpha Response Print & Mail Limited,R4300-ELE001,Printing - Services,10/03/2017,668.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Flood Risk Management,14051221,2017/18526,Alun Griffiths (Contractors) Limited,R5001-FRM101,TPP - Major External Contractors,31/03/2017,"69,323.89 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Public Conveniences,14051105,570192,Andy Loos Limited,R2083-REG019,R&M of Build - Routine,17/03/2017,"1,016.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,JCS Affordable Housing Capacity Funding,14051602,10237,Ark Consultancy Ltd,R4401-HOS100,Services - Fees and Charges,24/03/2017,"1,625.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14051230,12133,Artful Limited,R4317-DEV001,Non Staff Advertising,03/03/2017,"2,804.88 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14051341,12134,Artful Limited,R4400-PLP101,Services - Professional Fees,17/03/2017,"1,547.52 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Council Tax Collection,14051564,12141,Artful Limited,R4317-LTC001,Non Staff Advertising,17/03/2017,644.80 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14051739,12149,Artful Limited,R4317-DEV001,Non Staff Advertising,31/03/2017,"1,934.40 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14051252,L02179790 F,Ash & Co CS LLP,R4400-FIE040,Services - Professional Fees,03/03/2017,"1,280.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cemetery & Crematorium Repairs & Maintenance,14051241,ATI010217,ATI Environment UK Limited,R2004-CCM111,R & M of Build Programmed,10/03/2017,"2,937.04 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cemetery & Crematorium Repairs & Maintenance,14051240,ATI040217,ATI Environment UK Limited,R2004-CCM111,R & M of Build Programmed,10/03/2017,640.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cemetery & Crematorium Repairs & Maintenance,14050796,ATI121017,ATI Environment UK Limited,R2083-CCM111,R&M of Build - Routine,03/03/2017,"13,435.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14051992,ATI280217,ATI Environment UK Limited,R2004-CCM001,R & M of Build Programmed,31/03/2017,874.08 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14051808,60923,AVT Reliability Pump Division,R2008-REC111,R & M of Build - Reactive Repairs,31/03/2017,775.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14051251,TW/990,Bear Associates Surveyors Limited,R4400-FIE040,Services - Professional Fees,03/03/2017,"1,195.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14051270,1536,BEMS (Controls) Limited T/A BEMS Energy,R2004-REC111,R & M of Build Programmed,10/03/2017,890.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Reception/Customer Services,14051297,47814511,Bentley Systems International Limited,R4534-SUP008,IT - Maint Agreements,10/03/2017,"10,376.56 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,External Improvements,14051220,P4005/5603,Bersche-Rolt Limited,C1107-CAH003,Building Works,10/03/2017,"64,932.02 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Oakley Resource Centre,14051041,996140019,British Gas Business - Electricity Payments,R2101-COM101,Gas,03/03/2017,"1,796.39 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Building Control - Fee Earning Work,14051590,94710938/3000,British Standards Institution (BSI),R4701-BUC001,Subscriptions,17/03/2017,764.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,ICT,14051653,Q014 1P,BT (Business Billing - Durham),R4515-SUP005,Comms - Telephone Call Charges,31/03/2017,"2,163.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,CBH Intercompany Account,14051638,Q014 OE,BT (Business Billing - Durham),R4515-HLD101,Comms - Telephone Call Charges,31/03/2017,685.35 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,CCTV,14050891,20024643,BT Redcare,R4436-CCT001,CCTV Line Rental,17/03/2017,"8,178.06 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Health General,14051669,153371,Buckingham Futures Limited,R1100-REG001,Agency Staff,31/03/2017,523.80 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14051697,5123,C Mawdsley t/a Arbor Tree Care,R2076-CCM001,Grounds Maintenance - Non Contract,24/03/2017,"5,470.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14051672,CM712,CAMEO,R4400-CCM001,Services - Professional Fees,24/03/2017,"53,040.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Business Improvement District (BID) Levy,14051767,BID INV 6110022705,Canada Life Limited,R8914-HLD160,NNDR refunds,31/03/2017,"3,489.32 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Business Improvement District (BID) Levy,14051770,BID INV 6110023040,Canada Life Limited,R8914-HLD160,NNDR refunds,31/03/2017,642.84 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Business Improvement District (BID) Levy,14051769,BID INV 6110028726,Canada Life Limited,R8914-HLD160,NNDR refunds,31/03/2017,"1,236.99 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Disabled Facility Grants,14051852,REDACTED,CAP Security Limited,C5000-CAP221,Grants,31/03/2017,"1,224.33 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sustainability Measures,14051601,INV-3423,Carbon Zero Consulting Limited,C1107-CAH032,Building Works,24/03/2017,"3,276.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Planning Policy,14051155,47012,Carrington West Limited,R1100-PLP001,Agency Staff,03/03/2017,"1,216.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Planning Policy,14051293,47425,Carrington West Limited,R1100-PLP001,Agency Staff,10/03/2017,"1,216.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Planning Policy,14051463,47835,Carrington West Limited,R1100-PLP001,Agency Staff,17/03/2017,"1,184.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Planning Policy,14051685,48247,Carrington West Limited,R1100-PLP001,Agency Staff,24/03/2017,"1,248.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14051452,300039,CDK Castings Limited T/A Arkell & Hurcombe,R4011-CCM001,Goods For Resale,31/03/2017,763.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Internal Audit,14051401,"109,348,559,661,063,000,000,000,000",Chartered Institute of Internal Auditors (CIIA),R1401-SUP010,Professional Fees,10/03/2017,"1,151.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Business Improvement District (BID) Levy,14051668,CBID0022,Cheltenham Bid Limited,R4974-HLD160,Reimbursement to other L.A.'s,15/03/2017,"7,399.15 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14051663,COMPRIDE COS17,Cheltenham Open Studios,R6280-GBD001,Grants,31/03/2017,"2,000.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14050827,166076,CIA Fire & Security Limited,R4003-OPS002,Tools & Equipment - R & M,03/03/2017,"1,020.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Revenues & Benefits Overheads,14051617,C/RB151722,Civica UK Limited,R4531-LTC101,IT - Purchase of Software,24/03/2017,"4,635.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14051246,568749,Comensura Limited,R1100-CCM001,Agency Staff,03/03/2017,"1,757.25 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14051245,569313,Comensura Limited,R1100-CCM001,Agency Staff,03/03/2017,"1,440.45 ",,
