,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department,Organisation Name,Basis for expenditure approval,Project name,Total Value Approved *,Basis for Exception,Approval month,Civil Service Grade (FTE),,,,,,Civil Service Grade (Headcount),,,,,,Total approvals (Headcount),Total Approvals (FTE),Date of approval,,,,,,
,,,,,,,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,,,,,,,,,
Department for Work & Pensions,,Recruitment exercise  necessary to fill available  vacancies ,,"£1,119,797",,,2334,32,35,36,21,13,2334,32,35,36,21,13,2471,2471,July-Sept 2014,,,,,,
Arm's Length Body,HSE,Recruitment exercise  necessary to fill available  vacancies ,,,,,0,0,34,41,1,0,0,34,41,1,,,76,76,July-Sept 2014,,,,,,
Arm's Length Body,The Pensions Regulator,Recruitment exercise  necessary to fill available  vacancies ,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,99,99,July-Sept 2014,,,,,,
Arm's Length Body,NEST/PADA,Recruitment exercise  necessary to fill available  vacancies ,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20,20,July-Sept 2014,,,,,,
Arm's Length Body,Independent Review Service,Recruitment exercise  necessary to fill available  vacancies ,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,July-Sept 2014,,,,,,
Arm's Length Body,Remploy Ltd ,Recruitment exercise  necessary to fill available  vacancies ,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,83,83,July-Sept 2014,,,,,,
Arm's Length Body,The Pensions Advisory Service ,Recruitment exercise  necessary to fill available  vacancies ,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,3,July-Sept 2014,,,,,,
Arm's Length Body,Pensions Ombudsman ,Recruitment exercise  necessary to fill available  vacancies ,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,4,July-Sept 2014,,,,,,
Arm's Length Body,Pensions Protection Fund Ombudsman,Recruitment exercise  necessary to fill available  vacancies ,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,July-Sept 2014,,,,,,
Arm's Length Body,Pensions Protection Fund,Recruitment exercise  necessary to fill available  vacancies ,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,July-Sept 2014,,,,,,
Arm's Length Body,Independent Living Fund,Recruitment exercise  necessary to fill available  vacancies ,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,6,July-Sept 2014,,,,,,
Arm's Length Body,Disability Living Allowance Advisory Board ,Recruitment exercise  necessary to fill available  vacancies ,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,July-Sept 2014,,,,,,
Arm's Length Body,Equality 2025 ,Recruitment exercise  necessary to fill available  vacancies ,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,July-Sept 2014,,,,,,
Arm's Length Body,Industrial Injuries Advisory Council ,Recruitment exercise  necessary to fill available  vacancies ,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,July-Sept 2014,,,,,,
Arm's Length Body,Social Security Advisory Committee,Recruitment exercise  necessary to fill available  vacancies ,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,July-Sept 2014,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Total value approved for HSE and Arms Length Bodies are not available,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
