DEPARTMENT FAMILY,ENTITY,DATE,EXPENSE,EXPENSE AREA,SUPPLIER,VOUCHER NUMBER ,AMOUNT,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,27-Jan-12,MEDICAL STAFF RECHARGE,MED TRAINING & EDUCATION,MERSEY CARE NHS TRUST,399041,25353,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,27-Jan-12,SEN LECTURER,CLINICAL RESEARCH NETWORK,UNIVERSITY OF LIVERPOOL,402686,25750,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,27-Jan-12,SOFTWARE PURCHASE,INFORMATION SERVICES,ORION HEALTH LTD,402931,27000,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,19-Jan-12,X-RAY EQUIPMENT : PURCHASES,IMAGING,SINGERS HEALTHCARE FINANCE LTD,402100,28709.83,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,13-Jan-12,BLOOD PRODUCTS,CLINICAL HAEMATOLOGY,ALLIANCE HEALTHCARE DISTRIBUTION LTD,399859,28800,,,,,,
DEPARTMENT OF HEALTH,MEDICAL DIVISION,27-Jan-12,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,402027,29460,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,13-Jan-12,MED SURG EQPT GENERAL,IMAGING,WARRINGTON AND HALTON NHS FOUNDATION TRUST,400050,29863,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,13-Jan-12,COMPUTER MAINTENANCE,PHARMACY,SWISSLOG (UK) LTD,397643,30000,,,,,,
DEPARTMENT OF HEALTH,SURGICAL DIVISION,13-Jan-12,VASCULAR IMPLANTS,VASCULAR SERVICES,COOK (UK) LTD,380351,30000,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,27-Jan-12,RENT,OPERATIONAL MANAGEMENT,PIERHEAD HOUSING ASSOCIATION,403197,30043.04,,,,,,
DEPARTMENT OF HEALTH,SURGICAL DIVISION,13-Jan-12,ALAC: PROSTHESIS,ANAESTHETICS / THEATRES,STRYKER UK LTD,399618,30153.6,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,13-Jan-12,WATER & SEWERAGE,FACILITIES,UNITED UTILITIES,400275,30318.59,,,,,,
DEPARTMENT OF HEALTH,TRUST,20-Jan-12,DRUGS,PHARMACY,ALLIANCE HEALTHCARE DISTRIBUTION LTD,401343,31005.49,,,,,,
DEPARTMENT OF HEALTH,TRUST,06-Jan-12,DRUGS,PHARMACY,ALLIANCE HEALTHCARE DISTRIBUTION LTD,398556,31414.97,,,,,,
DEPARTMENT OF HEALTH,MEDICAL DIVISION,27-Jan-12,PACEMAKERS,CARDIOLOGY,MEDTRONIC LTD,359058,31851,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,26-Jan-12,CRECHE EXPENSES,HUMAN RESOURCES,EDENRED CHILDCARE VOUCHERS LTD,403603,32658.45,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,20-Jan-12,BLOOD PRODUCTS,CLINICAL HAEMATOLOGY,BAYER PLC,400909,33600,,,,,,
DEPARTMENT OF HEALTH,TRUST,06-Jan-12,DRUGS,PHARMACY,ALLIANCE HEALTHCARE DISTRIBUTION LTD,398635,33762.59,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,13-Jan-12,MED SURG EQPT GENERAL,IMAGING,WARRINGTON AND HALTON NHS FOUNDATION TRUST,400485,34079,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,20-Jan-12,LABORATORY EQUIPMENT,BLOOD SCIENCES,ROCHE DIAGNOSTICS LTD,400658,28412.76,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,06-Jan-12,MINOR WORKS,OPERATIONAL MANAGEMENT,BALL B,396647,38024.4,,,,,,
DEPARTMENT OF HEALTH,TRUST,13-Jan-12,CONSUMABLES,VARIOUS DIRECTORATES,NATWEST LTD,400150,38532.06,,,,,,
