Parent Department,Organisation,Unit 1,Unit 2,Reporting to SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE 
Department for Communities Local Government,Audit Commission,Audit Policy and Practice,Professional Practice,70628,Audit Manager,48287,75104,Audit Manager ,15.6
Department for Communities Local Government,Audit Commission,Audit Policy and Practice,Professional Practice,70628,Principal Auditor,30495,51958,Principal Auditor,4.9
Department for Communities Local Government,Audit Commission,Audit Policy and Practice,Professional Practice,70628,Functional level 2,50735,76725,Snr Mgr/Snr Functional Specialist,5
Department for Communities Local Government,Audit Commission,Audit Policy and Practice,Professional Practice,70628,Functional level 3,33928,57925,Functional Mgr/Functional Specialist,15.7
Department for Communities Local Government,Audit Commission,Audit Policy and Practice,Professional Practice,70628,Functional level 4,22545,41416,Advisor/Team Leader/Directors Secretary/PA,1
Department for Communities Local Government,Audit Commission,Audit Policy and Practice,Professional Practice,70628,Performance Specialist,33928,81192,Performance Specialist,2
Department for Communities Local Government,Audit Commission,Audit Policy and Practice,National Trainee Scheme,70628,Trainee Auditor ,23099,30495,Trainee Auditor ,77
Department for Communities Local Government,Audit Commission,Audit Policy and Practice,Audit Policy and Regulation,93110,Functional level 2,50735,76725,Snr Mgr/Snr Functional Specialist,8.7
Department for Communities Local Government,Audit Commission,Audit Policy and Practice,Audit Policy and Regulation,93110,Functional level 3,33928,57925,Functional Mgr/Functional Specialist,10
Department for Communities Local Government,Audit Commission,Audit Policy and Practice,Audit Policy and Regulation,93110,Functional level 4,22545,41416,Advisor/Team Leader/Directors Secretary/PA,3
Department for Communities Local Government,Audit Commission,Audit Policy and Practice,Audit Policy and Regulation,93110,Functional level 5,18355,30495,Support Specialist/ Secretary/ Administrator,6.5
Department for Communities Local Government,Audit Commission,Central Region,Central Region,54294,District Auditor,78897,106501,District Auditor,17.7
Department for Communities Local Government,Audit Commission,Central Region,Central Region,54294,Audit Manager,48287,75104,Audit Manager ,63.1
Department for Communities Local Government,Audit Commission,Central Region,Central Region,54294,Principal Auditor,30495,51958,Principal Auditor,103.2
Department for Communities Local Government,Audit Commission,Central Region,Central Region,54294,Auditor,18355,34868,Auditor,15.7
