DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,,,,,
,,,,,
QUARTERLY INFORMATION 1 APRIL – 30 JUNE 2012,,,,,
,,,,,
SECRETARY OF STATE ANDREW MITCHELL,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
GIFTS GIVEN OVER £140 ,,,,,
,,,,,
,,,,,
,,,,,
Date gift given,To  ,Gift,Value (over £140) ,,
"Rt Hon Andrew Mitchell MP, Secretary of State ",,,,,
Nil return,,,,,
,,,,,
,,,,,
GIFTS RECEIVED OVER £140 ,,,,,
,,,,,
,,,,,
Date gift received,From  ,Gift,Value  ,Outcome,
"Rt Hon Andrew Mitchell MP, Secretary of State ",,,,,
Nil return,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
OVERSEAS TRAVEL[1],,,,,
,,,,,
      ,,,,,
"Rt Hon Andrew Mitchell MP, Secretary of State for International Development",,,,,
Date(s) of trip,Destination  ,Purpose of trip,‘Scheduled’,"Number of officials accompanying Minister, where non-scheduled travel is used   ","Total cost including travel, and accommodation of Minister only"
,,,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Chartered’ or ‘Eurostar’  ,,
 ,,,,,
03/04/2012 – 04/04/2012,"Belgium, Brussels",World Bank presidential candidates meeting with European Development Ministers.,Eurostar ,,£462
,,,,,
,,,,,
,,,,,
10/04/2012 – 14/04/2012,"Brazil, Brasilia and Rio De Janeiro",To discuss Rio +20 with high level members of the Brazilian Government and take part in field visits.,Scheduled,,"£7,837"
,,,,,
,,,,,
19/04/2012 – 22/04/2012,"US, Washington ",Attended the Spring Meetings of the World Bank and held a number of key bilateral discussions.,Scheduled,,"£3,096"
,,,,,
,,,,,
13/05/2012 – 14/05/2012,"Belgium, Brussels ",Meeting of the European Foreign Affairs Council.,Eurostar,,£572
,,,,,
,,,,,
16/05/2012 – 17/05/2012,"Liberia, Monrovia",Met the President of Liberia to discuss issues of mutual interest.,Scheduled,,"£8,355"
,,,,,
,,,,,
18/05/2012 – 19/05/2012,"US, Washington ",Attended G8 Agriculture meetings. ,Scheduled,,"£4,578"
,,,,,
,,,,,
29/05/2012 – 02/06/2012,"Malawi, Blantyre and Lilongwe ","Attended meetings with senior members of the Government, visited staff in the DFID office and visited DFID funded programmes in the field.",Scheduled,,"£5,029"
13/06/2012 – 16/06/2012,"US, Washington and New York",Attended the Child Survival Summit in Washington and held a number of bilateral meetings. High level meetings in New York with UN representatives.,Scheduled,,"£2,967"
,,,,,
,,,,,
,,,,,
,,,,,
28/06/2012 – 29/06/2012,"France, Paris ",Attended high level OECD-DAC meeting on the Global Partnership for Effective Development.,Eurostar,,£272
,,,,,
,,,,,
,,,,,
,,,,,
HOSPITALITY[2],,,,,
,,,,,
,,,,,
,,,,,
"Rt Hon Andrew Mitchell MP, Secretary of State ",,,,,
Date ,Name of organisation ,Type of Hospitality received,,,
13/05/2012,Eurostar,Upgrade ,,,
11/06/2012,BBC ,Lunch,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES[3]",,,,,
,,,,,
Date of Meeting ,Name of External Organisation,,Purpose of Meeting  ,,
"Rt Hon Andrew Mitchell MP, Secretary of State ",,,,,
Apr-12,,The Global Fund,General discussion on Global Fund,,
Apr-12,,The Times,General discussion,,
Apr-12,,United Nations World Food Programme,General discussion ,,
Apr-12,,Michael Kremer - Harvard University,Discuss development and innovation,,
Apr-12,,Organisation for Economic  Co-Operation and Development,Discuss the post-Busan partnership  ,,
Apr-12,,Comic Relief,Discuss UK aid match for Sport Relief,,
May-12,,Institute for Liberty and Democracy ,General discussion on property rights,,
May-12,,Telegraph ,General discussion,,
May-12,,War Child UK ,Introductory meeting,,
May-12,,Toby Ord - Oxford University ,Discuss his research into cost-effectiveness,,
May-12,,Sunday Telegraph,General discussion,,
May-12,,Inter Mediate,General discussion,,
May-12,,Save the Children,General discussion ,,
May-12,,The Times ,General discussion,,
May-12,,Inter - American Development Bank,Discuss Youth and Women’s microfinance,,
May-12,,International Finance Corporation ,Discuss IFC legacy ,,
Jun-12,,Omidyar Network,General discussion on Omidyar Network,,
Jun-12,,Christian Aid,General discussion,,
,,ActionAid,,,
,,Save the Children,,,
,,BOND,,,
,,Tearfund,,,
Jun-12,,Archbishop of York,General discussion,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
[1]* indicates if accompanied by spouse/partner or other family member or friend.,,,,,
,,,,,
"[2]Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined   ",,,,,
,,,,,
"[3] Does not normally include meetings with Government bodies such as other Government Departments, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.   ",,,,,
