Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,12/09/2012,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,587476,"11,349.06",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENT S,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,12/09/2012,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,587476,"37,713.46",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENT S,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/09/2012,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,587476,"33,761.11",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENT S,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/09/2012,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,587476,"4,475.50",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENT S,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/09/2012,Rent,Corporate,DTZ Debenham Tie Leung,587476,"5,555.50",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENT S,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/09/2012,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,588814,"3,065.62",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENT,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,25/09/2012,Cyclical Maintenance,Corporate,DTZ Debenham Tie Leung,588814,"33,521.87",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/09/2012,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,588814,"19,875.12",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENT,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,25/09/2012,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,588814,"942,618.86",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/09/2012,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,588814,"76,377.43",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENT,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,25/09/2012,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,588814,"673,637.08",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/09/2012,Rent,Corporate,DTZ Debenham Tie Leung,588814,"386,877.18",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENT,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,25/09/2012,Rent,Corporate,DTZ Debenham Tie Leung,588814,"4,622,559.78",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENT,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/09/2012,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,590313,"2,009.24",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/09/2012,Rent,Corporate,DTZ Debenham Tie Leung,590313,"46,200.00",DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/09/2012,Crown Court Graduated Fee Scheme,Special Crime Division,Grenfell Gibson ,1226461,"110,031.76",Crown Court Graduated Fee Scheme,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/09/2012,Crown Court Graduated Fee Scheme,West Midlands Area,Curtis J W O ,1226645,"59,299.25",Crown Court Graduated Fee Scheme,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/09/2012,Crown Court Graduated Fee Scheme,North West Area,Cadwallader Peter ,1227003,"121,290.07",Crown Court Graduated Fee Scheme,M3 4DN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/09/2012,Crown Court Graduated Fee Scheme,London,Denison Simon ,1227022,"68,261.50",Crown Court Graduated Fee Scheme,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/09/2012,Crown Court Graduated Fee Scheme,Yorkshire and Humberside Area,Goose J ,1227036,"26,525.78",Crown Court Graduated Fee Scheme,LS1 2LH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/09/2012,Crown Court Graduated Fee Scheme,North West Area,Brandon Louise  ,1227116,"79,934.30",Crown Court Graduated Fee Scheme,M3 4DN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/09/2012,Crown Court Graduated Fee Scheme,London,Hallam Jacob ,1227125,"34,132.15",Crown Court Graduated Fee Scheme,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/09/2012,Crown Court Graduated Fee Scheme,London,Denison Simon ,1227278,"126,924.02",Crown Court Graduated Fee Scheme,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/09/2012,Crown Court Graduated Fee Scheme,London,Hallam Jacob ,1227547,"64,229.47",Crown Court Graduated Fee Scheme,EC4Y 7DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/09/2012,Crown Court Graduated Fee Scheme,West Midlands Area,Thomas Stephen ,1227937,"87,822.40",Crown Court Graduated Fee Scheme,B2 5LS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/09/2012,Higher Court Very High Cost Cases,London,Evans Philip ,1228001,"61,282.00",Higher Court Very High Cost Cases,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/09/2012,Crown Court Graduated Fee Scheme,London,Corsellis Nicholas ,1228566,"27,661.14",Crown Court Graduated Fee Scheme,EC4Y 9AU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/09/2012,Crown Court Graduated Fee Scheme,West Midlands Area,Thomas Stephen ,1228752,"29,648.43",Crown Court Graduated Fee Scheme,B2 5LS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/09/2012,Crown Court Graduated Fee Scheme,Organised Crime Division,Morris Brendan ,1228862,"70,378.99",Crown Court Graduated Fee Scheme,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/09/2012,Crown Court Very High Cost Cases,London,Raudnitz Paul ,1228872,"32,504.40",Crown Court Very High Cost Cases,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/09/2012,Crown Court Graduated Fee Scheme,London,Wakerley Paul ,1228873,"26,495.00",Crown Court Graduated Fee Scheme,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/09/2012,Crown Court Graduated Fee Scheme,London,Smart Roger ,1228874,"41,147.77",Crown Court Graduated Fee Scheme,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/09/2012,Crown Court Graduated Fee Scheme,London,Hunter Timothy ,1228955,"32,598.64",Crown Court Graduated Fee Scheme,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,13/09/2012,Legacy RCPO Scheme Fees,Central Fraud Group,Sutton Richard ,1229683,"28,654.32",Birmingham CC 170512-300612,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,13/09/2012,Crown Court Graduated Fee Scheme,London,Raudnitz Paul ,1229697,"28,386.36",Crown Court Graduated Fee Scheme,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,13/09/2012,Crown Court Graduated Fee Scheme,Central Fraud Group,Hassall Craig Jonathan ,1229749,"39,561.02",Crown Court Graduated Fee Scheme,LS1 2RY,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/09/2012,Crown Court Graduated Fee Scheme,Cymru/Wales Area,Griffiths Roger Vaughn ,1230130,"35,157.25",Crown Court Graduated Fee Scheme,CF10 3DP,Not available,Not available,Not available,Programme
