OrganisationNameLabel,OrganisationURI,EffectiveDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,SupplierRegisteredCompany Number,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfSpend,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/12/2016,Lake Wardens,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,TECHNIJET LTD,02776601,12-12-2016,0000062387,77.81,0,Bi-Annual Service of Pressure Washers,139999,Cleaning & Janitorial Not Elsewhere Clas
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/12/2016,Business Support Community Services,Internal Trading Accounts,,Preston Trade Parts Specialists,,19-12-2016,0000063026,9.12,0,Spring,381400,Vehicle Mgt Maintenance
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/12/2016,Business Support Community Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,TOUCHDOWN OFFICES LTD,04844444,05-12-2016,0000063252,220.07,0,Call charges 2016/17,271700,ICT Telecommunications Fixed
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/12/2016,Development Implementation,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,CRUDEN PROPERTY SERVICES LTD,03851237,12-12-2016,0000063347,43272.3,0,"Conversion of Brogden Street, Ulverston",391111,Construction Buildings Repair & Mtce
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/12/2016,Business Support Community Services,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,G B BURROW & SON,,21-12-2016,0000063473,165,0,Storage of belongings ,192300,Facilities Storage
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/12/2016,Business Support Community Services,Internal Trading Accounts,,EK MOTOR FACTORS LTD,00838524,21-12-2016,0000063484,4,0,Connector,381400,Vehicle Mgt Maintenance
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/12/2016,Social Enterprise Admin,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,THE NATIONAL TRUST,,21-12-2016,0000063551,175.96,0,Materials for replacement steps at,202100,Financial Services Subscriptions
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/12/2016,Business Support Community Services,Internal Trading Accounts,,COMPASS COMPONENTS,,19-12-2016,0000063569,285.34,0,Consumables 01/04/16 - 31/03/17,101400,Building General Materials
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/12/2016,Human Resources,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,MIDLAND SOFTWARE LTD,01852206,19-12-2016,0000063601,166.35,0,Maintenance RTI 11 01/04/2017 to,271600,ICT Software Customised & Bespoke
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/12/2016,Business Support Community Services,Internal Trading Accounts,,MYERSCOUGH COLLEGE,,05-12-2016,0000063616,300,0,Sustainable waste management ,908999,Public Bodies Not Elsewhere Classified
