Published,Body Name,Body                   (ONS SNAC code),Service Area (SeRCOP Category),Dept. responsible for budget  (if different from service area),Cost Centre,Title of Contract,Scope ( CBC only or with other authorities or for benefit of others),Contract Reference number,"Description of works, goods or services and to whom",Procurement Route,Number of Tenders / Quotations received,Start date       (DD/MM/YYYY),End Date (DD/MM/YYYY),Extension Period (included any criteria),Contract Review Date, Contract Value (per annum or Total) , Irrecoverable VAT ,Suppliers Name,Supplier Clasification,Contact Point for Queries,Procurement Category (Proclass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 2016,Cheltenham Borough Council,UKK 1301,Central Services,Property Services,FIE040,FRA works to Brunel Store,CBC only,Framework,To install new Emergency Lighting,Quote,1,01/02/2017,28/02/2017,n/a,n/a," £5,685.00 ", n/a ,A & E Fire Limited,SME,Gary Angove,Works - Buildings Repair and Maintence Service 391111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 2016,Cheltenham Borough Council,UKK 1301,Central Services,Property Services,FIE041,Provision of minor works contract for Town Centre East Car Park Refurbishment,CBC only,DPS Framework,"Repairs to concrete fins, coatings to deck and relining in certain areas of Town Centre East Car Park",Quote,1,06/02/2017,07/03/2017,n/a,01/03/2017," £133,949.67 ", n/a ,E. G. Carter & Co Ltd,SME,Gary Angove,Works - Buildings Repair and Maintence Service 391111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 2016,Cheltenham Borough Council,UKK 1301,Central Services,Property Services,FIE042,Pittville Pump Room Floors,CBC only,n/a,Sand and seal flooring,Quote,2,02/02/2017,17/02/2017,n/a,n/a," £7,248.00 ", n/a ,Floor Care Ltd,SME,Gary Angove,Works - Buildings Repair and Maintence Service 391111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 2016,Cheltenham Borough Council,UKK 1301,Central Services,Property Services,various,Construction of Crematorium,CBC only,Framework,Construction of Crematorium,Tender,1,18/04/2017,28/01/2019,n/a,n/a," £7,084,989.00 ", n/a ,Wilmott Dixon Construction Limited,National,Garrie Dowling,Works - Buildings Repair and Maintence Construction 391110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 2016,Cheltenham Borough Council,UKK 1301,Housing Services,Cheltenham Borough Homes,CAH023,Works to Lift at St James Donovan Court,CBC only,2016-011,Replacement Lift and associated works at James Donovan Court ,Tender,7,27/02/2017,07/07/2017,n/a,07/05/2017," £52,598.00 ", n/a ,Axis Elevators Limited,SME,Caroline Ballinger,Facilities & Management Services 191410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 2016,Cheltenham Borough Council,UKK 1301,Central Services,Built Environment,various,JCS Flooding Advice,CBC only,n/a,Flooding Advice to the Joint Core Strategy,Quote,1,01/02/2017,31/03/2017,n/a,n/a," £12,000.00 ", n/a ,Michael Thomas Consulting,SME,Helen Thomas,Consultancy - Technical and Feasibility 152200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 2016,Cheltenham Borough Council,UKK 1301,Central Services,Commissioning,CAP301,8 x 26t RCVs with Split Bin Lifts,CBC only,CBC0022P,8 x 26t RCVs with Split Bin Lifts,ESPO Framework 215 Lot 1 Further Competition,3,01/04/2017,30/09/2017,n/a,n/a," £1,252,792.00 ", n/a ,Dennis Eagle Limited,National,Martin Stacy,Vehicles - Not Elsewhere Classified 389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 2016,Cheltenham Borough Council,UKK 1301,Central Services,Commissioning,CAP301,3 x 7.5t Food Waste Collection Vehicles,CBC only,CBC0023P,3 x 7.5t Food Waste Collection Vehicles,ESPO Framework 215 Lot 1 Further Competition,4,01/04/2017,30/09/2017,n/a,n/a," £203,328.00 ", n/a ,Farid Hillend Engineering Limited,SME,Martin Stacy,Vehicles - Not Elsewhere Classified 389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 2016,Cheltenham Borough Council,UKK 1301,Central Services,Commissioning,CAP301,1 x 18t RCV with split bin lifts,CBC only,CBC0024P,1 x 18t RCV with split bin lifts,ESPO Framework 215 Lot 1 Further Competition,3,01/04/2017,30/09/2017,n/a,n/a," £152,809.00 ", n/a ,Dennis Eagle Limited,SME,Martin Stacy,Vehicles - Not Elsewhere Classified 389999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4 2016,Cheltenham Borough Council,UKK 1301,Housing Services,Cheltenham Borough Homes,CAH034,Demolition of 12 prefab properties at Cakebridge Place,CBC only,1703,Demolition of 12 prefab properties at Cakebridge Place,Tender,3,02/02/2017,24/02/2017,n/a,n/a," £68,780.50 ", n/a ,Lawson Demolition Ltd,SME,Alison Salter,Works - Repair and Maintenance - Demolition and Asbestos Removal 181000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
