"Figure 1.2 Communications infrastructure availability across the UK’s nations, 2010",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,UK-wide,,,,,,,,,,,,,,
,2009,2008,Change,England,Scotland,Wales,N Ireland,,,,,,,,
Fixed line,100%,100%,0.00  pp,100%,100%,100%,100%,,,,,,,,
2G mobile1,97%,n.a.,n.a.,99%,87%,89%,89%,,,,,,,,
3G mobile2,87%,n.a.,n.a.,91%,66%,69%,40%,,,,,,,,
DSL3,99.98%,99.98%,0.00  pp,100%,100%,100%,100%,,,,,,,,
Cable broadband4,49%,49%,0.00  pp,53%,38%,24%,30%,,,,,,,,
LLU5,85%,84%,1.00  pp,87%,70%,76%,71%,,,,,,,,
Digital satellite TV,98%,98%,0.00  pp,n.a.,n.a.,n.a.,n.a.,,,,,,,,
Digital terrestrial TV6,81%,73%,8.00  pp,82%,82%,98%,66%,,,,,,,,
DAB digital radio7,90%,90%,0.00  pp,n.a.,n.a.,68%,n.a.,,,,,,,,
,,,,,,,,,,,,,,,
Sources: Ofcom and:,,,,,,,,,,,,,,,
1. Proportion of population living in postal districts where at least one operator reports at least 90% 2G area coverage. Sourced from GSM Association / Europa Technologies (Q1 2008). Note we have raised this threshold from 75% in 2008; as a result we do not have time series data.  Note that coverage data has been restated; this means that year-on-year comparisons are not possible.,,,,,,,,,,,,,,,
2. Proportion of population living in postal districts where at least one operator reports at least 90% 3G area coverage. Sourced from GSM Association / Europa Technologies (Q1 2008). Note we have raised this threshold from 75% in 2008; as a result we do not have time series data. Note that coverage data has been restated; this means that year-on-year comparisons are not possible.,,,,,,,,,,,,,,,
3. Proportion of premises able to receive DSL services based on data reported by BT,,,,,,,,,,,,,,,
4. Proportion of households passed by Virgin Media’s broadband-enabled network,,,,,,,,,,,,,,,
5. Proportion of households connected to an LLU-enabled exchange,,,,,,,,,,,,,,,
6. Availability of 17 services. Ofcom estimates.,,,,,,,,,,,,,,,
7. DAB digital radio coverage figure based on a Digital One estimate. ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Figure 1.3: Patterns communications service adoption across the nations, 2010 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,,,,,,,,,
Fixed,85,86,79,79,81,,,,,,,,,,
Mobile,89,90,85,89,88,,,,,,,,,,
Broadband,71,73,61,64,70,,,,,,,,,,
DTV,92,92,91,97,87,,,,,,,,,,
DAB,38,39,36,29,22,,,,,,,,,,
,,,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2009",,,,,,,,,,,,,,,
