Department,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction number,Amount,Invoice Description
DFID,DFID,02/03/2018,Subscriptions,Finance and Corporate Performance Division,OANDA,100008-101,"£3,305.89",
DFID,DFID,01/03/2018,Air fares,East and Central Africa,Corporate Travel Provider,100016-110,"£1,196.00",
DFID,DFID,01/03/2018,Air fares,East and Central Africa,Corporate Travel Provider,100016-110,"£2,601.75",
DFID,DFID,01/03/2018,Hotels - Accommodation only,Research and Evidence Division,Corporate Travel Provider,100039-108,£786.93,
DFID,DFID,01/03/2018,Hotels - Accommodation only,East and Central Africa,Corporate Travel Provider,100082-101,£504.00,
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,100084-101,£645.31,
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,100084-101,£862.71,
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,100084-101,£561.11,
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,100084-101,£862.71,
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,100084-101,£679.32,
DFID,DFID,20/03/2018,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",Foreign & Commonwealth Office,100084-101,£833.96,
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,100084-101,£741.77,
DFID,DFID,01/03/2018,Air fares,"Conflict, Humanitarian, Security & Stabilisation Division",Corporate Travel Provider,100049-102,£920.25,
DFID,DFID,01/03/2018,Air fares,"Conflict, Humanitarian, Security & Stabilisation Division",Corporate Travel Provider,100049-102,£561.61,
DFID,DFID,01/03/2018,Air fares,Internal Audit,Corporate Travel Provider,100121-101,£533.31,
DFID,DFID,01/03/2018,Air fares,Internal Audit,Corporate Travel Provider,100121-101,£533.31,
DFID,DFID,01/03/2018,Air fares,Internal Audit,Corporate Travel Provider,100121-101,£533.31,
DFID,DFID,01/03/2018,Air fares,Internal Audit,Corporate Travel Provider,100121-101,£533.31,
DFID,DFID,01/03/2018,Air fares,Internal Audit,Corporate Travel Provider,100121-101,£533.31,
DFID,DFID,20/03/2018,Hotels - Accommodation only,Internal Audit,Foreign & Commonwealth Office,100121-101,£715.36,
DFID,DFID,02/03/2018,"Conferences, Seminars & Meeting/Event Resource",Internal Audit,Holiday Inn East Kilbride ,100121-101,£620.00,
DFID,DFID,15/03/2018,Hotels - Accommodation only,Internal Audit,Foreign & Commonwealth Office,100121-101,"£4,575.91",
DFID,DFID,13/03/2018,Hotels - Accommodation only,Internal Audit,Foreign & Commonwealth Office,100121-101,"£1,075.39",
DFID,DFID,01/03/2018,Hotels - Accommodation only,Economic Development Division,Corporate Travel Provider,100124-101,£986.36,
DFID,DFID,01/03/2018,Air fares,Economic Development Division,Corporate Travel Provider,100124-101,£996.74,
DFID,DFID,01/03/2018,Air fares,Economic Development Division,Corporate Travel Provider,100124-101,£943.30,
DFID,DFID,01/03/2018,Air fares,Economic Development Division,Corporate Travel Provider,100124-101,"£1,480.20",
DFID,DFID,01/03/2018,Air fares,Economic Development Division,Corporate Travel Provider,100124-101,£899.47,
DFID,DFID,01/03/2018,Air fares,Economic Development Division,Corporate Travel Provider,100124-101,£899.47,
DFID,DFID,01/03/2018,Air fares,Economic Development Division,Corporate Travel Provider,100124-101,£899.47,
DFID,DFID,01/03/2018,Air fares,Communications Division,Corporate Travel Provider,100177-101,£925.11,
DFID,DFID,01/03/2018,Air fares,Communications Division,Corporate Travel Provider,100197-101,£574.41,
DFID,DFID,01/03/2018,Air fares,Communications Division,Corporate Travel Provider,100197-101,£916.21,
DFID,DFID,01/03/2018,Air fares,Communications Division,Corporate Travel Provider,100197-101,£513.93,
DFID,DFID,01/03/2018,Air fares,Finance and Corporate Performance Division,Corporate Travel Provider,100201-101,£613.26,
DFID,DFID,01/03/2018,Air fares,Finance and Corporate Performance Division,Corporate Travel Provider,100201-101,"£1,068.46",
DFID,DFID,01/03/2018,Air fares,Finance and Corporate Performance Division,Corporate Travel Provider,100201-101,£807.56,
DFID,DFID,01/03/2018,Hotels - Accommodation only,Finance and Corporate Performance Division,Corporate Travel Provider,100201-101,£610.38,
DFID,DFID,20/03/2018,Secure Staff Accommodation,West and Southern Africa,Foreign & Commonwealth Office,100220-101,"£16,891.50",
DFID,DFID,01/03/2018,Hotels - Accommodation only,East and Central Africa,Corporate Travel Provider,100230-101,£535.00,
DFID,DFID,05/03/2018,Hotels - Accommodation only,Top Management Group,Foreign & Commonwealth Office,100232-102,"£3,854.20",
DFID,DFID,01/03/2018,Air fares,Top Management Group,Corporate Travel Provider,100232-104,"£1,061.51",
DFID,DFID,01/03/2018,Air fares,Top Management Group,Corporate Travel Provider,100232-104,"£1,061.51",
DFID,DFID,20/03/2018,Office Equipment - Maintenance,International Relations Division,Foreign & Commonwealth Office,100238-101,"£2,572.15",
DFID,DFID,01/03/2018,Air fares,International Relations Division,Corporate Travel Provider,100240-101,"£1,962.91",
DFID,DFID,01/03/2018,Air fares,International Relations Division,Corporate Travel Provider,100240-101,£814.70,
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,100244-101,£800.01,
DFID,DFID,13/03/2018,Data network- remote working,West and Southern Africa,Foreign & Commonwealth Office,100254-101,"£3,487.59",
DFID,DFID,01/03/2018,Air fares,Human Resources,Corporate Travel Provider,100261-101,"£2,227.26",
DFID,DFID,01/03/2018,Air fares,Human Resources,Corporate Travel Provider,100261-101,"£2,227.26",
DFID,DFID,01/03/2018,Staff Travel - Air Fares,Top Management Group,Corporate Travel Provider,100232-108,"£4,447.31",
DFID,DFID,01/03/2018,Staff Travel - Air Fares,Top Management Group,Corporate Travel Provider,100232-108,"£3,082.31",
DFID,DFID,01/03/2018,Hotels - Accommodation only,Top Management Group,Corporate Travel Provider,100232-109,£660.00,
DFID,DFID,02/03/2018,Training - Course Fees,"Conflict, Humanitarian, Security & Stabilisation Division",Institute of Chartered Accountants of Scotland,100049-134,"£2,206.80",
DFID,DFID,02/03/2018,Staff Travel - Air Fares,"Conflict, Humanitarian, Security & Stabilisation Division",Planit Travel Services Ltd,100049-101,£671.37,
DFID,DFID,01/03/2018,Air fares,Economic Development Division,Corporate Travel Provider,100086-101,£531.41,
DFID,DFID,01/03/2018,Air fares,Policy Division,Corporate Travel Provider,100098-101,"£1,168.60",
DFID,DFID,01/03/2018,Air fares,Policy Division,Corporate Travel Provider,100098-101,£587.21,
DFID,DFID,01/03/2018,Hotels - Accommodation only,Policy Division,Corporate Travel Provider,100098-101,£524.25,
DFID,DFID,01/03/2018,Air fares,Policy Division,Corporate Travel Provider,100098-101,£670.81,
DFID,DFID,02/03/2018,Office Supplies,Group Operations,Banner,100106-101,£672.97,
DFID,DFID,01/03/2018,Air fares,International Relations Division,Corporate Travel Provider,100111-101,"£1,183.01",
DFID,DFID,01/03/2018,Hotels - Accommodation only,Economic Development Division,Corporate Travel Provider,100275-101,£618.92,
DFID,DFID,01/03/2018,Hotels - Accommodation only,Economic Development Division,Corporate Travel Provider,100275-101,£736.56,
DFID,DFID,01/03/2018,Air fares,Economic Development Division,Corporate Travel Provider,100276-101,£648.97,
DFID,DFID,01/03/2018,Hotels - Accommodation only,Middle East and North Africa Division,Corporate Travel Provider,100307-101,£518.00,
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,101601-110,£698.10,
DFID,DFID,09/03/2018,Staff Travel - Air Fares,"Asia, Caribbean and Overseas Territories",Foreign & Commonwealth Office,101601-110,"£12,060.00",
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,101601-110,£591.72,
DFID,DFID,13/03/2018,Telephone Usage & services,"Asia, Caribbean and Overseas Territories",Foreign & Commonwealth Office,101601-110,"£4,241.85",
DFID,DFID,13/03/2018,"Conferences, Seminars & Meeting/Event Resource","Asia, Caribbean and Overseas Territories",Foreign & Commonwealth Office,101601-110,£584.32,
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,101601-110,"£1,330.86",
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,101601-110,£978.96,
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,101601-110,"£2,423.00",
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,101601-110,£641.92,
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,101601-110,"£2,445.90",
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,101601-110,"£2,640.32",
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,101601-110,£771.40,
DFID,DFID,01/03/2018,Air fares,"Asia, Caribbean and Overseas Territories",Corporate Travel Provider,101601-110,"£2,481.90",
DFID,DFID,20/03/2018,Staff Travel - Air Fares,"Asia, Caribbean and Overseas Territories",Foreign & Commonwealth Office,101601-110,"£11,071.00",
