Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Tameside And Glossop PCT,30/09/2012,Hlthcre-Foundation Trsts,Commissioning Bus Svs,STOCKPORT NHS FOUNDATION TRUST,1445120,36893
Department of Health,Tameside And Glossop PCT,30/09/2012,Hlthcre-Foundation Trsts,T+G Comm Healthcare,STOCKPORT NHS FOUNDATION TRUST,1445121,2421514
Department of Health,Tameside And Glossop PCT,30/09/2012,SrvcsRecd-FoundationTrust,T+G Comm Healthcare,STOCKPORT NHS FOUNDATION TRUST,1445121,132998
Department of Health,Tameside And Glossop PCT,30/09/2012,Hlthcre-Foundation Trsts,T+G Comm Healthcare,STOCKPORT NHS FOUNDATION TRUST,1693164,2421514
Department of Health,Tameside And Glossop PCT,30/09/2012,SrvcsRecd-FoundationTrust,T+G Comm Healthcare,STOCKPORT NHS FOUNDATION TRUST,1693164,132998
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,Awburn House,P004SEP12,60039.72
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,Bedford House Medical Centre,P008SEP12,64177.25
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,Chapel Street Medical Centre,P017SEP12,52342.49
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,Churchgate Surgery,P019SEP12,72829.5
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,Davaar Medical Centre,P021SEP12,45078.77
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,Denton Medical Practice ,P018SEP12,54654.17
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,THE BROOKE SURGERY,P002SEP12,85774.72
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,Donneybrook Medical Centre,P016SEP12,86898.93
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,SIMMONDLEY MED PRCTICE,C640SEP12,29483.11
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,ST.ANDREW'S HOUSE,P023SEP12,41436.99
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,MARKET STREET MEDICAL PRACTICE,P029SEP12,48831.16
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,Gordon Street Medical Centre,P011SEP12,39125.07
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,Grosvenor Medical Centre,P026SEP12,46712.7
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,Hattersley Group Practice,P013SEP12,52375.93
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,Haughton Thornley Medical,P014SEP12,98754.37
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,Howard Medical Practice ,C077SEP12,34052.19
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,King Street Medical Centre,P022SEP12,32344.7
Department of Health,Tameside And Glossop PCT,30/09/2012,Contract Payments,PRMS INFRASTRUCTURE COSTS,Lambgates Surgery,C106SEP12,49775.57
