Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,07/01/2011,Travel and subsistence UK,Innovation Directorate,CIMA,NI23,94,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,26/01/2011,Accommodation charges,Business Support Directorate,First Investments Ltd,20484,9795.42,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,26/01/2011,Accommodation charges,Business Support Directorate,First Investments Ltd,20483,9829.21,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,12/01/2011,Accommodation charges,Business Support Directorate,Caerphilly County Borough Council,12/0,44581,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,06/01/2011,Accommodation charges,Business Support Directorate,Insolvency Service,715/2011,144834.34,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,05/01/2011,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,571838,599.6,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/01/2011,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,574863,618.04,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,11/01/2011,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,573534,632.91,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,04/01/2011,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,570885,710.64,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,11/01/2011,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,572754,793.92,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,31/01/2011,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,575751,833.5,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,19/01/2011,Bank charges,Finance Directorate,G4S Cash Services (UK) Ltd,1348961,412.85,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,25/01/2011,BIS Solicitors,Finance Directorate,Department For Business Innovation & Skills,10030900,55416.66,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/01/2011,Books  Newspapers & Publications,Copyright and IP Enforcement Directorate,Amazon.co.uk,fduts,66.5,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/01/2011,Books  Newspapers & Publications,Business Support Directorate,Amazon,ROMOU298,35.45,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/01/2011,Books  Newspapers & Publications,Patents Directorate,ACM Publishers,ECALL05,10.08,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/01/2011,Books  Newspapers & Publications,Innovation Directorate,Amazon,ERICH20,78.02,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,18/01/2011,Books  Newspapers & Publications,Patents Directorate,Swets Information Services,6700204081,-90.78,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,18/01/2011,Books  Newspapers & Publications,Patents Directorate,Swets Information Services,6750053578,-42.69,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,28/01/2011,Books  Newspapers & Publications,Business Support Directorate,Mitie Facilities Services Ltd,100/90231656,23.5,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,18/01/2011,Books  Newspapers & Publications,Patents Directorate,Swets Information Services,6750054940,44.88,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,28/01/2011,Books  Newspapers & Publications,Patents Directorate,Mitie Facilities Services Ltd,100/90231656,50.76,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,26/01/2011,Books  Newspapers & Publications,Patents Directorate,European Patent Office,40191426/19.11.2010,103.29,Not known
