,,,,,,,,,,, National Learner Satisfaction Survey 2009,,,,,,,,,,,
,,,,,,,,,,, (FINAL - ADULTS),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,, Table 1
 Q.1. Please think about any time away from your day-to-day job that you spend in training. Is your training ...?,,,,,,,,,,,,,,,,,,,,,,
 Base : All apprentices,,,,,,,,,,,,,,,,,,,,,,

 , , Age,,,,,,,,,,,, Funding,,,,,,,,
 ,  , FE,,, Apprentice,,, Other LR,,, PCDL,,, FE,, Apprentice,, Other LR,, PCDL,, 
  , Wtd Total (a), 19+ (b), 19-24 (c), 25+ (d), 19+ (e), 19-24 (f), 25+ (g), 19+ (h), 19-24 (i), 25+ (j), 19+ (k), 19-24 (l), 25+ (m), Claim support (n), Do not claim support (o), Claim support (p), Do not claim support (q), Claim support (r), Do not claim support (s), Claim support (t), Do not claim support (u), Unwtd Total 
 Unweighted Total,2804, -, -, -,2804,2149,655, -, -, -, -, -, -, -, -,222,2513, -, -, -, -,2804
 Weighted Total,3784, -**, -**, -**,3784,2738,1046, -**, -**, -**, -**, -**, -**, -**, -**,301,3394, -**, -**, -**, -**,2804
 Effective Base,2133, -, -, -,2133,1651,503, -, -, -, -, -, -, -, -,165,1915, -, -, -, -,2804
 Based at a college only,386, -, -, -,386,345,41, -, -, -, -, -, -, -, -,49,331, -, -, -, -,311
 , 10%gq, -, -, -, 10%g, 13%aeg,4%, -, -, -, -, -, -, -, -, 16%aq,10%, -, -, -, -,11%
 Based at a training provider only,157, -, -, -,157,93,64, -, -, -, -, -, -, -, -,15,137, -, -, -, -,104
 , 4%f, -, -, -, 4%f,3%, 6%aef, -, -, -, -, -, -, -, -,5%,4%, -, -, -, -,4%
 Within your workplace only,1543, -, -, -,1543,839,704, -, -, -, -, -, -, -, -,90,1424, -, -, -, -,1047
 , 41%fp, -, -, -, 41%f,31%, 67%aef, -, -, -, -, -, -, -, -,30%, 42%ap, -, -, -, -,37%
 Based within your workplace and at a college or training provider,1694, -, -, -,1694,1459,235, -, -, -, -, -, -, -, -,148,1498, -, -, -, -,1338
 , 45%g, -, -, -, 45%g, 53%aeg,22%, -, -, -, -, -, -, -, -,49%,44%, -, -, -, -,48%
 Don't know,5, -, -, -,5,3,1, -, -, -, -, -, -, -, -, -,4, -, -, -, -,4
 , *, -, -, -, *, *, *, -, -, -, -, -, -, -, -, -, *, -, -, -, -, *

 Fieldwork dates : 17 February 2009 - 31 July 2009,,,,,,,,,,,,,,,,,,,,,,
 Respondent Type : Learners aged 19+,,,,,,,,,,,,,,,,,,,,,,
 Source : Ipsos MORI (J34262),,,,,,,,,,,,,,,,,,,,,,
 *=Less than 0.5 %,,,,,,,,,,,,,,,,,,,,,,
 Proportions/Means: Columns Tested (5% risk level) - a/b/c/d/e/f/g/h/i/j/k/l/m - a/n/o/p/q/r/s/t/u,,,,,,,,,,,,,,,,,,,,,,
 * small base; ** very small base (under 30) ineligible for sig testing,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, National Learner Satisfaction Survey 2009,,,,,,,,,,,,
,,,,,,,,,, (FINAL - ADULTS),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,, Table 2
 Q.1. Please think about any time away from your day-to-day job that you spend in training. Is your training ...?,,,,,,,,,,,,,,,,,,,,
 Base : All apprentices,,,,,,,,,,,,,,,,,,,,

 , , Fees,,,,,, Hold account,,,,,,,,,,,,
 ,  , FE,, Other LR,, PCDL,, FE,,, Apprentice,,, Other LR,,, PCDL,,, 
  , Wtd Total (a), Paid some/ all (B), Paid no fees (C), Paid some/ all (D), Paid no fees (E), Paid some/ all (F), Paid no fees (G), Skills Account (H), Adult learner account (I), Neither of these (J), Skills Account (K), Adult learner account (L), Neither of these (M), Skills Account (N), Adult learner account (O), Neither of these (P), Skills Account (Q), Adult learner account (R), Neither of these (S), Unwtd Total 
 Unweighted Total,2804, -, -, -, -, -, -, -, -, -,114,100,2391, -, -, -, -, -, -,2804
 Weighted Total,3784, -**, -**, -**, -**, -**, -**, -**, -**, -**, 145*, 150*,3217, -**, -**, -**, -**, -**, -**,2804
 Effective Base,2133, -, -, -, -, -, -, -, -, -,96,66,1838, -, -, -, -, -, -,2804
 Based at a college only,386, -, -, -, -, -, -, -, -, -,13,16,328, -, -, -, -, -, -,311
 ,10%, -, -, -, -, -, -, -, -, -,9%,11%,10%, -, -, -, -, -, -,11%
 Based at a training provider only,157, -, -, -, -, -, -, -, -, -,9,1,132, -, -, -, -, -, -,104
 ,4%, -, -, -, -, -, -, -, -, -,6%,1%,4%, -, -, -, -, -, -,4%
 Within your workplace only,1543, -, -, -, -, -, -, -, -, -,43,71,1331, -, -, -, -, -, -,1047
 , 41%K, -, -, -, -, -, -, -, -, -,29%, 47%K, 41%K, -, -, -, -, -, -,37%
 Based within your workplace and at a college or training provider,1694, -, -, -, -, -, -, -, -, -,80,62,1421, -, -, -, -, -, -,1338
 ,45%, -, -, -, -, -, -, -, -, -, 55%aM,41%,44%, -, -, -, -, -, -,48%
 Don't know,5, -, -, -, -, -, -, -, -, -, -, -,5, -, -, -, -, -, -,4
 , *, -, -, -, -, -, -, -, -, -, -, -, *, -, -, -, -, -, -, *

 Fieldwork dates : 17 February 2009 - 31 July 2009,,,,,,,,,,,,,,,,,,,,
 Respondent Type : Learners aged 19+,,,,,,,,,,,,,,,,,,,,
 Source : Ipsos MORI (J34262),,,,,,,,,,,,,,,,,,,,
 *=Less than 0.5 %,,,,,,,,,,,,,,,,,,,,
 Proportions/Means: Columns Tested (5% risk level) - a/B/C/D/E/F/G - a/H/I/J/K/L/M/N/O/P/Q/R/S,,,,,,,,,,,,,,,,,,,,
 * small base; ** very small base (under 30) ineligible for sig testing,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, National Learner Satisfaction Survey 2009,,,,,,,,,,,
,,,,,,,,, (FINAL - ADULTS),,,,,,,,,,,
,,,,,,,,,,,,,,,,,, Table 3,,
 Q.1. Please think about any time away from your day-to-day job that you spend in training. Is your training ...?,,,,,,,,,,,,,,,,,,,,
 Base : All apprentices,,,,,,,,,,,,,,,,,,

 , , Gender,,,,,,,, Ethnicity Summary,,,,,,,,
 ,  , FE,, Apprentice,, Other LR,, PCDL,, FE,, Apprentice,, Other LR,, PCDL,, 
  , Wtd Total (a), Male (b), Female (c), Male (d), Female (e), Male (f), Female (g), Male (h), Female (i), White (j), BME (k), White (l), BME (m), White (n), BME (o), White (p), BME (q), Unwtd Total 
 Unweighted Total,2804, -, -,1567,1237, -, -, -, -, -, -,2640,157, -, -, -, -,2804
 Weighted Total,3784, -**, -**,1979,1805, -**, -**, -**, -**, -**, -**,3488, 285*, -**, -**, -**, -**,2804
 Effective Base,2133, -, -,1266,900, -, -, -, -, -, -,2084,96, -, -, -, -,2804
 Based at a college only,386, -, -,276,110, -, -, -, -, -, -,363,13, -, -, -, -,311
 , 10%e, -, -, 14%ae,6%, -, -, -, -, -, -, 10%a,5%, -, -, -, -,11%
 Based at a training provider only,157, -, -,88,69, -, -, -, -, -, -,131,26, -, -, -, -,104
 , 4%l, -, -,4%,4%, -, -, -, -, -, -,4%, 9%al, -, -, -, -,4%
 Within your workplace only,1543, -, -,449,1094, -, -, -, -, -, -,1392,148, -, -, -, -,1047
 , 41%dl, -, -,23%, 61%ad, -, -, -, -, -, -,40%, 52%al, -, -, -, -,37%
 Based within your workplace and at a college or training provider,1694, -, -,1164,530, -, -, -, -, -, -,1595,97, -, -, -, -,1338
 , 45%em, -, -, 59%ae,29%, -, -, -, -, -, -, 46%am,34%, -, -, -, -,48%
 Don't know,5, -, -,2,2, -, -, -, -, -, -,5, -, -, -, -, -,4
 , *, -, -, *, *, -, -, -, -, -, -, *, -, -, -, -, -, *

 Fieldwork dates : 17 February 2009 - 31 July 2009,,,,,,,,,,,,,,,,,,
 Respondent Type : Learners aged 19+,,,,,,,,,,,,,,,,,,
 Source : Ipsos MORI (J34262),,,,,,,,,,,,,,,,,,
 *=Less than 0.5 %,,,,,,,,,,,,,,,,,,
 Proportions/Means: Columns Tested (5% risk level) - a/b/c/d/e/f/g/h/i - a/j/k/l/m/n/o/p/q,,,,,,,,,,,,,,,,,,
 * small base; ** very small base (under 30) ineligible for sig testing,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,, National Learner Satisfaction Survey 2009,,,,,,,,,,,
,,,,,,, (FINAL - ADULTS),,,,,,,,,,,
,,,,,,,,,,,,,, Table 4,,,,
 Q.1. Please think about any time away from your day-to-day job that you spend in training. Is your training ...?,,,,,,,,,,,,,,,,,,
 Base : All apprentices,,,,,,,,,,,,,,,,,,

 , , Current aimed level,,,,,,,,,,,,
 ,  , FE,,, Apprentice,,, Other LR,,, PCDL,,, 
  , Wtd Total (a), Below level 2 (B), Level 2 (C), Level 3 or higher (D), Below level 2 (E), Level 2 (F), Level 3 or higher (G), Below level 2 (H), Level 2 (I), Level 3 or higher (J), Below level 2 (K), Level 2 (L), Level 3 or higher (M), Unwtd Total 
 Unweighted Total,2804, -, -, -,10,1240,1552, -, -, -, -, -, -,2804
 Weighted Total,3784, -**, -**, -**, 13**,1718,2049, -**, -**, -**, -**, -**, -**,2804
 Effective Base,2133, -, -, -,9,914,1215, -, -, -, -, -, -,2804
 Based at a college only,386, -, -, -, -,148,236, -, -, -, -, -, -,311
 , 10%F, -, -, -, -,9%, 12%aF, -, -, -, -, -, -,11%
 Based at a training provider only,157, -, -, -, -,62,95, -, -, -, -, -, -,104
 ,4%, -, -, -, -,4%,5%, -, -, -, -, -, -,4%
 Within your workplace only,1543, -, -, -,5,877,660, -, -, -, -, -, -,1047
 , 41%G, -, -, -,39%, 51%aG,32%, -, -, -, -, -, -,37%
 Based within your workplace and at a college or training provider,1694, -, -, -,8,630,1053, -, -, -, -, -, -,1338
 , 45%F, -, -, -,61%,37%, 51%aF, -, -, -, -, -, -,48%
 Don't know,5, -, -, -, -,1,4, -, -, -, -, -, -,4
 , *, -, -, -, -, *, *, -, -, -, -, -, -, *

 Fieldwork dates : 17 February 2009 - 31 July 2009,,,,,,,,,,,,,,,,,,
 Respondent Type : Learners aged 19+,,,,,,,,,,,,,,,,,,
 Source : Ipsos MORI (J34262),,,,,,,,,,,,,,,,,,
 *=Less than 0.5 %,,,,,,,,,,,,,,,,,,
 Proportions/Means: Columns Tested (5% risk level) - a/B/C/D/E/F/G/H/I/J/K/L/M,,,,,,,,,,,,,,,,,,
 * small base; ** very small base (under 30) ineligible for sig testing,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,, National Learner Satisfaction Survey 2009,,,,,,,,,
,,,,,,,,, (FINAL - ADULTS),,,,,,,,,
,,,,,,,,,,,,,,,,,, Table 5
 Q.1. Please think about any time away from your day-to-day job that you spend in training. Is your training ...?,,,,,,,,,,,,,,,,,,
 Base : All apprentices,,,,,,,,,,,,,,,,,,

 , , Highest Prior Level,,,,,,,,,,,,,,,,
 ,  , FE,,,, Apprentice,,,, Other LR,,,, PCDL,,,, 
  , Wtd Total (a), No qualification (b), Below level 2 (c), Level 2 (d), Level 3 or higher (e), No qualification (f), Below level 2 (g), Level 2 (h), Level 3 or higher (i), No qualification (j), Below level 2 (k), Level 2 (l), Level 3 or higher (m), No qualification (n), Below level 2 (o), Level 2 (p), Level 3 or higher (q), Unwtd Total 
 Unweighted Total,2804, -, -, -, -,169,968,1385,267, -, -, -, -, -, -, -, -,2804
 Weighted Total,3784, -**, -**, -**, -**,264,1300,1835,367, -**, -**, -**, -**, -**, -**, -**, -**,2804
 Effective Base,2133, -, -, -, -,122,732,1067,207, -, -, -, -, -, -, -, -,2804
 Based at a college only,386, -, -, -, -,21,130,195,36, -, -, -, -, -, -, -, -,311
 ,10%, -, -, -, -,8%,10%,11%,10%, -, -, -, -, -, -, -, -,11%
 Based at a training provider only,157, -, -, -, -,9,50,87,11, -, -, -, -, -, -, -, -,104
 ,4%, -, -, -, -,3%,4%,5%,3%, -, -, -, -, -, -, -, -,4%
 Within your workplace only,1543, -, -, -, -,163,497,724,155, -, -, -, -, -, -, -, -,1047
 ,41%, -, -, -, -, 62%aghi,38%,39%,42%, -, -, -, -, -, -, -, -,37%
