,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,92,77.3%,27,22.7%,"10,314",78.3%,"2,865",21.7%,"1,039",73.7%,370,26.3%,"1,227",86.9%,185,13.1%,363,77.6%,105,22.4%,"7,089",92.6%,570,7.4%,922,86.2%,147,13.8%,"1,886",84.2%,353,15.8%,"3,876",93.6%,264,6.4%,"3,184",84.9%,566,15.1%,728,88.2%,97,11.8%,"7,091",84.8%,"1,273",15.2%,831,100.0%
Avon and Somerset,3,75.0%,1,25.0%,312,82.3%,67,17.7%,43,82.7%,9,17.3%,42,87.5%,6,12.5%,5,100.0%,0,0.0%,405,93.5%,28,6.5%,22,95.7%,1,4.3%,73,82.0%,16,18.0%,113,94.2%,7,5.8%,137,89.0%,17,11.0%,14,93.3%,1,6.7%,216,85.4%,37,14.6%,23,100.0%
Bedfordshire,0,-,0,-,74,74.7%,25,25.3%,6,75.0%,2,25.0%,9,100.0%,0,0.0%,6,85.7%,1,14.3%,74,92.5%,6,7.5%,7,87.5%,1,12.5%,15,88.2%,2,11.8%,27,96.4%,1,3.6%,16,80.0%,4,20.0%,6,85.7%,1,14.3%,84,71.2%,34,28.8%,14,100.0%
Cambridgeshire,3,100.0%,0,0.0%,131,87.9%,18,12.1%,10,83.3%,2,16.7%,21,95.5%,1,4.5%,6,60.0%,4,40.0%,96,91.4%,9,8.6%,8,100.0%,0,0.0%,26,89.7%,3,10.3%,32,94.1%,2,5.9%,32,91.4%,3,8.6%,8,100.0%,0,0.0%,86,90.5%,9,9.5%,16,100.0%
Cheshire,2,100.0%,0,0.0%,265,80.3%,65,19.7%,21,60.0%,14,40.0%,29,93.5%,2,6.5%,1,50.0%,1,50.0%,146,94.2%,9,5.8%,8,88.9%,1,11.1%,51,85.0%,9,15.0%,82,97.6%,2,2.4%,94,89.5%,11,10.5%,16,84.2%,3,15.8%,210,90.5%,22,9.5%,8,100.0%
Cleveland,0,-,0,-,128,78.0%,36,22.0%,5,50.0%,5,50.0%,32,84.2%,6,15.8%,1,33.3%,2,66.7%,193,93.2%,14,6.8%,16,94.1%,1,5.9%,28,70.0%,12,30.0%,51,96.2%,2,3.8%,47,97.9%,1,2.1%,10,100.0%,0,0.0%,86,90.5%,9,9.5%,4,100.0%
Cumbria,0,-,0,-,87,91.6%,8,8.4%,1,100.0%,0,0.0%,10,100.0%,0,0.0%,0,0,0,0,94,96.9%,3,3.1%,10,100.0%,0,0.0%,19,82.6%,4,17.4%,24,96.0%,1,4.0%,37,92.5%,3,7.5%,8,100.0%,0,0.0%,62,87.3%,9,12.7%,3,100.0%
Derbyshire,0,-,0,-,171,84.7%,31,15.3%,8,88.9%,1,11.1%,16,64.0%,9,36.0%,5,83.3%,1,16.7%,113,84.3%,21,15.7%,13,86.7%,2,13.3%,39,84.8%,7,15.2%,47,88.7%,6,11.3%,73,91.3%,7,8.8%,12,85.7%,2,14.3%,103,83.1%,21,16.9%,11,100.0%
Devon and Cornwall,1,100.0%,0,0.0%,191,85.3%,33,14.7%,15,71.4%,6,28.6%,35,94.6%,2,5.4%,5,100.0%,0,0.0%,106,96.4%,4,3.6%,13,81.3%,3,18.8%,27,84.4%,5,15.6%,59,93.7%,4,6.3%,52,82.5%,11,17.5%,6,75.0%,2,25.0%,163,89.1%,20,10.9%,12,100.0%
Dorset,4,100.0%,0,0.0%,141,88.1%,19,11.9%,7,87.5%,1,12.5%,14,77.8%,4,22.2%,2,100.0%,0,0.0%,77,96.3%,3,3.8%,7,77.8%,2,22.2%,29,93.5%,2,6.5%,29,96.7%,1,3.3%,53,96.4%,2,3.6%,6,100.0%,0,0.0%,68,88.3%,9,11.7%,12,100.0%
Durham,1,100.0%,0,0.0%,111,84.7%,20,15.3%,4,66.7%,2,33.3%,14,87.5%,2,12.5%,3,100.0%,0,0.0%,85,93.4%,6,6.6%,3,75.0%,1,25.0%,22,95.7%,1,4.3%,18,90.0%,2,10.0%,24,85.7%,4,14.3%,7,100.0%,0,0.0%,78,96.3%,3,3.7%,2,100.0%
Dyfed Powys,1,100.0%,0,0.0%,69,82.1%,15,17.9%,3,60.0%,2,40.0%,11,91.7%,1,8.3%,1,50.0%,1,50.0%,35,97.2%,1,2.8%,4,100.0%,0,0.0%,16,76.2%,5,23.8%,48,98.0%,1,2.0%,26,92.9%,2,7.1%,4,100.0%,0,0.0%,58,79.5%,15,20.5%,1,100.0%
