Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,SERVICE IMPROVEMENT,CANON UK LTD,4202402,19.93,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,SAFETY TEAM,CANON UK LTD,4202402,17.5,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,SAFEGUARDING,CANON UK LTD,4202402,23.89,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ROBERTSON RD CU,CANON UK LTD,4202402,61.76,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,RIPLEY IP TC BUTTERLEY,CANON UK LTD,4202402,67.09,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,RIPLEY HOSPITAL ADMIN,CANON UK LTD,4202402,606.49,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,RESOLVE,CANON UK LTD,4202402,1081.78,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,RESEARCH,CANON UK LTD,4202402,12.32,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,REPTON HC ADMIN,CANON UK LTD,4202402,158.77,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,PROFES DEV (COMM HOSPS),CANON UK LTD,4202402,57.95,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,OCCUPATIONAL HEALTH,CANON UK LTD,4202402,189.15,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,NEWHOLME ROWSLEY WARD,CANON UK LTD,4202402,97.57,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,NEWHOLME ADMIN,CANON UK LTD,4202402,309.81,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,NEWHOLME - STANTON D U,CANON UK LTD,4202402,192.44,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,NEWHOLME - RIVERSIDE WARD,CANON UK LTD,4202402,128.08,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,NED PHYSIO OUTPATIENTS,CANON UK LTD,4202402,3.08,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,NED OT COMMUNITY,CANON UK LTD,4202402,3.08,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,MELBOURNE WARD,CANON UK LTD,4202402,234.1,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,MANAGEMENT ACCOUNTS,CANON UK LTD,4202402,301.2,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,LINACRE WARD,CANON UK LTD,4202402,741.82,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,LEAHURST DAY UNIT,CANON UK LTD,4202402,502.7,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,KNOWLEDGE SERVICES,CANON UK LTD,4202402,50.22,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,WHITWORTH IP TC OKER,CANON UK LTD,4202402,55.29,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,WHITWORTH ADMIN,CANON UK LTD,4202402,548.68,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,WHEATBRIDGE CDS,CANON UK LTD,4202402,51.78,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,WALTON PHYSIO - OUTPAT,CANON UK LTD,4202402,58.45,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,WALTON IP WARD,CANON UK LTD,4202402,773.12,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,WALTON HOSP ADMIN,CANON UK LTD,4202402,1602.14,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,WALTON CATERING,CANON UK LTD,4202402,20.25,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,WALTON ARC,CANON UK LTD,4202402,77.18,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,TOBACCO CONTROL (QUITTERS),CANON UK LTD,4202402,1555.51,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,THE NEUROLOGICAL SUPPORT TEAM,CANON UK LTD,4202402,641.25,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,Senior Management & Admin,CANON UK LTD,4202402,72.52,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,SWAD CLINIC ADMIN,CANON UK LTD,4202402,252.8,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,SUPPORT SERVICES MANAGER,CANON UK LTD,4202402,33.98,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,SUPPLIES,CANON UK LTD,4202402,252.09,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,SUNSHINE NURSERY,CANON UK LTD,4202402,93.55,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,STAVELEY CLINIC ADMIN,CANON UK LTD,4202402,16.09,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,STAFFING SOLUTIONS,CANON UK LTD,4202402,589.03,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ST. OSWALDS ADMIN,CANON UK LTD,4202402,524.71,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ST OSWALDS PORTERING,CANON UK LTD,4202402,33.39,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ST OSWALDS OKEOVER WARD,CANON UK LTD,4202402,690.92,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,SOUTH DALES INTEGRATED COMMUNITY TEAM,CANON UK LTD,4202402,48.44,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,SLT - MANAGEMENT,CANON UK LTD,4202402,65.57,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,CLOWNE HC ADMIN,CANON UK LTD,4202402,198.75,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,CLINICAL NAVIGATION SERVICES,CANON UK LTD,4202402,73.4,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,CLAY CROSS SPECIALIST REHAB,CANON UK LTD,4202402,45.84,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,CLAY CROSS HOSP CATERING,CANON UK LTD,4202402,12.77,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,CLAY CROSS HOSP ADMIN,CANON UK LTD,4202402,639.82,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,CLAY CROSS ALTON WARD,CANON UK LTD,4202402,646.59,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,CHURCH VIEW RECEPTION,CANON UK LTD,4202402,3406.15,401360659
