CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,883,85.30%,152,14.70%
P01-Avon&Somerset,26,81.30%,6,18.80%
P02-Bedfordshire,10,90.90%,1,9.10%
P03-Cambridgeshire,9,75.00%,3,25.00%
P04-Cheshire,16,100.00%,0,0.00%
P06-Cleveland,6,85.70%,1,14.30%
P07-Cumbria,10,76.90%,3,23.10%
P08-Derbyshire,12,100.00%,0,0.00%
P09-Devon&Cornwall,11,91.70%,1,8.30%
P10-Dorset,9,81.80%,2,18.20%
P11-Durham,9,100.00%,0,0.00%
P12-DyfedPowys,6,100.00%,0,0.00%
P13-Essex,20,83.30%,4,16.70%
P14-Gloucestershire,9,100.00%,0,0.00%
P15-GreaterManchester,50,86.20%,8,13.80%
P16-Gwent,5,100.00%,0,0.00%
P17-Hampshire,23,62.20%,14,37.80%
P18-Hertfordshire,22,84.60%,4,15.40%
P19-Humberside,5,71.40%,2,28.60%
P20-Kent,30,93.80%,2,6.30%
P21-Lancashire,18,100.00%,0,0.00%
P22-Leicestershire,21,95.50%,1,4.50%
P23-Lincolnshire,2,100.00%,0,0.00%
P24-Merseyside,18,100.00%,0,0.00%
P25-Metropolitan&City,266,85.80%,44,14.20%
P26-Norfolk,3,100.00%,0,0.00%
P27-Northamptonshire,13,86.70%,2,13.30%
P28-Northumbria,20,76.90%,6,23.10%
P29-NorthWales,10,100.00%,0,0.00%
P30-NorthYorkshire,5,100.00%,0,0.00%
P31-Nottinghamshire,9,60.00%,6,40.00%
P32-SouthWales,17,68.00%,8,32.00%
P33-SouthYorkshire,11,78.60%,3,21.40%
P34-Staffordshire,6,60.00%,4,40.00%
P35-Suffolk,14,73.70%,5,26.30%
P36-Surrey,8,88.90%,1,11.10%
P37-Sussex,28,93.30%,2,6.70%
P38-ThamesValley,36,87.80%,5,12.20%
P39-Warwickshire,7,100.00%,0,0.00%
P40-WestMercia,13,100.00%,0,0.00%
P41-WestMidlands,39,81.30%,9,18.80%
P42-WestYorkshire,22,84.60%,4,15.40%
P43-Wiltshire,9,90.00%,1,10.00%
