Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,01/02/2017,Agency Staff,Human Resources,BROOK STREET (UK) LTD,,Large,,5106225990,HR AO staff,AL1 4JB,422.24,
Communities & Local Government,PINS,01/02/2017,Agency Staff,"Finance, Commercial & Statistics",REED SPECIALIST RECRUITMENT LTD,,Large,,5106225981,Agency Staff,SW20 0BA,294.25,
Communities & Local Government,PINS,01/02/2017,Agency Staff,"Policy, Knowledge & Quality",REED SPECIALIST RECRUITMENT LTD,,Large,,5106225983,Agency Staff,SW20 0BA,670.00,
Communities & Local Government,PINS,01/02/2017,Agency Staff,Differences - Central,REED SPECIALIST RECRUITMENT LTD,,Large,,5106225992,Agency Staff,SW20 0BA,593.04,
Communities & Local Government,PINS,01/02/2017,Agency Staff,"Finance, Commercial & Statistics",REED SPECIALIST RECRUITMENT LTD,,Large,,5106225993,Agency Staff,SW20 0BA,647.56,
Communities & Local Government,PINS,01/02/2017,Mobile phone costs,ICT Business Partner,EE LIMITED,,Large,,5106226003,Service charges for LWP & MiFi SIM cards,NE27 0QJ,"1,417.87",
Communities & Local Government,PINS,01/02/2017,Office Supplies,Business Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106225985,Banner Paper Blanket Order 2016-17,S9 1XU,351.66,
Communities & Local Government,PINS,01/02/2017,Office Supplies,Business Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106225985,Banner Stationery Blanket Order 2016-17,S9 1XU,170.96,
Communities & Local Government,PINS,03/02/2017,Advertising,ROW,TMP (UK) LIMITED,,Large,,5106225912,Statutory Advertising - ROW,W1T 7RQ,718.82,
Communities & Local Government,PINS,03/02/2017,IT - Service Contracts,ICT Business Partner,ZSAH LTD,,Small,,5106226058,Running Costs,SW7 3HE,"3,415.22",
Communities & Local Government,PINS,03/02/2017,Mobile phone costs,ICT Business Partner,VODAFONE UK,,Large,,5106226004,Service charges for a/c 670108871,NG24 2EG,"12,114.12",
Communities & Local Government,PINS,03/02/2017,Steady State Service Provision,Human Resources,CGI IT UK LIMITED,,Large,,5106226053,Payroll Service 2016/17,CF31 9AP,"3,459.73",
