Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Contr Other External,NP - BNF,RPS PUBLISHING,21435919,"220,669.50",BNF printing costs 
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Contr Other External,NP - BNF,RPS PUBLISHING,21435930,"-220,669.50",BNF printing costs 
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Contr Other External,NP - Medical Technologies Evaluation Programme,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,21437975,"150,000.00",Medical Technologies External Assessment Centre Quarter 2 16/17
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Contr Other External,NP - BNF,RPS PUBLISHING,21444230,"537,254.17",BNF printing costs 
Department of Health,National Institute For Health And Care Excellence,31/01/2017,"Books, Journals & Subscr",NP - Commissioned Content,JOHN WILEY & SONS LTD,21444240,"82,359.75",Cochrane Library and Wiley Online Library
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Contr Other External,NP - BNF,RPS PUBLISHING,21444251,"-537,254.17",credit for RPPSPSINV27327
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Contr Other External,NP - Social Care Guidance and QA,SOCIAL CARE INSTITUTE FOR EXCELLENCE,21444256,"502,441.20",NICE Collaborating Centre for Social Care Implementation costs
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Travel & Subsistence,NP - Facilities - London,REDFERN TRAVEL LTD,21492365,"71,625.44","Rail, hotel & flight costs for December 16"
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Secndd staff frm othr org,Interventional Procedures,UNIVERSITY OF LEICESTER,21511053,"26,122.10",Committee Vice chairs costs from october 2016 to december 2016
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Contr Other External,NP - Surveillance and Methodology,YORK HEALTH ECONOMICS CONSORTIUM,21511060,"45,000.00",Professional Consulting Fees
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Postage & Carriage,NP - BNF,PROMOTIONAL LOGISTICS LTD,21601034,"91,981.26",BNF distribution / mailing costs
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Postage & Carriage,NP - BNF,PROMOTIONAL LOGISTICS LTD,21601036,"29,348.46",BNF distribution / mailing costs
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Computer Maintenance,NP - IM&T,SERVER LABS LTD,21601050,"25,753.56",December AWS Usage and Business Support 16
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Contr Other External,NP - Medical Technologies Evaluation Programme,CARDIFF & VALE ULHB,21601069,"212,333.40",Y3 Q3 invoice - Medical technologies evaluation programme 
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Contr Other External,NP - Medical Technologies Evaluation Programme,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,21601084,"177,549.03",Medical Technologies External Assessment Centre Quarter 3 16/17
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Computer Maintenance,NP - Commissioned Content,OCLC (UK) LTD,21625686,"25,500.00",WMS License Manager- Q3 October - december 2016
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Computer Software/License,NP - Commissioned Content,EDUSERV,21625702,"68,750.00",Provision of NI Athens service from 1/10/16-31/12/16
Department of Health,National Institute For Health And Care Excellence,31/01/2017,"Books, Journals & Subscr",NP - National Core Content HEE,BMJ PUBLISHING GROUP LTD,21677437,"218,281.50",Library service - access to BMJ Journals online
Department of Health,National Institute For Health And Care Excellence,31/01/2017,"Books, Journals & Subscr",NP - National Core Content HEE,BMJ PUBLISHING GROUP LTD,21677476,"-218,281.50",credit note for invoice I0078540
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Contr Other External,NP - QOF and Indicators,UNIVERSITY OF BIRMINGHAM,21716419,"187,500.00","Quality and Outcomes Framework (QOF) Piloting of Quality Indicators Year 4 Q1,Q2,Q3,Q4"
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Contr Other External,NP - Medical Technologies Evaluation Programme,KINGS COLLEGE LONDON,21716446,"230,628.90","Evaulation Pathways External Assessment Centre quarter 2, year 3 "
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Contr Other External,NP - Medical Technologies Evaluation Programme,KINGS COLLEGE LONDON,21716484,"230,628.90","Evaulation Pathways External Assessment Centre quarter 3, year 4"
Department of Health,National Institute For Health And Care Excellence,31/01/2017,Contr Other External,NP - Medical Technologies Evaluation Programme,UNIVERSITY OF BIRMINGHAM,21716501,"177,250.00",Evaluation Pathways external assessment centre Quarter 3 Year 3
