Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,CAR PARK RENT,FACILITIES,T C HARRISON,Bank transfer,73437.50
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,COMMERCIAL SECTOR,FACILITIES,AMBULINE,31969 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,COMMERCIAL SECTOR,FACILITIES,AMBULINE,31969 - 1,44725.57
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,COMPUTER NETWORK COSTS,DIRECTORATES,ISOFT PLC,SI/004634 - 1,34280.87
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,COMPUTER NETWORK COSTS,DIRECTORATES,ISOFT PLC,SI/004633 - 1,34280.87
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,COMPUTER NETWORK COSTS,DIRECTORATES,ISOFT PLC,SI/004621 - 1,68561.73
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,COMPUTER NETWORK COSTS,DIRECTORATES,ISOFT PLC,SI/004624 - 1,21748.79
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2434 - 2,5587.07
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2434 - 1,31926.10
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2433 - 2,3968.06
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2433 - 1,22674.59
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2484 - 2,4859.23
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2484 - 1,27767.02
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2482 - 2,6680.41
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2482 - 1,38173.73
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2483 - 2,6326.38
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2483 - 1,36150.73
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2489 - 2,4505.11
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2489 - 1,25743.47
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2490 - 2,5492.56
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2490 - 1,31386.04
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2446 - 2,6784.51
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2446 - 1,38768.62
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HOSPIRA UK LTD,ASC2487 - 2,4130.59
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HOSPIRA UK LTD,ASC2487 - 1,23603.31
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,QUALASEPT LTD T/A BATH ASU,28721 - 2,4510.39
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,QUALASEPT LTD T/A BATH ASU,28721 - 1,25773.57
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ROCHE PRODUCTS LTD,1321272096 - 2,4628.23
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ROCHE PRODUCTS LTD,1321272096 - 1,26447.01
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ROCHE PRODUCTS LTD,1321274561 - 2,7146.90
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ROCHE PRODUCTS LTD,1321274561 - 1,40839.40
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ROCHE PRODUCTS LTD,1321269497 - 2,5852.61
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ROCHE PRODUCTS LTD,1321269497 - 1,33443.50
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,ENERGY MANAGEMENT CONTRACTS,FACILITIES,DALKIA UTILITIES SERVICES PLC,310042345 - 1,55092.28
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,LEASED EQUIPMENT,BALANCE SHEET,SIEMENS,Bank transfer,23130.23
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,LEASED EQUIPMENT,BALANCE SHEET,SIEMENS,Bank transfer,30619.11
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,NON-N.H.S. TRADE CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI807758 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,NON-N.H.S. TRADE CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI807758 - 1,277049.43
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,RENAL FLUIDS,MEDICAL DIVISION,BAXTER HEALTHCARE LTD,001259545 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,RENAL FLUIDS,MEDICAL DIVISION,BAXTER HEALTHCARE LTD,001259545 - 1,51305.62
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,DALKIA UTILITIES SERVICES PLC,310042345 - 2,9641.15
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,ISOFT PLC,SI/004634 - 2,5999.15
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,ISOFT PLC,SI/004633 - 2,5999.15
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,ISOFT PLC,SI/004624 - 2,3806.04
Department of Health,Hull and East Yorkshire NHS Trust,01-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,ISOFT PLC,SI/004621 - 2,11998.30
Department of Health,Hull and East Yorkshire NHS Trust,05-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,UNICO CONSTRUCTION,92/3702 - 2,4120.55
Department of Health,Hull and East Yorkshire NHS Trust,05-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,UNICO CONSTRUCTION,92/3702 - 1,23546.00
Department of Health,Hull and East Yorkshire NHS Trust,07-Oct-2010,VARIOUS,BALANCE SHEET,BARCLAYCARD,Bank transfer,38789.93
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,CONTRACT : PREMISES SECURITY,FACILITIES,SHIELD SECURITY SERVICES (YORKSHIRE) LTD,14150 - 1,49266.59
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,CONTRACT : REFUSE AND CLINICAL WASTE,FACILITIES,ENVIRONMENTAL EXPRESSIONS LTD,14460 - 1,27314.77
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2447 - 2,6493.51
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2447 - 1,37105.76
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2448 - 2,5586.85
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2448 - 1,31924.82
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,BAXTER HEALTHCARE LTD,ASC2458 - 2,5361.33
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,BAXTER HEALTHCARE LTD,ASC2458 - 1,30636.15
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90708684 - 2,6676.64
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90708684 - 1,38152.20
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,FIN ADVICE RE COLLABORATIVE DECONTAMINATION PROJ,FACILITIES,ERNST AND YOUNG LLP,GB08100126301 - 1,25810.40
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,GAS,FACILITIES,GAZPROM MARKETING AND TRADING RETAIL LTD,830612 - 2,3969.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,GAS,FACILITIES,GAZPROM MARKETING AND TRADING RETAIL LTD,830612 - 1,22679.95
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,GAS,FACILITIES,GAZPROM MARKETING AND TRADING RETAIL LTD,830613 - 2,8103.45
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,GAS,FACILITIES,GAZPROM MARKETING AND TRADING RETAIL LTD,830613 - 1,46305.44
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,INDEPENDENT SECTOR,CANCER AND CLINICAL SUPPORT,SOURCE BIOSCIENCE UK LTD,OP/I065847 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,INDEPENDENT SECTOR,CANCER AND CLINICAL SUPPORT,SOURCE BIOSCIENCE UK LTD,OP/I065847 - 1,25270.67
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 85,-0.01
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 84,217.22
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 83,8.09
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 82,296.43
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 81,253.24
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 80,4.16
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 79,17.85
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 78,8.73
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 77,0.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 76,364.01
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 75,48.23
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 74,261.88
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 73,238.37
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 72,230.56
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 71,131.36
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 70,237.11
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 69,19.98
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 68,356.58
