Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
Department of Health,NHS Blood and Transplant,13/01/2012,ODT LIVING DONOR SCHEME CONTRACTS,Organ Donation & Transplantation,University Hospital Birmingham NHS Foundation Trust,2153,64740,Contracts with other NHS bodies to support organ donation schemes
Department of Health,NHS Blood and Transplant,13/01/2012,ODT LIVING DONOR SCHEME CONTRACTS,Organ Donation & Transplantation,Central Manchester University Hospitals NHS Foundation Trust,2153,55274,Contracts with other NHS bodies to support organ donation schemes
Department of Health,NHS Blood and Transplant,13/01/2012,ODT LIVING DONOR SCHEME CONTRACTS,Organ Donation & Transplantation,Guys And St Thomas NHS Foundation Trust,2153,53857,Contracts with other NHS bodies to support organ donation schemes
Department of Health,NHS Blood and Transplant,13/01/2012,ODT LIVING DONOR SCHEME CONTRACTS,Organ Donation & Transplantation,North Bristol NHS Trust,2153,52950,Contracts with other NHS bodies to support organ donation schemes
Department of Health,NHS Blood and Transplant,13/01/2012,ODT LIVING DONOR SCHEME CONTRACTS,Organ Donation & Transplantation,Cambridge Univ Hosp NHS Foundation Trust,2153,51711,Contracts with other NHS bodies to support organ donation schemes
Department of Health,NHS Blood and Transplant,13/01/2012,ODT LIVING DONOR SCHEME CONTRACTS,Organ Donation & Transplantation,Oxford Radcliffe Hospital NHS Trust,2153,45403,Contracts with other NHS bodies to support organ donation schemes
Department of Health,NHS Blood and Transplant,13/01/2012,ODT LIVING DONOR SCHEME CONTRACTS,Organ Donation & Transplantation,Leeds Teaching Hospitals NHS Trust,2153,45017,Contracts with other NHS bodies to support organ donation schemes
Department of Health,NHS Blood and Transplant,16/01/2012,EARLY RETIREMENT COSTS,Transition,NHS Pensions,2155,59254.68,Capitalised NHSPA costs incurred when redundant employees choose the enhanced pension option
Department of Health,NHS Blood and Transplant,27/01/2012,ODT DONOR MANAGEMENT REIMBURSEMENT,Organ Donation & Transplantation,Cambridge Univ Hosp NHS Foundation Trust,2158,27118,Reimbursement to other NHS bodies for organ donation scheme related costs
Department of Health,NHS Blood and Transplant,27/01/2012,ODT DONOR MANAGEMENT REIMBURSEMENT,Organ Donation & Transplantation,North Bristol NHS Trust,2158,25032,Reimbursement to other NHS bodies for organ donation scheme related costs
Department of Health,NHS Blood and Transplant,20/01/2012,WASTE DISPOSAL - CLINICAL,Estates & Logistics,SRCL LTD,1544175,27194.76,External Contract for disposal of clinical waste
Department of Health,NHS Blood and Transplant,13/01/2012,EXTERNAL MAILING SERVICES,Blood Donation,STRALFORS,1560332,67223.53,"External costs of mailing services, primarily relating to communications with donors"
Department of Health,NHS Blood and Transplant,06/01/2012,PAGERS,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1562396,45.37,Costs incurred relating to use of pagers
Department of Health,NHS Blood and Transplant,06/01/2012,IT COMMUNICATIONS LINKS,Blood Donation,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1562396,702.92,Costs of IT infrastructure communications links
Department of Health,NHS Blood and Transplant,06/01/2012,IT COMMUNICATIONS LINKS,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1562396,144718.87,Costs of IT infrastructure communications links
Department of Health,NHS Blood and Transplant,06/01/2012,IT COMMUNICATIONS LINKS,Patient Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1562396,702.91,Costs of IT infrastructure communications links
Department of Health,NHS Blood and Transplant,06/01/2012,IT HARDWARE MAINTENANCE,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1562396,15517.6,Maintenance costs of IT hardware
Department of Health,NHS Blood and Transplant,06/01/2012,IT SOFTWARE MAINTENANCE,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1562396,727,Maintenance costs of IT software
Department of Health,NHS Blood and Transplant,06/01/2012,MOBILE TELEPHONES,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1562396,49341.97,Mobile telephone costs
Department of Health,NHS Blood and Transplant,06/01/2012,IT SOFTWARE LICENCE FEES,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1562396,5620.66,Purchase of IT software licences
Department of Health,NHS Blood and Transplant,06/01/2012,TELEPHONES,Business Transformation Services,CABLE & WIRELESS COMMUNICATIONS MILTON KEYNES,1562396,82298.66,Telephone costs
Department of Health,NHS Blood and Transplant,06/01/2012,AVERAGE COST VARIANCE,General and Other,CARIDIAN BCT EUROPE NV/SA,1563191,-1286.88,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,06/01/2012,INVENTORY MATERIALS,NBS and ODT All Areas,CARIDIAN BCT EUROPE NV/SA,1563191,63713.76,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,06/01/2012,AVERAGE COST VARIANCE,General and Other,PALL MEDICAL (PREV. PALL EUROPE LTD),1563434,2086.03,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,06/01/2012,INVENTORY MATERIALS,NBS and ODT All Areas,PALL MEDICAL (PREV. PALL EUROPE LTD),1563434,118168.13,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,06/01/2012,AVERAGE COST VARIANCE,General and Other,PALL MEDICAL (PREV. PALL EUROPE LTD),1563448,-211.63,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,06/01/2012,INVENTORY MATERIALS,NBS and ODT All Areas,PALL MEDICAL (PREV. PALL EUROPE LTD),1563448,41579.95,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,06/01/2012,AVERAGE COST VARIANCE,General and Other,PALL MEDICAL (PREV. PALL EUROPE LTD),1563458,-717.62,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,06/01/2012,INVENTORY MATERIALS,NBS and ODT All Areas,PALL MEDICAL (PREV. PALL EUROPE LTD),1563458,183894.21,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,06/01/2012,AVERAGE COST VARIANCE,General and Other,PALL MEDICAL (PREV. PALL EUROPE LTD),1563466,-857.42,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,06/01/2012,INVENTORY MATERIALS,NBS and ODT All Areas,PALL MEDICAL (PREV. PALL EUROPE LTD),1563466,88966.7,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,06/01/2012,AVERAGE COST VARIANCE,General and Other,PALL MEDICAL (PREV. PALL EUROPE LTD),1563472,-94.74,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,06/01/2012,INVENTORY MATERIALS,NBS and ODT All Areas,PALL MEDICAL (PREV. PALL EUROPE LTD),1563472,26061.3,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,06/01/2012,AVERAGE COST VARIANCE,General and Other,CARIDIAN BCT EUROPE NV/SA,1563490,-551.52,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,06/01/2012,INVENTORY MATERIALS,NBS and ODT All Areas,CARIDIAN BCT EUROPE NV/SA,1563490,26471.52,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,06/01/2012,DIRECT CONSUMABLES,Specialist Services,QUEST BIOMEDICAL LIMITED,1563580,1080,Consumable items used primarily during normal day to day operations
Department of Health,NHS Blood and Transplant,06/01/2012,TEST KITS OTHER,Specialist Services,QUEST BIOMEDICAL LIMITED,1563580,32123.52,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,06/01/2012,CARRIAGE INWARDS,Specialist Services,VH BIO LTD,1563786,66,Carriage charges on stores purchases
Department of Health,NHS Blood and Transplant,06/01/2012,DIRECT CONSUMABLES,Specialist Services,VH BIO LTD,1563786,1104,Consumable items used primarily during normal day to day operations
Department of Health,NHS Blood and Transplant,06/01/2012,TEST KITS OTHER,Specialist Services,VH BIO LTD,1563786,37968,For testing of donations and samples for specific markers
Department of Health,NHS Blood and Transplant,06/01/2012,AVERAGE COST VARIANCE,General and Other,MACO PHARMA UK LTD,1563902,59.39,Difference between Purchase Order and Supplier Invoice price for Stores items
Department of Health,NHS Blood and Transplant,06/01/2012,INVENTORY MATERIALS,NBS and ODT All Areas,MACO PHARMA UK LTD,1563902,66726.66,Items purchased for warehouses (and subsequent issue to operational departments)
Department of Health,NHS Blood and Transplant,06/01/2012,AVERAGE COST VARIANCE,General and Other,MACO PHARMA UK LTD,1563903,228.16,Difference between Purchase Order and Supplier Invoice price for Stores items
