objectid,eer16cd,eer16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E15000001,North East,417313,600358,-1.72889996,55.2970314,8592561298.78017,983142.803187325
2,E15000002,North West,350015,506280,-2.7723701,54.44945145,14163619358.9176,2003316.4800917
3,E15000003,Yorkshire and The Humber,446903,448736,-1.28711998,53.93264008,15409393888.3522,1358812.17739823
4,E15000004,East Midlands,477660,322635,-0.84966999,52.79571915,15643097769.9289,1298387.40796553
5,E15000005,West Midlands,386294,295477,-2.2035799,52.55696869,13003781069.4033,921416.50681733
6,E15000006,Eastern,571074,263229,0.50414598,52.24066925,19135217016.0243,2543054.16856236
7,E15000007,London,517516,178392,-0.30864,51.49227142,1573492232.50278,409739.203630036
8,E15000008,South East,470062,172924,-0.99311,51.4509697,19088696245.0009,2343877.8584823
9,E15000009,South West,285015,102567,-3.63343,50.81119156,23851827269.4305,3188677.65296549
10,S15000001,Scotland,277746,700060,-3.97091007,56.1774292,78807720364.0791,16965992.6926789
11,W08000001,Wales,263406,242881,-3.99415994,52.06740952,20782130729.8177,2892127.95872426
