CPS outcomes by principal offence category ordshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,100.0%,0,0.0%
B Offences Against The Person,53,74.6%,18,25.4%
C Sexual Offences,2,66.7%,1,33.3%
D Burglary,29,85.3%,5,14.7%
E Robbery,12,75.0%,4,25.0%
F Theft And Handling,115,94.3%,7,5.7%
G Fraud And Forgery,8,100.0%,0,0.0%
H Criminal Damage,26,76.5%,8,23.5%
I Drugs Offences,31,100.0%,0,0.0%
J Public Order Offences,28,70.0%,12,30.0%
K All Other Offences (excluding Motoring),24,85.7%,4,14.3%
L Motoring Offences,229,95.4%,11,4.6%
Admin Finalisations,0,0.0%,13,100.0%
TOTAL,558,87.1%,83,12.9%
