CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,4498,83.4%,898,16.6%
P01-Avon&Somerset,131,87.3%,19,12.7%
P02-Bedfordshire,35,83.3%,7,16.7%
P03-Cambridgeshire,70,85.4%,12,14.6%
P04-Cheshire,47,85.5%,8,14.5%
P06-Cleveland,83,79.8%,21,20.2%
P07-Cumbria,59,92.2%,5,7.8%
P08-Derbyshire,46,83.6%,9,16.4%
P09-Devon&Cornwall,132,85.2%,23,14.8%
P10-Dorset,26,57.8%,19,42.2%
P11-Durham,51,82.3%,11,17.7%
P12-DyfedPowys,50,83.3%,10,16.7%
P13-Essex,150,89.8%,17,10.2%
P14-Gloucestershire,25,83.3%,5,16.7%
P15-GreaterManchester,296,85.3%,51,14.7%
P16-Gwent,42,91.3%,4,8.7%
P17-Hampshire,199,88.1%,27,11.9%
P18-Hertfordshire,43,82.7%,9,17.3%
P19-Humberside,91,91.0%,9,9.0%
P20-Kent,123,86.0%,20,14.0%
P21-Lancashire,203,85.3%,35,14.7%
P22-Leicestershire,75,84.3%,14,15.7%
P23-Lincolnshire,46,85.2%,8,14.8%
P24-Merseyside,191,83.4%,38,16.6%
P25-Metropolitan&City,633,77.7%,182,22.3%
P26-Norfolk,93,94.9%,5,5.1%
P27-Northamptonshire,49,86.0%,8,14.0%
P28-Northumbria,183,82.8%,38,17.2%
P29-NorthWales,72,82.8%,15,17.2%
P30-NorthYorkshire,75,78.9%,20,21.1%
P31-Nottinghamshire,76,79.2%,20,20.8%
P32-SouthWales,200,88.1%,27,11.9%
P33-SouthYorkshire,70,84.3%,13,15.7%
P34-Staffordshire,91,80.5%,22,19.5%
P35-Suffolk,81,96.4%,3,3.6%
P36-Surrey,78,92.9%,6,7.1%
P37-Sussex,124,89.2%,15,10.8%
P38-ThamesValley,50,70.4%,21,29.6%
P39-Warwickshire,35,89.7%,4,10.3%
P40-WestMercia,66,90.4%,7,9.6%
P41-WestMidlands,148,79.6%,38,20.4%
P42-WestYorkshire,123,66.8%,61,33.2%
P43-Wiltshire,37,75.5%,12,24.5%
