Department Family,Entity,NewCldate,Expense Type,,,Supplier,Transaction Number,Amount in Sterling,,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,3050660,Making it Better,Income,MANCHESTER PCT COMMISSIONING,0001123712,"220,000.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051500,M & S Equipment,Capital,STRYKER UK LTD,0001127198,551.52,,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051500,M & S Equipment,Capital,STRYKER UK LTD,0001127198,"8,028.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051500,M & S Equipment,Capital,STRYKER UK LTD,0001127198,"3,139.92",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051500,M & S Equipment,Capital,STRYKER UK LTD,0001127198,"3,139.92",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051500,M & S Equipment,Capital,STRYKER UK LTD,0001127198,470.88,,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051500,M & S Equipment,Capital,STRYKER UK LTD,0001127198,"1,146.96",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051500,M & S Equipment,Capital,STRYKER UK LTD,0001127198,333.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051500,M & S Equipment,Capital,STRYKER UK LTD,0001127198,"5,360.40",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051500,M & S Equipment,Capital,STRYKER UK LTD,0001127198,"8,942.40",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051500,M & S Equipment,Capital,STRYKER UK LTD,0001127198,"7,445.52",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051500,M & S Equipment,Capital,STRYKER UK LTD,0001127198,"6,823.44",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2051500,M & S Equipment,Capital,STRYKER UK LTD,0001127198,"1,200.96",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054505,Laboratory Consumables,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,"5,781.70",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054505,Laboratory Consumables,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,"4,332.54",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054574,Oxoid,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,"1,393.28",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054576,ProLab,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,"5,460.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054552,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,"2,918.97",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054567,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,734.58,,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054553,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,"22,295.60",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054570,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,"3,175.10",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054557,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,"11,131.38",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054557,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,"6,849.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054577,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,"5,187.05",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054577,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,618.80,,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054577,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,"19,873.45",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054580,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,516.27,,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054573,Sarstedt,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127769,"4,429.88",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054558,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127772,"7,323.42",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054558,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127772,"66,170.86",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054558,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127772,"9,877.57",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2054558,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001127775,"141,859.15",,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001128000,"8,203.81",,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001128000,"8,203.81",,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001128000,"8,203.81",,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001128000,"8,203.81",,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001128000,"8,018.86",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,0000000,North Manchester Pharmacy,North Manchester Pharmacy,LLOYDS RETAIL CHEMISTS LTD,0001128760,"855,150.11",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2272004,Lithotripsy,Surgery,CARIAD TECHNOLOGIES,0001129027,"33,194.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2054505,Laboratory Consumables,Diagnostics & Clinical Support,ROCHE DIAGNOSTICS LTD,0001129770,"65,922.66",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2051566,Pacemaker Singular/Dual Chambr,Medicine and Community,BOSTON SCIENTIFIC LTD,0001129797,"35,679.84",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2200500,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001130007,"54,872.45",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2200500,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001130007,"2,378.04",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2200500,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001130010,"5,644.38",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2200500,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001130010,"130,049.94",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2200500,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001130011,"108,344.06",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2200500,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001130011,"9,901.29",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2203550,Intersystem Cache Elite,Corporate Services Other,INTERSYSTEMS,0001130072,"26,970.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/05/2012,0000000,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001130582,"240,089.03",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/05/2012,0000000,Oldham Pharmacy,Oldham Pharmacy,ROCHE PRODUCTS LTD,0001131185,"35,833.80",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,0000000,North Manchester Pharmacy,North Manchester Pharmacy,LLOYDS RETAIL CHEMISTS LTD,0001131262,"-750,000.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,0000000,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001132050,"296,926.18",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2456500,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0001132059,"34,479.79",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2456500,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0001132067,"82,973.42",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2456500,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0001132070,"143,901.62",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,1107500,Specialty Registrar(ST1 & ST2),Corporate Services Other,NORTH LANCASHIRE PCT,0001132076,"281,618.31",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132209,490.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132209,"4,779.60",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132209,"2,145.15",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132209,"4,066.65",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132209,"4,066.65",,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132209,490.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,28/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132209,"73,981.95",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132210,"16,819.95",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132210,"4,786.95",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132210,490.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132210,490.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132210,"3,134.68",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132210,"3,134.68",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132210,"5,213.25",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132210,"5,314.05",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,490.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,"3,584.87",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,"4,385.85",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,866.25,,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,883.05,,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,"4,002.60",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,"3,324.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,490.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,490.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,490.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,490.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,490.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,489.99,,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,"2,378.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,"79,475.55",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,"19,619.25",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,"3,586.80",,
