month,Tests on officially TB free herds (OTF),new herd incidents (NHI),NHI of which: officially TB free herd status withdrawn (OTFW),Number of OTFW incidents as a percentage of tests on officially TB free herds,New herd incidents where OTF status is withdrawn (OTFW) per 100 herd years at risk of infection during the year
Jan-96,"4,027",120,57,1.50%,
Feb-96,"4,836",108,54,1.10%,
Mar-96,"4,946",133,54,1.10%,0.6
Apr-96,"3,439",114,51,1.50%,
May-96,"3,150",90,30,1.00%,
Jun-96,"1,876",74,36,1.90%,0.6
Jul-96,"1,513",82,30,2.00%,
Aug-96,"1,599",52,22,1.40%,
Sep-96,"1,519",63,33,2.20%,0.6
Oct-96,"2,139",70,30,1.40%,
Nov-96,"3,075",91,50,1.60%,
Dec-96,"2,626",77,43,1.70%,0.7
Jan-97,"3,732",106,51,1.40%,
Feb-97,"3,917",94,48,1.20%,
Mar-97,"3,668",95,34,0.90%,0.7
Apr-97,"3,340",159,69,2.10%,
May-97,"2,828",95,36,1.30%,
Jun-97,"1,992",107,30,1.50%,0.7
Jul-97,"1,708",78,26,1.60%,
Aug-97,"1,422",63,31,2.20%,
Sep-97,"1,595",106,49,3.10%,0.8
Oct-97,"2,366",86,47,2.00%,
Nov-97,"2,855",112,60,2.10%,
Dec-97,"2,789",91,59,2.10%,0.8
Jan-98,"3,927",143,82,2.10%,
Feb-98,"4,173",145,76,1.80%,
Mar-98,"3,946",175,89,2.30%,1
Apr-98,"3,441",138,63,1.90%,
May-98,"2,774",122,53,1.90%,
Jun-98,"2,080",141,61,3.00%,1
Jul-98,"2,029",107,57,2.90%,
Aug-98,"1,461",100,64,4.40%,
Sep-98,"1,502",94,50,3.30%,1.1
Oct-98,"2,662",111,54,2.00%,
Nov-98,"3,294",132,83,2.50%,
Dec-98,"3,131",101,54,1.70%,1.1
Jan-99,"4,222",139,77,1.80%,
Feb-99,"4,561",186,111,2.50%,
Mar-99,"4,538",220,119,2.60%,1.1
Apr-99,"4,534",165,89,2.00%,
May-99,"3,056",147,83,2.70%,
Jun-99,"2,046",136,71,3.50%,1.2
Jul-99,"2,460",108,59,2.40%,
Aug-99,"1,651",86,52,3.10%,
Sep-99,"1,898",87,58,3.10%,1.1
Oct-99,"2,445",96,59,2.40%,
Nov-99,"3,412",177,113,3.30%,
Dec-99,"3,446",113,76,2.20%,1.2
Jan-00,"4,028",198,127,3.20%,
Feb-00,"4,648",199,129,2.80%,
Mar-00,"5,329",175,110,2.10%,1.3
Apr-00,"3,493",141,86,2.50%,
May-00,"3,193",138,93,2.90%,
Jun-00,"2,525",121,65,2.60%,1.3
Jul-00,"1,869",104,69,3.70%,
Aug-00,"1,823",110,64,3.50%,
Sep-00,"1,916",113,77,4.00%,1.4
Oct-00,"2,022",132,92,4.60%,
Nov-00,"3,332",159,112,3.40%,
Dec-00,"2,941",146,110,3.80%,1.5
Jan-01,"3,491",207,142,4.10%,
Feb-01,"3,992",143,90,2.30%,
Mar-01,538,15,13,2.40%,1.8
Apr-01,302,35,27,8.90%,
May-01,232,28,16,6.90%,
Jun-01,206,32,22,10.70%,2
Jul-01,193,35,19,10.10%,
Aug-01,187,19,9,5.10%,
Sep-01,193,42,30,15.50%,2
Oct-01,257,65,53,20.60%,
Nov-01,637,76,60,9.50%,
Dec-01,878,104,89,10.10%,2.7
Jan-02,"2,513",202,136,5.50%,
Feb-02,"4,184",375,248,6.00%,
Mar-02,"5,246",348,245,4.70%,2.8
Apr-02,"4,646",396,250,5.40%,
May-02,"4,909",321,172,3.60%,
Jun-02,"2,236",194,95,4.30%,2.4
Jul-02,"2,440",235,129,5.30%,
Aug-02,"2,254",182,111,5.00%,
Sep-02,"2,136",206,121,5.70%,2.4
Oct-02,"3,140",249,144,4.70%,
Nov-02,"5,523",328,200,3.60%,
Dec-02,"4,365",286,191,4.40%,2.1
Jan-03,"6,222",374,219,3.50%,
Feb-03,"5,443",337,191,3.50%,
Mar-03,"5,491",430,238,4.40%,1.9
Apr-03,"4,062",331,173,4.30%,
May-03,"4,410",238,130,3.00%,
Jun-03,"2,995",258,131,4.40%,2
Jul-03,"2,985",206,96,3.20%,
Aug-03,"2,325",118,58,2.50%,
Sep-03,"2,708",216,127,4.70%,2
Oct-03,"3,396",201,113,3.40%,
Nov-03,"3,882",264,171,4.40%,
