,,,,Plymouth,South West,England
,,,,Unitary Authority,Region,Country
All Male Usual Residents Aged 16 to 74,Count,Persons,Mar-11,95767,1910660,19278552
"Males Aged 16 to 74; 1. Higher Managerial, Administrative and Professional Occupations",Count,Persons,Mar-11,8890,266749,2638163
"Males Aged 16 to 74; 1. Higher Managerial, Administrative and Professional Occupations",Percentage,Persons,Mar-11,9.3,14,13.7
Males Aged 16 to 74; 1.1 Large Employers and Higher Managerial and Administrative Occupations,Count,Persons,Mar-11,2257,62741,596816
Males Aged 16 to 74; 1.1 Large Employers and Higher Managerial and Administrative Occupations,Percentage,Persons,Mar-11,2.4,3.3,3.1
Males Aged 16 to 74; 1.2 Higher Professional Occupations,Count,Persons,Mar-11,6633,204008,2041347
Males Aged 16 to 74; 1.2 Higher Professional Occupations,Percentage,Persons,Mar-11,6.9,10.7,10.6
"Males Aged 16 to 74; 2. Lower Managerial, Administrative and Professional Occupations",Count,Persons,Mar-11,16511,378869,3727837
"Males Aged 16 to 74; 2. Lower Managerial, Administrative and Professional Occupations",Percentage,Persons,Mar-11,17.2,19.8,19.3
Males Aged 16 to 74; 3. Intermediate Occupations,Count,Persons,Mar-11,7467,123860,1295561
Males Aged 16 to 74; 3. Intermediate Occupations,Percentage,Persons,Mar-11,7.8,6.5,6.7
Males Aged 16 to 74; 4. Small Employers and Own Account Workers,Count,Persons,Mar-11,10229,294232,2573318
Males Aged 16 to 74; 4. Small Employers and Own Account Workers,Percentage,Persons,Mar-11,10.7,15.4,13.3
Males Aged 16 to 74; 5. Lower Supervisory and Technical Occupations,Count,Persons,Mar-11,10612,198081,1904481
Males Aged 16 to 74; 5. Lower Supervisory and Technical Occupations,Percentage,Persons,Mar-11,11.1,10.4,9.9
Males Aged 16 to 74; 6. Semi-Routine Occupations,Count,Persons,Mar-11,10575,201059,2040816
Males Aged 16 to 74; 6. Semi-Routine Occupations,Percentage,Persons,Mar-11,11,10.5,10.6
Males Aged 16 to 74; 7. Routine Occupations,Count,Persons,Mar-11,14654,237505,2461831
Males Aged 16 to 74; 7. Routine Occupations,Percentage,Persons,Mar-11,15.3,12.4,12.8
Males Aged 16 to 74; 8. Never Worked and Long-Term Unemployed,Count,Persons,Mar-11,4201,59796,899523
Males Aged 16 to 74; 8. Never Worked and Long-Term Unemployed,Percentage,Persons,Mar-11,4.4,3.1,4.7
Males Aged 16 to 74; L14.1 Never Worked,Count,Persons,Mar-11,2510,34185,519388
Males Aged 16 to 74; L14.1 Never Worked,Percentage,Persons,Mar-11,2.6,1.8,2.7
Males Aged 16 to 74; L14.2 Long-Term Unemployed,Count,Persons,Mar-11,1691,25611,380135
Males Aged 16 to 74; L14.2 Long-Term Unemployed,Percentage,Persons,Mar-11,1.8,1.3,2
Males Aged 16 to 74; Not Classified,Count,Persons,Mar-11,12628,150509,1737022
Males Aged 16 to 74; Not Classified,Percentage,Persons,Mar-11,13.2,7.9,9
Males Aged 16 to 74; L15 Full-Time Students,Count,Persons,Mar-11,12628,150509,1737022
Males Aged 16 to 74; L15 Full-Time Students,Percentage,Persons,Mar-11,13.2,7.9,9
Males Aged 16 to 74; L17 Not Classifiable for Other Reasons,Count,Persons,Mar-11,0,0,0
Males Aged 16 to 74; L17 Not Classifiable for Other Reasons,Percentage,Persons,Mar-11,0,0,0
"NS-SeC - Males, 2011 (KS612EW), Mar11",LastUpdated,30-Jan-13,,,,
"NS-SeC - Males, 2011 (KS612EW), Mar11",Source,Office for National Statistics,,,,
NS-SeC - Males (KS612EW),National Statistics,,,,,
"This material is Crown Copyright. You may re-use this information (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence. To view this licence, visit www.nationalarchives.gov.uk/doc/open-government-licence Information Policy Team, The National Archives, Kew, London TW9 4DU, or email:psi@nationalarchives.gsi.gov.uk. When reproducing this material, the source should be acknowledged.",,,,,,
