Transaction Date,Transaction Reference,Merchant,Total,,,,
01/10/2014,534291865,Hogg Robinson Group Limited,"£3,258.03",,,,
01/10/2014,533799059,Hogg Robinson Group Limited,£533.88,,,,
01/10/2014,533799058,Hogg Robinson Group Limited,£533.88,,,,
02/10/2014,534287406,Hogg Robinson Group Limited,£572.48,,,,
02/10/2014,534287409,Hogg Robinson Group Limited,£572.70,,,,
02/10/2014,534286749,Hogg Robinson Group Limited,£600.20,,,,
02/10/2014,534287889,Hogg Robinson Group Limited,£673.76,,,,
02/10/2014,534287407,Hogg Robinson Group Limited,"£2,156.20",,,,
02/10/2014,534286750,Hogg Robinson Group Limited,"£2,520.36",,,,
03-Oct-2014,UKA28084,HOTEL NEW OTANI TOKYO,1432.57,,,,
03-Oct-2014,UKA29359,CIVIL SERVICE LEARNING INTERNET,736.80,,,,
03-Oct-2014,UKA28734,HOTEL NEW OTANI TOKYO,506.28,,,,
06/10/2014,534870889,Hogg Robinson Group Limited,"£2,221.90",,,,
06/10/2014,534870890,Hogg Robinson Group Limited,"£2,221.90",,,,
06/10/2014,534877457,Hogg Robinson Group Limited,"£2,422.26",,,,
06/10/2014,534871798,Hogg Robinson Group Limited,"£3,104.90",,,,
06/10/2014,535179718,Hogg Robinson Group Limited,"£6,264.64",,,,
07/10/2014,535177195,Hogg Robinson Group Limited,"£2,256.06",,,,
08/10/2014,535990500,Hogg Robinson Group Limited,£603.65,,,,
08/10/2014,535508584,Hogg Robinson Group Limited,"£1,619.56",,,,
08/10/2014,535508582,Hogg Robinson Group Limited,"£1,669.66",,,,
08/10/2014,535990501,Hogg Robinson Group Limited,"£4,986.59",,,,
09/10/2014,535983753,Hogg Robinson Group Limited,"£1,280.56",,,,
09/10/2014,535983755,Hogg Robinson Group Limited,"£1,410.16",,,,
10-Oct-2014,UKA29002,PARLI-TRAINING LONDON,698.40,,,,
10/10/2014,536289857,Hogg Robinson Group Limited,£534.06,,,,
10/10/2014,536291719,Hogg Robinson Group Limited,"£1,337.16",,,,
10/10/2014,535983743,Hogg Robinson Group Limited,"£1,231.66",,,,
10/10/2014,536576607,Hogg Robinson Group Limited,"£2,513.95",,,,
13/10/2014,536572061,Hogg Robinson Group Limited,£693.16,,,,
13/10/2014,536895496,Hogg Robinson Group Limited,£774.93,,,,
13/10/2014,536895501,Hogg Robinson Group Limited,£791.48,,,,
13/10/2014,536572067,Hogg Robinson Group Limited,"£1,441.06",,,,
13/10/2014,536895898,Hogg Robinson Group Limited,"£2,929.36",,,,
13/10/2014,536895516,Hogg Robinson Group Limited,"£2,734.12",,,,
15/10/2014,537204020,Hogg Robinson Group Limited,£602.00,,,,
15/10/2014,537204021,Hogg Robinson Group Limited,£700.50,,,,
15/10/2014,537204019,Hogg Robinson Group Limited,"£3,622.20",,,,
15/10/2014,536895900,Hogg Robinson Group Limited,"£3,630.58",,,,
15/10/2014,537203810,Hogg Robinson Group Limited,"£3,682.28",,,,
16/10/2014,538309102,Hogg Robinson Group Limited,£905.09,,,,
16/10/2014,537705811,Hogg Robinson Group Limited,"£3,357.26",,,,
17/10/2014,538307811,Hogg Robinson Group Limited,"£3,099.46",,,,
17/10/2014,538307987,Hogg Robinson Group Limited,"£3,120.86",,,,
20/10/2014,538309078,Hogg Robinson Group Limited,"£1,457.96",,,,
20/10/2014,538613298,Hogg Robinson Group Limited,"£3,633.96",,,,
20/10/2014,538608364,Hogg Robinson Group Limited,"£3,953.27",,,,
22-Oct-2014,UKA28875,W DOHA HOTEL & RESIDENCESDOHA,1015.70,,,,
22-Oct-2014,UKA28622,W DOHA HOTEL & RESIDENCESDOHA,1128.11,,,,
22/10/2014,539406141,Hogg Robinson Group Limited,£564.87,,,,
22/10/2014,539400624,Hogg Robinson Group Limited,£745.01,,,,
22/10/2014,538930590,Hogg Robinson Group Limited,"£1,566.56",,,,
22/10/2014,538930592,Hogg Robinson Group Limited,"£1,431.06",,,,
22/10/2014,539406058,Hogg Robinson Group Limited,"£3,139.36",,,,
22/10/2014,538613196,Hogg Robinson Group Limited,"£4,016.10",,,,
22/10/2014,538607410,Hogg Robinson Group Limited,"£4,806.49",,,,
23-Oct-2014,UKA28664,HILTON GARDEN INN WASHINGTON,719.22,,,,
23/10/2014,539402065,Hogg Robinson Group Limited,"£1,395.00",,,,
23/10/2014,538934812,Hogg Robinson Group Limited,"£2,971.18",,,,
23/10/2014,539681242,Hogg Robinson Group Limited,"£3,139.36",,,,
23/10/2014,539681243,Hogg Robinson Group Limited,"£3,293.96",,,,
24-Oct-2014,UKA28057,BOLTON HOTEL WELLINGTON NZ,648.40,,,,
24/10/2014,539402060,Hogg Robinson Group Limited,"£3,793.16",,,,
27-Oct-2014,UKA28094,ROSEN HOTELS PLAZA ORLANDO,596.30,,,,
27-Oct-2014,UKA29005,PAYPAL CHARTEREDIN 35314369001,1095.00,,,,
27/10/2014,539996048,Hogg Robinson Group Limited,"£1,710.06",,,,
28/10/2014,540308820,Hogg Robinson Group Limited,"£1,684.16",,,,
28/10/2014,540601558,Hogg Robinson Group Limited,"£2,547.44",,,,
28/10/2014,540308637,Hogg Robinson Group Limited,"£3,157.66",,,,
29-Oct-2014,UKA29904,SUBMARINE INSTITUTE CANBERRA,1136.20,,,,
29-Oct-2014,UKA28622,ROSEN HOTELS PLAZA ORLANDO,1075.49,,,,
29/10/2014,540601588,Hogg Robinson Group Limited,£513.23,,,,
29/10/2014,540601579,Hogg Robinson Group Limited,£513.23,,,,
29/10/2014,540601360,Hogg Robinson Group Limited,£797.20,,,,
29/10/2014,540982594,Hogg Robinson Group Limited,"£2,922.65",,,,
29/10/2014,540601353,Hogg Robinson Group Limited,"£1,896.40",,,,
30-Oct-2014,UKA29005,SOCIALMEDIAEXAMINER 8587487800,624.20,,,,
30/10/2014,541332381,Hogg Robinson Group Limited,£515.35,,,,
30/10/2014,540975118,Hogg Robinson Group Limited,"£1,001.36",,,,
30/10/2014,540992855,Hogg Robinson Group Limited,"£1,122.54",,,,
30/10/2014,541332332,Hogg Robinson Group Limited,"£3,170.08",,,,
31/10/2014,540976568,Hogg Robinson Group Limited,£551.40,,,,
