Table 1. Overview of potential indicators ,,
,Essential indicators,Desirable indicators
,Participation,Wider impacts on the local economy
,Success rates,On and off site GLH
,Retention rates,Capital estate condition and impact of not investing 
,Achievement rates ,Environmental sustainability
,Number of apprentices trained by colleges ,Staff recruitment and retention 
,College ability to generate fee income,Efficiency and estate rationalisation
,Amount of capital expenditure and dates,
,Ability to engage with employers ,
,Learner satisfaction with learning environment and experience,



Table 2. Overview of potential indicators,,

,Indicator required for analysis,Dataset and variable identified,Assessment of fitness for purpose
,Participation,"ILR (Number of Learner Responsive Learners, Number of Learner Responsive Learners excluding franchised and long distance learners, Number of LSC / Skills Funding Agency funded learner responsive learners)","Category 2 - available ILR data contained variables of relevance but idiosyncracies, inconsistencies and missing information meant specific data needed to be verified, edited and/or completed by colleges"
,Success rates,NSRT (Proportion of students achieving),Category 1 - available NSRT data was fit for purpose
,Retention rates,NSRT (Proportion of students completing),Category 1 - available NSRT data was fit for purpose
,Achievement rates ,NSRT (Proportion of learning aims completed),Category 1 - available NSRT data was fit for purpose
,Number of apprentices trained by colleges ,ILR [Number of Employer Responsive Learners) ,"Category 2 - available ILR data contained variables of relevance but idiosyncracies, inconsistencies and missing information meant specific data needed to be verified, edited and/or completed by colleges"
,College ability to generate fee income,"College Financial Records (tuition fee income, LSC / Skills Funding Agency income, total income)","Category 2 - available College Financial Records data contained variables of relevance but idiosyncracies, inconsistencies and missing information meant specific data needed to be verified, edited and/or completed by colleges"
,Amount of capital expenditure and dates,"Capital expenditure records (project number, project description, date of approval, date of completion, total cost of project (initial projection), total cost of project (ex post))","Category 2 - available capital expenditure records contained variables of relevance but idiosyncracies, inconsistencies and missing information meant specific data needed to be verified, edited and/or completed by colleges"
,Ability to engage with employers ,ILR (Proportion of learners employed and released by employer to learn),Category 3 - available ILR data not adequately capturing employer engagement. Decision taken that this was better explored through the qualitative case studies.
,Learner satisfaction with learning environment and experience,NLSS,Category 3 - available NLSS data not generally reported at college level as sample sizes too small for results to be considered robust. Decision taken that this was better explored through the qualitative case studies.
,Wider impacts on the local economy,-,Category 3 - no suitable variable identified. Decision taken that this was better explored through the qualitative case studies.
,On and off site GLH,ILR (GLH for FE learners (not apprentices) ,Category 3 - no suitable variable identified to make an appropriate on and off site split. Decision taken that this variable should be excluded from analysis.
,Capital estate condition and impact of not investing ,"EMandate (Breakdown of estate into category A, B,C and D)","Category 3 - suitable variables identified but issues with coverage and reliability at the beginning and end points of the time period. On balance, decision taken to explore this variable through the qualitative case studies rather than making the census template too cumbersome."
,Environmental sustainability,"EMandate (NIA, electricity consumption, energy costs)","Category 3 - suitable variables identified but issues with coverage and reliability at the beginning and end points of the time period. On balance, decision taken to explore this variable through the qualitative case studies rather than making the census template too cumbersome."
,Staff recruitment and retention ,"SIR (recruitment - N/A, retention - proportion of all staff still employed at year end)","Category 3 - Recruitment - deriving a recruitment variable is problematic from a conceptual perspective. We want to know whether capital expenditure has made it easier for a college to recruit but the observed recruitment rate will reflect a combination of factors (i) effort undertaken to recruit (ii) replacing lost staff - if capital expenditure improves retention, fewer vacancies would need filling (iii) changes to staffing requirements - capex could increase the scale of the college. Decision taken to explore within case studies. Retention - variable identified in SIR but idiosyncracies observed in the variable over time. On balance, decision taken to explore this variable through the case studies rather than making the census template too cumbersome."
,Efficiency and estate rationalisation,-,Category 3 - no suitable variable identified. Decision taken that this variable should be excluded from analysis. Unlikely that this measure specifically collected in the context of a capital expenditure project and wanted to ensure that searching for this information did not have a negative impact on case study overall.

Table 3. Variables used in census,,

,Variable,Definition
,Participation data – from ILR (available 2002/03 to 2010/11),
,Number of Employer Responsive learners,"Total number of learners appearing in Employer Responsive ILR return, including apprenticeships and Train To Gain / workplace learning.  Does not include Adult Safeguarded Learning / Adult Community Learning.  "
,Number of apprenticeships,"Employer Responsive learners studying either Advanced apprenticeship; Apprenticeship; Higher level apprenticeship.  Programmes such as Entry 2 Employment, Progression Pathway, Foundation Learning Programme and Diploma are not in scope."
,Number of Learner Responsive  learners,This is the total number of learners who appear in the Learner Responsive ILR return.  
,Number of Learner Responsive learners excluding franchised and long-distance ,"As above, but excluding learners who are franchised out and learners whose main method of delivery is distance learning or accreditation of prior learning."
,Number of LSC/Skills Funding Agency funded Leaner Responsive learners ,These will include both learners who are funded only by the LSC / Skills Funding Agency  and those who are co-financed by the LSC / Skills Funding Agency  and by the ESF Co-Financing.  
,College financial data – collated by SFA (available 2000/01 to 2010/11),
,Tuition fee income,This includes tuition fees and educational contracts.
,LSC / Skills Funding Agency  income,"This is income from the LSC / Skills Funding Agency , excluding release of capital grants."
,Total Income,Total income of the college.
,Capital expenditure data – grant and consent approvals from 2000 to 2011,
,Project number,
,Project description,,,
,Date of approval,The date on which LSC / Skills Funding Agency approved the project.,,
,Date of completion,"The date on which the project was completed.  For projects that are still on-going, the projected completion date is used.",,
,Date of operational use,"The date on which the infrastructure came into operational use.  For projects not yet operational, projected date of operational use is used.",,
,Cost (initial projection),"The projected total cost of the project, as at the date of approval.",,
,Cost  (ex post),"The total ex-post cost of the project, after completion. For ongoing projects the latest estimate is used.",,

Table 4. Variables in our final dataset,,,,

,Variable,Source,Time period,Definition
,Number of Employer Responsive learners,"ILR, verified, corrected and completed in Census",2002/03 - 2010/11,"Total number of learners appearing in Employer Responsive ILR return, including apprenticeships and  Train To Gain / workplace learning.  Does not include Adult Safeguarded Learning / Adult Community Learning.  "
,Number of Learner Responsive  learners (with and without franchised and long distance),"ILR, verified, corrected and completed in Census",2002/03 - 2010/11 ,This is the total number of learners who appear in the Learner Responsive ILR return.  
,All learner participation,"ILR, verified, corrected and completed in Census",2002/03 - 2010/11 ,Total number of Employer Responsive learners and Learner Responsive learners.
,Apprenticeships,"ILR, verified, corrected and completed in Census", 2002/03 - 2010/11,"Employer Responsive learners studying either Advanced apprenticeship; Apprenticeship; Higher level apprenticeship.  Programmes such as Entry 2 Employment, Progression Pathway, Foundation Learning Programme and Diploma are not in scope."
,Participation by 16-18 year olds,"ILR, verified, corrected and completed in Census, proportions applied", 2002/03 - 2010/11,"Using the ILR we calculate the percentage of LSC / Skills Funding Agency LR learners in each age group and apply these weights to the corresponding total from the census, therefore using any adjustment made by the college."
,Participation by 19+year olds,"ILR, verified, corrected and completed in Census, proportions applied",2002/03 - 2010/11 ,
,"Success rate, achievement rate, retention rate data",NSRT tables, 2002/03 - 2010/11,"Success rates, achievement rates and retention rates for the following groups; all ages, 16-18 and 19 plus.  Where a college merged, we took the weighted average using the number of starters."
,Tuition fees as % of income,"College Financial Data, verified, corrected and completed in Census",2000/01 - 2010/11,Calculated by dividing tuition fee income by total income.
,Dependency on LSC / Skills Funding Agency income,"College Financial Data, verified, corrected and completed in Census",2000/01 - 2010/11,Calculated by dividing LSC / Skills Funding Agency income by total income.
,Total capital expenditure by college,"Capital expenditure records, verified, corrected and completed in Census",2002/03 - 2010/11 ,Total capital expenditure in real terms (inflated by RPI) from 2002/03 to 2010/11.
,College characteristics,SFA,2002/03 - 2010/11 ,"Dummy variables measuring the region the college is located, the type of college, and whether it merged during the time period of analysis."

Table 5. Observations on variables to be used in analysis,,,,

,Variable,Sample representativeness,,
,All learner participation,Slightly higher in sample,,
,Apprenticeships,Slightly higher in sample,,
,Success rates,No difference,,
,Tuition fees as % of income,No difference,,
,Dependency on LSC / Skills Funding Agency income,No difference,,
,Total capital expenditure by college,No consistent difference,,
,College characteristics,No consistent difference,,

Table 6. Impact on change in number of learners,,,,,,

,,All participation,Learner Responsive learners,Government funded LR learners aged 16 to 18,Government funded LR learners aged 19 plus,Apprenticeships
,Capital expenditure completed from 2002/03 to 2009/10 (£m),62**,54*,13***,28,8
,Proportion of learners aged 16-18,6394*,7409**,1092*,5600**,431
,Number of learners in 2002/03,-0.448***,-0.507***,0,-0.487***,0.022
,East of England,-87,97,864**,594,421
,London,-774,1235,-359*,2505***,-324**
,North East ,-3477***,-2450**,-538*,-750,-126
,North West ,148,1837,232,2625,337
,South East,-1426,229,-22,1146,-145
,South West,-2075,-328,-32,-67,-97
,West Midlands,-1383,-888,-158,-106,-72
,Yorkshire,-1793,-296,-54,1002,-191
,Specialist College,772,2170*,-2,1067,82
,Merged college,1104,1456,374,373,93
,"Constant (base case = FE college, East Midlands)",399,-2447,103,-2258,-84
,Number of observations,142,142,142,142,142
,R-squared,0.5254,0.6175,0.3399,0.6813,0.2366
,Root mean squared error,5599.1,5350.7,768.87,4529.8,894.62
,Source: Frontier analysis of combined ILR (R08 collection)  / Skills Funding Agency capital expenditure approvals data / college census data,,,,,
,"Significance levels: *** = 1 per cent, **=5 per cent, *=10 per cent",,,,,

Table 7. Impact on percentage point change in success rate,,,,,,

,Variable,All learners,Learners aged 16 to 18,Adult learners,All learners (college above median success rate),All learners (college below median success rate)
,Capital expenditure completed from 2002/03 to 2009/10 (£m),0.002,0.005,0.008,-0.061,-0.002
,Proportion of learners aged 16-18,0.968,-18.738***,6.199,0.163,10.488
,Number of learners in 2002/03,0,0,0,0,0
,East of England,3.134*,4.402*,0.939,-2.723,5.796**
,London,-0.626,-2.707,0.712,-2.899,2.09
,North East,2.343*,0.103,1.93,0.535,4.502**
,North West ,2.038,4.419**,0.352,0.18,4.719
,South East,1.076,1.586,1.309,-0.762,3.597
,South West,4.698***,5.21**,3.572*,1.597,12.797***
,West Midlands,1.429,1.58,1.733,-1.539,4.31**
,Yorkshire,2.864**,1.024,2.96,2.863**,3.751**
,Specialist College,2.858**,5.344***,1.733,2.895*,4.952***
,Merged,-1.014,-0.979,-1.964,-0.504,-1.133
,Capital expenditure exceeded £60m,-0.104,0.184,-1.068,4.917,-0.041
,Success rate in 2002,-0.883***,-0.721***,-0.938***,-0.739***,-0.803***
,"Constant (base case = FE college, East Midlands)",71.764***,68.813***,72.679***,63.36***,62.421***
,Number of observations,140,137,140,70,70
,R-squared,0.73,0.52,0.62,0.44,0.67
,Root mean squared error,4.29,6.13,6,4.49,4.15
,Source: Frontier analysis of combined ILR (R08 collection) / National Success Rate Tables / Skills Funding Agency capital expenditure approvals data / college census data,,,,,
,"Significance levels: *** = 1 per cent, **=5 per cent, *=10 per cent",,,,,

Table 8. Impact on percentage point change in proportion of college income,,,,,

,Variable,Dependence on LSC / Skills Funding Agency income (1) - using linear capital expenditure variable,Dependence on LSC / Skills Funding Agency income (2) using linear capex variable and large capex dummy,Dependence on LSC / Skills Funding Agency income (3) using large capex dummy only,Percentage point change in Tuition fee income as a proportion of college income
,Capital expenditure completed from 2002/03 to 2009/10,-0.06**,-0.017,Omitted,0.014
,Proportion of learners aged 16-18,-2.991,-2.139,-2.056,1.812
,Number of learners in 2002/03,0,0,0,0
,East of England,1.1,1.106,1.135,2.107
,London,-2.767,-2.711,-2.675,3.247**
,North East,-0.02,-0.168,-0.192,5.316***
,North West ,1.436,1.466,1.527,1.5
,South East,4.355,4.47,4.519,1.801
,South West,-3.058,-3.262,-3.323,1.624
,West Midlands,2.303,2.667,2.719,2.371
,Yorkshire,-0.596,-0.397,-0.378,4.904***
,Specialist College,-2.112,-2.018,-1.949,3.018*
,Merged,-2.057,-2.172,-2.222,-1.058,,
,Capital expenditure exceeded £60m,Omitted,-4.392,-5.522***,-0.177,,
,"Constant (base case = FE college, East Midlands)",2.722,2.032,1.827,-5.787***,,
,Number of observations,142,142,142,142,,
,R-squared,0.13,0.13,0.13,0.12,,
,Root mean squared error,8.31,8.3,8.28,5.42,,
,Source: Frontier analysis of combined ILR (R08 collection) / Skills Funding Agency college accounts data / Skills Funding Agency capital expenditure approvals data / college census data ,,,,,,
,"Significance levels: *** = 1 per cent, **=5 per cent, *=10 per cent",,,,,,

Table 9. Impact on change in number of learners from 2002/03 to 2005/06 using two datasets,,,,,,,

,,2012 study,,,2008 study,,
,,Learner Responsive learners,LSC / Skills Funding Agency funded LR learners aged 16 to 18,LSC / Skills Funding Agency funded LR learners aged 19 plus,Learner Responsive learners,LSC / Skills Funding Agency funded LR learners aged 16 to 18,LSC / Skills Funding Agency funded LR learners aged 19 plus
,Capital expenditure completed from 2002/03 to 2004/05 (£m),225**,18*,137*,190.7***,27.6***,160.3**
,Proportion of learners aged 16-18,309,24,2686,3955,1184*,2990
,Number of learners in 2002/03,-0.416***,-0.005,-0.381***,-0.461***,-0.012,-0.451***
,East of England,-3854*,216,-1903,3939,595,3278
,London,-391,-33,999,3504,-176,3748
,North East,-4713,-145,-2968,-1091,-227,-849
,North West ,1943,324,1841,2131,149,2154
,South East,373,294,51,4176,486,3790
,South West,-664,-104,-237,4844,341,4562*
,West Midlands,-2124,-124,-1534,3948,123,3860
,Yorkshire,84,68,748,3136,272,2847
,Specialist College,795,-8,38,794,15,866
,Merged college,1873,501**,229,-267,223,-462
,"Constant (base case = FE college, East Midlands)",9,13,-376,-4257,-332,-4129
,Number of observations,84,84,84,76,76,76
,R-squared,0.58,0.38,0.67,0.7558,0.7729,0.7729
,Root mean squared error,4929,535,3615,3102.6,2871.2,2871.2
,Source: Frontier analysis of combined ILR (R08 collection)  / Skills Funding Agency capital expenditure approvals data / college census data,,,,,,
,"Significance levels: *** = 1 per cent, **=5 per cent, *=10 per cent",,,,,,

"Table 10. Impact on change in success rates, retention rates and achievement rates from 2002/03 to 2005/06 using two datasets",,,,,,,,

,Variable,2012 study,,,2008 study,,,
,,Success,Retention,Achievement,Success,Retention,,Achievement
,Capital expenditure completed from 2002/03 to 2004/05 (£m),-0.04,-0.019,-0.011,0.147***,0.113***,,0.046
,Number of learners in 2002/03,0,0,0,0,0,,0
,Success rate / retention rate / achievement rate,-0.459***,-0.338**,-0.679***,-0.843***,-0.827***,,-0.896***
,East of England,3.122,2.168,1.013,3.57*,3.02**,,0.86
,London,1.346,0.908,-0.132,3.68,4.25*,,-0.05
,North East,3.685,2.709,1.081,9.12***,6.95***,,3.14*
,North West ,-1.498,-0.664,-0.608,5.21***,2.94**,,3.31*
,South East,-2.009,-1.154,-1.323,5.77***,3.14**,,3.41*
,South West,2.241,0.426,1.729,3.02*,1.14,,2.04
,West Midlands,4.391,3.037*,1.618,6.68***,4.3***,,3.34*
,Yorkshire,1.794,1.614,0.18,2.81,2.3,,0.78
,Specialist College,0.934,-0.253,1.654,2.96,2.33*,,1.75
,Merged college,-2.333,-0.83,-1.845*,-0.35,-0.63,,0.35
,Proportion of learners aged 16-18,9.445,2.321,10.306,12.6,1.95,,11.36
,"Constant (base case = FE college, East Midlands)",37.343***,31.091**,59.542***,60.35***,70.23***,,76.38***
,Number of observations,84,84,84,73,73,,73
,R-squared,0.4,0.34,0.6,0.75,0.75,,0.84
,Root mean squared error,5.884,4.081,3.85,4.57,3.04,,3.23
,Source: Frontier analysis of combined ILR (R08 collection) / National Success Rate Tables / Skills Funding Agency capital expenditure approvals data / college census data,,,,,,,
,"Significance levels: *** = 1 per cent, **=5 per cent, *=10 per cent",,,,,,,

