CPS outcomes by principal offence category gwent,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,0,0,0
B Offences Against The Person,129,77.0%,39,23.0%
C Sexual Offences,7,84.6%,3,15.4%
D Burglary,30,80.6%,3,19.4%
E Robbery,13,66.7%,2,33.3%
F Theft And Handling,182,93.5%,12,6.5%
G Fraud And Forgery,10,91.7%,0,8.3%
H Criminal Damage,53,83.0%,3,17.0%
I Drugs Offences,60,96.2%,6,3.8%
J Public Order Offences,69,95.0%,9,5.0%
K All Other Offences (excluding Motoring),32,94.9%,1,5.1%
L Motoring Offences,215,92.0%,29,8.0%
Admin Finalisations,0,0.0%,10,100.0%
TOTAL,801,87.3%,117,12.7%
