Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Barrow park,Grounds maintenance,25-Sep-2013,200017305,Greaves Tree Services,650.00
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,11-Sep-2013,200017104,AB Mitchell Developments,"5,828.05"
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,25-Sep-2013,200017287,Security Surveillance Systems Ltd,706.50
Barrow Borough Council,Development control,Professional fees,18-Sep-2013,200017226,UDREP,"1,354.80"
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,18-Sep-2013,200017195,Plumbing Trade Supplies,"3,480.91"
Barrow Borough Council,Barrow amateurs,Admissions,25-Sep-2013,200017253,Barrow Amateur Operatic & Dramatic Society,"1,640.50"
Barrow Borough Council,HRA Estates,Grounds maintenance,18-Sep-2013,200017186,Continental Landscapes Ltd,"4,714.28"
Barrow Borough Council,Crematorium,Equipment maintenance,04-Sep-2013,200017077,JG Shelton & Co Ltd,"4,520.00"
Barrow Borough Council,Leisure Centre,Building and construction works,04-Sep-2013,200017070,Pulse Fitness Limited,"45,288.22"
Barrow Borough Council,Housing Benefits Admin,Benefits private tenants,11-Sep-2013,200017120,Liberata Uk Ltd,"52,334.57"
Barrow Borough Council,Playground,Vehicles lease /rental,25-Sep-2013,200017342,Play Safe,695.00
Barrow Borough Council,The markets,Metered water,04-Sep-2013,200017031,United Utilities Water Plc,737.07
Barrow Borough Council,Forum 28,Building and construction works,18-Sep-2013,200017231,Venesta Washroom Systems Ltd,828.75
Barrow Borough Council,Major works maintenance - HRA,Adaptations,25-Sep-2013,200017314,AB Mitchell Developments,"3,148.83"
Barrow Borough Council,Housing options - HRA,Other expenses,25-Sep-2013,200017335,Carpet Right,593.49
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,11-Sep-2013,200017104,AB Mitchell Developments,774.50
Barrow Borough Council,Recycling,Recycling collection and processing,25-Sep-2013,200017350,Sinkfall Recycling,"8,613.72"
Barrow Borough Council,Photocopiers Holding A/C,Photocopier charges paid,11-Sep-2013,200017169,Ricoh UK Ltd,535.59
Barrow Borough Council,Disabled Facilities Grant,Grants,04-Sep-2013,200017048,Ocean Construction UK Ltd,"2,111.75"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,25-Sep-2013,200017343,Plumbing Trade Supplies,884.33
Barrow Borough Council,Technical services,Telephone - calls,11-Sep-2013,200017120,Liberata Uk Ltd,505.20
Barrow Borough Council,Emlyn Hughes house,Buildings repairs and maintenance,25-Sep-2013,200017340,Ward Contracting Ltd,"3,970.78"
Barrow Borough Council,Disabled Facilities Grant,Grants,04-Sep-2013,200017075,M&P Gadsden Consulting Eng Ltd,"1,620.00"
Barrow Borough Council,Crematorium,Buildings repairs and maintenance,04-Sep-2013,200017049,Ward Contracting Ltd,"4,731.68"
Barrow Borough Council,Street cleansing,Street cleansing,11-Sep-2013,200017153,Biffa Waste Services Ltd,"78,001.91"
Barrow Borough Council,The park leisure centre,Equipment purchase,11-Sep-2013,200017173,Airquee Ltd,"1,575.00"
Barrow Borough Council,Legal,Solicitors fees,25-Sep-2013,200017349,Brown Barron Solicitors,976.00
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,04-Sep-2013,200017052,Keith Wilson Elec Con Ltd,"15,286.96"
Barrow Borough Council,Forum 28,Electricity,18-Sep-2013,200017222,NPower,"4,322.66"
Barrow Borough Council,Town Hall,Building and construction works,11-Sep-2013,200017177,KL Venning Slaters Ltd,"52,293.00"
Barrow Borough Council,Forum 28,Building and construction works,04-Sep-2013,200017078,Premier Tiles (Barrow-in-Furness) Ltd,"9,217.50"
Barrow Borough Council,Borough Treasurer's,Professional fees,25-Sep-2013,200017271,Selima Software Ltd,800.00
Barrow Borough Council,Forum 28,Maintenance contracts,11-Sep-2013,200017103,Integral UK Ltd,840.00
Barrow Borough Council,IR personal account,Tax deducted - CIS tax,18-Sep-2013,200017214,The Neil Martin Group Ltd,-593.40
Barrow Borough Council,Cavendish house - HRA,Property rents,04-Sep-2013,200017060,Marcus King & Co,"10,750.00"
Barrow Borough Council,Personnel,Conferences and seminars,11-Sep-2013,200017172,Greene Training Solutions,576.20
Barrow Borough Council,Major works maintenance - HRA,Reroof Griffin,25-Sep-2013,200017248,DLP Services (Northern) Ltd,"33,214.86"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,04-Sep-2013,200017051,Plumbing Trade Supplies,792.53
Barrow Borough Council,Forum 28,Equipment rental,25-Sep-2013,200017318,Terry Chemicals Ltd,722.85
Barrow Borough Council,Kennels,Professional fees,25-Sep-2013,200017307,Grove Veterinary Centre,646.58
Barrow Borough Council,Forum 28,AquaFund Fees,25-Sep-2013,200017245,Advanced Demand Side Management Ltd,768.90
Barrow Borough Council,Recycling,Recycling credits from contractor,11-Sep-2013,200017153,Biffa Waste Services Ltd,"-16,242.92"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,18-Sep-2013,200017237,AB Mitchell Developments,"13,539.32"
Barrow Borough Council,Coastal Defence Work West Shore Park,Professional fees,25-Sep-2013,200017322,Capita Symonds Ltd,"1,485.06"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,25-Sep-2013,200017315,Edmundson Electrical Ltd,"1,279.07"
Barrow Borough Council,Forum 28,Professional fees,11-Sep-2013,200017159,Spektrix Ltd,611.38
Barrow Borough Council,Housing Benefits Admin,Benefits council tenants,11-Sep-2013,200017120,Liberata Uk Ltd,"17,047.06"
Barrow Borough Council,Forum 28,Incidental costs,25-Sep-2013,200017347,Bill Caulfield Electrical,"3,671.97"
Barrow Borough Council,The park leisure centre,Electricity,18-Sep-2013,200017222,NPower,"5,761.24"
Barrow Borough Council,Street cleansing,Street cleansing,25-Sep-2013,200017286,Biffa Waste Services Ltd,"2,325.81"
Barrow Borough Council,Dock Museum,Specialised work,25-Sep-2013,200017274,Chris Brammall,549.60
