CPS outcomes by principal offence category gwent,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,100.0%,0,0.0%
B Offences Against The Person,167,79.1%,44,20.9%
C Sexual Offences,11,100.0%,0,0.0%
D Burglary,16,88.9%,2,11.1%
E Robbery,6,75.0%,2,25.0%
F Theft And Handling,143,97.3%,4,2.7%
G Fraud And Forgery,2,100.0%,0,0.0%
H Criminal Damage,44,88.0%,6,12.0%
I Drugs Offences,40,87.0%,6,13.0%
J Public Order Offences,42,91.3%,4,8.7%
K All Other Offences (excluding Motoring),7,100.0%,0,0.0%
L Motoring Offences,203,93.5%,14,6.5%
Admin Finalisations,0,0.0%,2,100.0%
TOTAL,682,89.0%,84,11.0%
