Department Family ,Entity, Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Distribution Line Number
DCMS,ODA,03-May-2011,Consultants,SS Technical Assurance,Ove Arup & Partners Limited,2065,-43622.85,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,2065,-8724.57,2
DCMS,ODA,03-May-2011,Consultants,SS Technical Assurance,Ove Arup & Partners Limited,53275,43622.85,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,53275,8724.57,2
DCMS,ODA,03-May-2011,Consultants,SS Technical Assurance,Ove Arup & Partners Limited,53275,-43622.85,3
DCMS,ODA,03-May-2011,Consultants,SS Technical Assurance,Ove Arup & Partners Limited,53275,43622.85,4
DCMS,ODA,03-May-2011,Consultants,Site Security Consultancy,Ove Arup & Partners Limited,54613,47276.56,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,54613,9455.31,2
DCMS,ODA,03-May-2011,Consultants,Utilities Design Co-Ordination,Atkins Limited,55162,809.52,1
DCMS,ODA,03-May-2011,Consultants,Common Domain LV Network - Construction,Atkins Limited,55162,8505.89,2
DCMS,ODA,03-May-2011,Consultants,Common Domain LV Network - Construction,Atkins Limited,55162,16677.79,3
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,55162,5198.64,4
DCMS,ODA,03-May-2011,Legal - Other,Utilities ODA Costs,Olympic Park Legacy Company,55276,65550.00,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Olympic Park Legacy Company,55276,11471.25,2
DCMS,ODA,03-May-2011,Tier 1 Contractors,East London Logistics Facility,Exel Europe Ltd,55277,165525.34,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Exel Europe Ltd,55277,33105.07,2
DCMS,ODA,03-May-2011,Consultants,HVM Detailed design - Atkins,Atkins Limited,55480,157451.83,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,55480,27554.07,2
DCMS,ODA,03-May-2011,Consultants,Security V&I Programme Support - Arup,Ove Arup & Partners Limited,55658,23454.50,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,55658,4690.90,2
DCMS,ODA,03-May-2011,Consultants,Supervisor North Park,Capita Symonds Limited,55782,26804.97,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Capita Symonds Limited,55782,5360.99,2
DCMS,ODA,03-May-2011,Other Professional Fees,Statutory Compliance Contingency OPEX,Best Foot Forward,55815,39500.00,1
DCMS,ODA,03-May-2011,Other Professional Fees,Statutory Compliance Contingency OPEX,Best Foot Forward,55815,-39500.00,2
DCMS,ODA,03-May-2011,Other Professional Fees,Statutory Compliance Contingency OPEX,Best Foot Forward,55815,35000.00,3
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Best Foot Forward,55815,7000.00,4
DCMS,ODA,03-May-2011,Seconded Staff,Venue Transport Operations,Buckinghamshire County Council,55825,25000.00,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Buckinghamshire County Council,55825,5000.00,2
DCMS,ODA,03-May-2011,Consultants,Risk & Audit,Ernst & Young LLP,55987,201058.00,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ernst & Young LLP,55987,40211.60,2
DCMS,ODA,03-May-2011,Consultants,Security V&I Programme Support - WSP,WSP Development & Transportation,56008,22412.00,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,WSP Development & Transportation,56008,4482.40,2
DCMS,ODA,03-May-2011,Project Manager,Stratford Regional Station Re-Development,Jacobs UK Ltd,56010,26351.84,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Jacobs UK Ltd,56010,5270.36,2
DCMS,ODA,03-May-2011,Tier 1 Contractors,East London Logistics Facility,Exel Europe Ltd,56034,390227.00,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Exel Europe Ltd,56034,78045.40,2
DCMS,ODA,03-May-2011,Tier 1 Contractors,East London Logistics Facility,Exel Europe Ltd,56034,-390227.00,3
DCMS,ODA,03-May-2011,Tier 1 Contractors,East London Logistics Facility,Exel Europe Ltd,56034,355399.00,4
DCMS,ODA,03-May-2011,Tier 1 Contractors,East London Logistics Facility,Exel Europe Ltd,56034,38428.00,5
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Exel Europe Ltd,56034,720.00,6
DCMS,ODA,03-May-2011,Tier 1 Contractors,East London Logistics Facility,Exel Europe Ltd,56034,-355399.00,7
DCMS,ODA,03-May-2011,Tier 1 Contractors,East London Logistics Facility,Exel Europe Ltd,56034,351799.00,8
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Exel Europe Ltd,56034,-720.00,9
DCMS,ODA,03-May-2011,Consultants,M11 LC - M11 Logistics Facility - Services,Exel Europe Ltd,56036,111850.68,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Exel Europe Ltd,56036,22370.14,2
DCMS,ODA,03-May-2011,Other Professional Fees,ER Stakeholder Engagement,LOCOG,56249,10890.00,1
DCMS,ODA,03-May-2011,Media Subscriptions,Media Subscriptions,LOCOG,56249,12102.91,2
DCMS,ODA,03-May-2011,Marketing Photography,Marketing,LOCOG,56249,4000.00,3
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,LOCOG,56249,5398.58,4
DCMS,ODA,03-May-2011,Service Charges,Facilities Management,LOCOG,56250,20879.14,1
DCMS,ODA,03-May-2011,Postage and couriers,Facilities Management,LOCOG,56250,1259.10,2
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,LOCOG,56250,3874.18,3
DCMS,ODA,03-May-2011,Consultants,PGTD - Landscape Architect,LDA Design Consulting LLP,56260,68279.51,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,LDA Design Consulting LLP,56260,13655.90,2
DCMS,ODA,03-May-2011,Consultants,PGTD - Landscape Architect,LDA Design Consulting LLP,56261,131542.00,1
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,LDA Design Consulting LLP,56261,26308.40,2
DCMS,ODA,03-May-2011,Construction contractor,SBH - Lifeline Works,Fitzpatrick Contractors Ltd,56509,670454.17,1
DCMS,ODA,03-May-2011,Construction contractor,Lea Interchange - delivered by Logistics,Fitzpatrick Contractors Ltd,56509,2209.72,2
DCMS,ODA,03-May-2011,Tier 1 Contractors,BELC - Volker,Fitzpatrick Contractors Ltd,56509,47375.76,3
DCMS,ODA,03-May-2011,Tier 1 Contractors,TB - Fitzpatrick,Fitzpatrick Contractors Ltd,56509,10000.00,4
DCMS,ODA,03-May-2011,Tier 1 Contractors,TU CW -Fitzpatrick,Fitzpatrick Contractors Ltd,56509,10000.00,5
DCMS,ODA,03-May-2011,Tier 1 Contractors,SHM SHMC - Fitzpatrick,Fitzpatrick Contractors Ltd,56509,865536.00,6
DCMS,ODA,03-May-2011,Tier 1 Contractors,Search and Screen Enclosure Portals,Fitzpatrick Contractors Ltd,56509,70000.00,7
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Fitzpatrick Contractors Ltd,56509,335115.12,8
DCMS,ODA,03-May-2011,Construction contractor,BMX Construction,ISG Interior Service Group UK Plc,56535,341980.92,1
DCMS,ODA,03-May-2011,Construction contractor,BMX Construction,ISG Interior Service Group UK Plc,56535,159223.80,2
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,ISG Interior Service Group UK Plc,56535,100240.95,3
DCMS,ODA,03-May-2011,Construction contractor,BAM Nuttall Prelims North Park,BAM Nuttall Ltd,56585,2581192.00,1
DCMS,ODA,03-May-2011,Construction contractor,BAM Nuttall Prelims North Park,BAM Nuttall Ltd,56585,1177132.00,2
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,BAM Nuttall Ltd,56585,751664.80,3
DCMS,ODA,03-May-2011,Tier 1 Contractors,Greenway Early Works,Wingate Electrical Plc,56648,3247.71,1
DCMS,ODA,03-May-2011,Tier 1 Contractors,Mechanical services,Wingate Electrical Plc,56648,5081.10,2
DCMS,ODA,03-May-2011,Tier 1 Contractors,ICT - Data cabling civils - cable installation & maintenance,Wingate Electrical Plc,56648,19007.07,3
DCMS,ODA,03-May-2011,Tier 1 Contractors,SHM - Surface water,Wingate Electrical Plc,56648,266.73,4
DCMS,ODA,03-May-2011,Tier 1 Contractors,TU MC - Wingate,Wingate Electrical Plc,56648,260543.22,5
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Wingate Electrical Plc,56648,57629.16,6
DCMS,ODA,03-May-2011,Tier 1 Contractors,TU MC - Wingate,Wingate Electrical Plc,56648,-0.67,7
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Wingate Electrical Plc,56648,-0.13,8
DCMS,ODA,03-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Wingate Electrical Plc,56648,0.13,9
DCMS,ODA,05-May-2011,Construction contractor,Electrical Network Own&Operate - Construction,Lea Valley Utilities,55919,141725.00,1
DCMS,ODA,05-May-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lea Valley Utilities,55919,28345.00,2
