UK in Context CSVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2015-2019 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues, which refers to letter mail only. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. All figures are nominal and are displayed at 2014 currency exchange ratesNote: Postal revenues are for our 18 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,2014,,YoY,CAGR,,,,,,,,,,,,,,,,,,,,,,,,,,
Telecoms,754,772,785,798,825,841,846,,0.50%,1.90%,,,,,,,,,,,,,,,,,,,,,,,,,,
Television,212,208,206,216,226,233,244,,5.00%,4.30%,,,,,,,,,,,,,,,,,,,,,,,,,,
Post,92,85,73,75,73,72,72,,0.70%,-0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,27.8,26,25,26,26,27,28,,3.90%,2.90%,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1086,1090,1089,1114,1150,1173,1190,,1.50%,2.20%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications sector revenues by country: 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2015-2019 @ www.pwc.com/outlook for radio revenues (include advertising, license fees and satellite subscription services only), Wik Consult / Ofcom estimates for postal revenues, IHS / industry data / Ofcom for television and telecoms revenues (telecoms revenues refer to retail revenues). Interpretation and manipulation of data are solely Ofcom's responsibility. Note: Postal revenue data is not available for Nigeria ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telecoms,Television,Post,Radio,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,6,0.6,0.012,0.05,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,15,5,0.43,0.2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,19,4,0.56,0.29,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,30,11,2.081,0.33,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,20,6,1.643,0.15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,3,1,0.119,0.09,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,6,2,0.659,0.1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,4,2,1.008,0.28,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,7,2,2.041,0.27,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,14,3,1.069,0.35,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,15,4,1.235,0.62,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,16,6,2.564,0.36,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,25,20,6.859,2.99,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,19,8,6.667,1.07,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,29,14,4.255,1.05,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,110,22,1.6,1.3,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,79,19,10,0.7,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,172,103,29,12.6,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications sector revenue per head: 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2015-2019 @ www.pwc.com/outlook for radio revenues (include advertising, license fees and satellite subscription services only), Wik Consult / Ofcom estimates for postal revenues. IHS / industry data / Ofcom for television and telecoms revenues (telecoms revenues refer to retail revenues). Interpretation and manipulation of data are solely Ofcom's responsibility. Note: Postal revenue data is not available for Nigeria ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telecoms,Television,Post,Radio,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,35,3,0,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,81,16,1,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,12,4,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,132,25,4,2,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,144,57,10,2,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,399,112,33,3,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,590,102,22,16,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,162,56,17,10,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,434,184,105,29,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,404,147,121,16,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,293,66,23,7,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,641,174,52,26,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,625,150,82,6,863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,540,323,91,39,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,258,100,42,6,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,298,247,83,36,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,304,130,104,17,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,447,216,66,19,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
