Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Department of Health (excl agencies),Ministerial Department,Department of Health,71,65.52,300,289.37,656,631.78,664,633.25,143,136.59,0,0,1834,1756.51,38,38.94,0,0,64,60.55,2,1.06,104,100.55,1938,1857.06,"£6,412,656","-£20,235","£30,841","£15,075","£1,394,689","£782,184","£8,615,211","£1,170,078","£227,647","£1,397,725","£10,012,935",,
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,370,343.02,306,300.17,2007,1943.56,457,447.11,134,126.04,30,22.78,3304,3182.68,0,0,0,0,2,2,0,0,2,2,3306,3184.68,"£10,368,440","£115,054",£0,"£91,666","£1,428,559","£1,227,258","£13,230,977","£18,231",£0,"£18,231","£13,249,208",,
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,75,64.5,369,352.2,810,782,1315,1284.5,194,184,0,0,2763,2667.2,47,41.5,0,0,87,72.6,0,0,134,114.1,2897,2781.3,"£9,981,880","£131,648",£0,"£14,569","£1,314,367","£1,111,883","£12,554,347","£1,035,507","£116,850","£1,152,357","£13,706,704",,
Health Education England,Executive Non-Departmental Public Body,Department of Health,97,87.87,616,562.05,528,476.9,446,408.69,1013,354.62,0,0,2700,1890.13,131,114.59,0,0,0,0,0,0,131,114.59,2831,2004.72,"£6,722,337","£121,189",£0,£770,"£818,901","£664,608","£8,327,805","£54,768","-£1,140","£53,628","£8,381,433",,
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,13,8.51,92,86.58,66,61.4,39,33.6,5,4,0,0,215,194.09,4,2.18,3,2,0,0,0,0,7,4.18,222,198.27,"£562,126",£0,£0,£0,"£68,105","£51,617","£681,848",27373.48,4108,"£31,481","£713,329",,
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,15,13,36,34.89,9,8.83,4,4,0,0,64,60.72,3,3,0,0,0,0,0,0,3,3,67,63.72,"£219,830",£0,0,£259,"£47,804","£25,330","£293,223","£9,504","£9,195","£18,699","£311,922",The HFEA currently has 3 vacancies,
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,2,6,6,25,24.06,10,9.8,3,3,0,0,46,44.86,0,0,0,0,0,0,0,0,0,0,46,44.86,170930.64,0,0,0,19685.63,18919.78,209536.05,502.91,0,502.91,210038.96,,
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,79,76.25,229,219.44,464,453.25,364,350.63,145,130.19,0,0,1281,1229.76,34,34,6,6,5,4.6,0,0,45,44.6,1326,1274.36,"£4,734,163","£11,380",26950,"£13,409","£994,249","£545,132","£6,325,282","£131,377",£0,"£131,377","£6,456,659",,
Monitor,Executive Non-Departmental Public Body,Department of Health,16,16,36,36,91,90.2,268,258.71,66,63.8,0,0,477,464.71,17,17,18,16.57,6,6,0,0,41,39.57,518,504.28,"£2,621,349",£0,£0,£0,"£563,667","£317,898","£3,502,914","£145,084","£37,976","£183,060","£3,685,974",,
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,15,13.37,87,82.53,252,238.51,234,215.35,55,49.69,0,0,643,599.45,10,7.71,0,0,15,11.3,0,0,25,19.01,668,618.46,"£2,173,949","£15,833",0,£0,"£291,280","£242,367","£2,723,430","£137,659",£0,"£137,659","£2,861,089",,
NHS Blood & Transplant,Special Health Authority,Department of Health,2027,1645.14,1138,1045.31,1473,1358.87,492,482.01,67,64.67,53,47.95,5250,4643.95,44,44,12,12,12,12,0,0,68,68,5318,4711.95,"£12,241,502","£755,032",£0,"£296,104","£1,703,181","£1,361,980","£16,357,800","£260,939",£0,"£260,939","£16,618,739",,
NHS Business Services Authority,Special Health Authority,Department of Health,1785,1572.47,428,405.83,298,290.37,189,181.82,47,45.13,0,0,2747,2495.62,121,121,0,0,36,36,0,0,157,157,2904,2652.62,"£4,368,475","£11,897","£151,636","£44,458","£571,329","£391,815","£5,539,610","£535,658",£0,"£535,658","£6,075,268",,
NHS England,Executive Non-Departmental Public Body,Department of Health,507,470,544,525,1317,1268,2138,2058,689,630,126,53,5321,5004,378,378,406,406,0,0,0,0,784,784,6105,5788,"£20,678,272",£0,£0,£0,"£2,661,190","£2,353,594","£25,693,056","£3,594,041","£309,069","£3,903,109","£29,596,166",," • Increase in WTE of on payroll workers by 50 in December; overall fixed term contracts increased by 15 WTE compared to November.
• Total paybill of on-payroll staff has increased by £289,268 when compared to November due to an increase in the on-payroll staffing level.  56% of new starters in December were appointed into roles at NHS Band 7 and above, resulting in the higher cost increase relative to the numnber of new starters.
• Decrease in off payroll compliant workers by 25 in December compared to November. NHS England are currently unable to fully report non-compliant totals as these are not held centrally within a system or database for the FY16/17 at present. A project to address enhancements and improvements to offpayroll controls continues to progress within NHS England.                                                                                                                                                                                                                                                                                                                           • NHS England's off payroll worker project is currently in the process of reviewing its off-payroll workers management and control processes. Whilst this work is being undertaken the reported WTE and headcount figures have been reported on the basis of engagement numbers."
NHS Litigation Authority,Special Health Authority,Department of Health,7,7,36,34.06,100,95.2,85,80.15,8,8,0,0,236,224.41,12,12.85,0,0,0,0,0,0,12,12.85,248,237.26,"£817,145","£100,160",£0,"£2,359","£118,752","£102,645","£1,141,060","£27,666",£0,"£27,666","£1,168,726",,
NHS Trust Development Authority,Special Health Authority,Department of Health,6,6,55,52.15,78,73.36,110,106.29,197,189.07,0,0,446,426.87,18,18,6,6,2,0.5,0,0,26,24.5,472,451.37,"£2,370,613","£9,912",£0,"£1,312","£311,436","£288,391","£2,981,664",113899,0,"£113,899","£3,095,563",,
Public Health England,Executive Agency,Department of Health,863,776.41,715,675.33,1944,1836.03,1392,1321.11,429,387.37,0,0,5343,4996.25,134,127.64,5,5,24,18.6,0,0,163,151.24,5506,5147.49,"£14,838,174","£4,368,209","£7,538","£129,109","£2,019,397","£2,009,379","£23,371,806","£322,727","£25,053","£347,780","£23,719,586","Specialist Contractors includes inward Secondees working >0.5wte.
The costs for secondees is not included in the Non-payroll staff figures.","costs for off payroll workers is sent from PHE Finance to DH Finance on a different return
"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) - Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
