CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,10561,91.70%,957,8.30%
P01-Avon&Somerset,318,92.70%,25,7.30%
P02-Bedfordshire,121,94.50%,7,5.50%
P03-Cambridgeshire,139,90.30%,15,9.70%
P04-Cheshire,177,92.70%,14,7.30%
P06-Cleveland,208,91.20%,20,8.80%
P07-Cumbria,91,92.90%,7,7.10%
P08-Derbyshire,134,89.90%,15,10.10%
P09-Devon&Cornwall,196,94.70%,11,5.30%
P10-Dorset,94,88.70%,12,11.30%
P11-Durham,123,89.10%,15,10.90%
P12-DyfedPowys,78,89.70%,9,10.30%
P13-Essex,331,88.70%,42,11.30%
P14-Gloucestershire,85,95.50%,4,4.50%
P15-GreaterManchester,649,93.70%,44,6.30%
P16-Gwent,153,96.80%,5,3.20%
P17-Hampshire,387,91.50%,36,8.50%
P18-Hertfordshire,183,92.40%,15,7.60%
P19-Humberside,205,95.80%,9,4.20%
P20-Kent,295,91.60%,27,8.40%
P21-Lancashire,342,88.10%,46,11.90%
P22-Leicestershire,144,92.90%,11,7.10%
P23-Lincolnshire,128,92.10%,11,7.90%
P24-Merseyside,302,89.60%,35,10.40%
P25-Metropolitan&City,1574,91.20%,152,8.80%
P26-Norfolk,137,91.30%,13,8.70%
P27-Northamptonshire,125,88.00%,17,12.00%
P28-Northumbria,475,93.50%,33,6.50%
P29-NorthWales,153,92.70%,12,7.30%
P30-NorthYorkshire,191,97.40%,5,2.60%
P31-Nottinghamshire,193,91.50%,18,8.50%
P32-SouthWales,318,94.40%,19,5.60%
P33-SouthYorkshire,256,92.10%,22,7.90%
P34-Staffordshire,145,89.00%,18,11.00%
P35-Suffolk,100,96.20%,4,3.80%
P36-Surrey,136,93.80%,9,6.20%
P37-Sussex,227,91.90%,20,8.10%
P38-ThamesValley,377,91.50%,35,8.50%
P39-Warwickshire,58,96.70%,2,3.30%
P40-WestMercia,174,93.50%,12,6.50%
P41-WestMidlands,507,90.70%,52,9.30%
P42-WestYorkshire,442,86.00%,72,14.00%
P43-Wiltshire,90,92.80%,7,7.20%
